sku,contributor_id,contributor_name,matched_asin#1.value,marketplace_id,brand.value,brand.value_id,browse_node_id.value,browse_nodes#1.value,browse_nodes#1.value_id,bullet_point#1.value,bullet_point#1.value_id,bullet_point#2.value,bullet_point#3.value,bullet_point#4.value,bullet_point#5.value,bullet_point#6.value,bullet_point#7.value,bullet_point#8.value,bullet_point#9.value,ean#1.value,expiration_date_type.value,expiration_interval.unit,expiration_interval.value,fc_shelf_life.unit,fc_shelf_life.value,fc_shelf_life_pad_time#1.unit,fc_shelf_life_pad_time#1.value,fulfillment_center_barcode_id#1.value,gl_product_group_type.value,inner_pack_product_identification.type,inner_pack_product_identification.value,is_expiration_dated_product.value,item_dimensions.height.normalized_value.unit,item_dimensions.height.normalized_value.value,item_dimensions.height.unit,item_dimensions.height.value,item_dimensions.length.normalized_value.unit,item_dimensions.length.normalized_value.value,item_dimensions.length.unit,item_dimensions.length.value,item_dimensions.width.normalized_value.unit,item_dimensions.width.normalized_value.value,item_dimensions.width.unit,item_dimensions.width.value,item_form#1.value,item_form#1.value_id,item_name.alternate_representations#1.type,item_name.alternate_representations#1.value,item_name.value,item_name.value_id,item_name#2.value,item_volume.unit,item_volume.value,item_weight.normalized_value.unit,item_weight.normalized_value.value,item_weight.unit,item_weight.value,list_price.currency,list_price.is_originating_currency,list_price.value,list_price.value_with_tax,manufacturer.value,manufacturer.value_id,minimum_order_quantity.increment#1.value,minimum_order_quantity.minimum#1.value,product_category.value,product_classes.value#1,product_expiration_type.value,product_expiration_type.value_id,product_expiration_type#2.value,product_shelf_life#1.unit,product_shelf_life#1.value,product_type.value,product_type_category.value,product_type_embedding.model.metadata.model_id,product_type_embedding.model.metadata.norm_function,product_type_embedding.model.vector#1.score,product_type_embedding.model.vector#1.value,product_type_embedding.override#1.source,product_type_embedding.override#1.type,product_type_embedding.override#1.value,product_type_subcategory.value,rtip_barcode.value,rtip_inner_packs_per_master_pack.value,rtip_items_per_inner_pack.value,rtip_items_per_master_pack.value,rtip_units_per_inner_pack#1.value,unit_count.type.value,unit_count.type.value_id,unit_count.value,upc#1.value,vendor_barcode#1.value
B08KHSHVFW,1.45309E+11,AmazonAe/4Y29Z,B08KHSHVFW,global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLF Cocosoft Natural Coconut Sugar - 500 gm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,,,,,,,
8.90616E+12,4.08644E+11,AmazonAe/NJ6XI,B0F143XVHC,global,Mr Makhana,,,,,"Low in cholesterol, fat and sodium",,Made from the finest ingredients,Ideal snack to satiate those in-between meal hunger pangs,Comes with Gormet Cheezy Peezy taste,Easy to diagest,,,,,8.90616E+12,,,,days,90,,,,gl_grocery,,,TRUE,,,centimeters,10,,,centimeters,17,,,centimeters,7.5,,,,,MR MAKHANA GORMET MATURE CHEDDAR 50 GM,,,,,,,grams,50,AED,,12.29,12.9,Mr Makhana,,,,32509400,,Expiration Date Required,,,,,PUFFED_SNACK,,,,,,,,,,,1,1,,,gram,,50,,
1160202052,1.45309E+11,AmazonAe/4Y29Z,B0D44TLCPK,global,Alicafe,,,,,Rich and creamy white coffee flavour,,Smooth and creamy texture for a satisfying drinking experience,"Contains coffee, creamer, and sugar for a complete taste profile","Ideal for busy mornings, travel, or anytime you need a quick caffeine fix",Enjoy the rich flavor of coffee with the added creaminess of milk,,,,,9.55502E+12,,,,days,365,,,,gl_grocery,,,TRUE,,,centimeters,21,,,centimeters,21,,,centimeters,16,Powder,,,,Alicafe Creamy Instant White Coffee 10 Bag x 25 g,,,,,,,grams,250,AED,,16.16,16.97,Power Root Manufacutring Sdn Bhd,,,1,32507000,,Expiration Date Required,,,,,COFFEE,,,,,,,,,,,1,1,,,count,,10,,
B07NFCKPTF,1.45309E+11,AmazonAe/4Y29Z,B07NFCKPTF,global,Coroli,,,,,100% Pure & cholesterol free for a healthy heart.,,"Versatile cooking oil- cook, bake, sauté or deep-fry.","Rich in Phytosterols and Vitamin A, D & E for healthy hair, skin and strong immune system.",3 litre,,,,,,,,,,days,730,days,109.5,,gl_grocery,,,TRUE,,,centimeters,34.6,,,centimeters,16.5,,,centimeters,9.5,,,,,"Coroli Pure Corn Oil, 3 Litre, 399744",,,milliliters,3000,,,kilograms,2.751,AED,,39,40.95,ADVOC (Abu Dhabi Vegetable Oil Company LLC),,,1,32502000,,Expiration Date Required,,,,,,,,,,,,,,,,4,1,4,,liters,,3,,
1020105003,4.08644E+11,AmazonAe/NJ6XI,B085D1266K,global,HARLEY-DAVIDSON,,,,,goodly baked,,Crunchiness and delicious bite,good breakfast for a hang out,,,,,,,5.77688E+12,,,,days,540,,,,gl_grocery,,,TRUE,,,centimeters,6.5,,,centimeters,26.5,,,centimeters,26.5,Bar,,,,"Beautiful Denmark Danish Butter Cookies, 908 g",,,,,,,grams,908,AED,,,49.5,Jacobsens Bakrey Ltd,,,,32501000,,Expiration Date Required,,,,,COOKIE,,,,,,,,,,,1,1,,,gram,,908,,
B07LFMH7NL,1.45309E+11,AmazonAe/4Y29Z,B07LFMH7NL,global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLF Nirmal Cold Pressed Virgin Coconut Oil, 250 ml ( Glass Bottle )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,,,,,,,
J112115,4.08644E+11,AmazonAe/NJ6XI,B000UYSSB4,global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J141286,4.08644E+11,AmazonAe/NJ6XI,B089VQZMJX,global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020109431,4.08644E+11,AmazonAe/NJ6XI,B0D87FCNJV,global,Beautiful Denmark,,,,,acobsens Bakery Emoji Expressions Chocolate Chip Cookies featuring animal emoji.,,,,,,,,,,5.77688E+12,,,,days,365,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,,,,,Beautiful Denmark Emoji Expressions Chocolate Chip Cookies 150g,,,,,,,grams,150,AED,,,15.5,Beautiful Denmark,,,,32501000,,Expiration On Package,,,,,COOKIE,,,,,,,,,,,1,1,,,gram,,150,,
B00K454016,1.45309E+11,AmazonAe/4Y29Z,B00K454016,global,Alitea,,,,,Special for Tea with milk lovers,,Premix Instant Tea with Non-Dairy Creamer and Sugar,"Enjoy the perfectly made same good taste every time! Just empty the sachet, add 150 ml hot water and stir to dissolve. Enjoy!",,,,,,,9.55502E+12,,,,,,,,,gl_grocery,,,,,,centimeters,33,,,centimeters,21,,,centimeters,9,,,,,Alitea Classic 3 In 1 Instant Tea With Creamer And Sugar- 30 Sticks/20g,,,,,,,kilograms,0.6,AED,,44.64,46.87,Alitea,,,,32507000,,,,,,,TEA,,,,,,,,,,,20,1,,,,,,,
B07WWFF34F,4.08644E+11,AmazonAe/NJ6XI,B07WWFF34F,global,CALA,,,,,Sharpen your eyeliner as much as you want✨,,"CALA Features a range of pencil sharpeners to sharpen your good quality eyeliners. You can find the most suitable ones for you, so that the finish is perfect.","Suitable for all skin types, cruelty free",,,,,,,,,,,,,,,,gl_beauty,,,,,,inches,3,,,inches,2,,,inches,2,,,,,CALA. Make-up Pencil Sharpener,,,,,,,,,,,,,CALA,,,,22908000,,,,,,,PENCIL_SHARPENER,,,,,,,,,,,,1,,,,,,6.16514E+11,
E1914,4.08644E+11,AmazonAe/NJ6XI,B07ZFYV4WB,global,Ericson Laboratoire,,,,,"Cream restores tired, dull skin that has lost its tone and elasticity",,Soy isoflavones gently restore hormonal balance at the skin level,Postbiotics and prebiotics suppress the reproduction of harmful microorganisms and strengthen the skin's immune defense system,Cotton flowers have a regenerating effect,"Cream gives a powerful boost of energy, eliminates dull complexion, moisturizes and nourishes",,,,,3.70036E+12,,,,days,720,,,,gl_beauty,,,TRUE,,,centimeters,10,,,centimeters,12,,,centimeters,11,,,,,"Ericson Laboratoire Biologic Defense Tonibacilia Vitality Cream 50 ml, Silver",,,milliliters,50,,,,,AED,,,400,Ericson Laboratoire,,,,19404000,,Expiration Date Required,,,,,SKIN_CARE_PRODUCT,,,,,,,,,,,1,1,,,millilitre,,50,,
