sku,contributor_id,contributor_name,matched_asin#1.value,marketplace_id,brand.value,brand.value_id,browse_node_id.value,browse_nodes#1.value,browse_nodes#1.value_id,bullet_point#1.value,bullet_point#1.value_id,bullet_point#2.value,bullet_point#3.value,bullet_point#4.value,bullet_point#5.value,bullet_point#6.value,bullet_point#7.value,bullet_point#8.value,ean#1.value,expiration_date_type.value,expiration_interval.unit,expiration_interval.value,fc_shelf_life.unit,fc_shelf_life.value,fc_shelf_life_pad_time#1.unit,fc_shelf_life_pad_time#1.value,fulfillment_center_barcode_id#1.value,gl_product_group_type.value,inner_pack_product_identification.type,inner_pack_product_identification.value,is_expiration_dated_product.value,item_dimensions.height.normalized_value.unit,item_dimensions.height.normalized_value.value,item_dimensions.height.unit,item_dimensions.height.value,item_dimensions.length.normalized_value.unit,item_dimensions.length.normalized_value.value,item_dimensions.length.unit,item_dimensions.length.value,item_dimensions.width.normalized_value.unit,item_dimensions.width.normalized_value.value,item_dimensions.width.unit,item_dimensions.width.value,item_form#1.value,item_form#1.value_id,item_name.alternate_representations#1.type,item_name.alternate_representations#1.value,item_name.value,item_name.value_id,item_volume.unit,item_volume.value,item_weight.normalized_value.unit,item_weight.normalized_value.value,item_weight.unit,item_weight.value,list_price.currency,list_price.is_originating_currency,list_price.value,list_price.value_with_tax,manufacturer.value,manufacturer.value_id,minimum_order_quantity.increment#1.value,minimum_order_quantity.minimum#1.value,product_category.value,product_classes.value#1,product_expiration_type.value,product_expiration_type.value_id,product_shelf_life#1.unit,product_shelf_life#1.value,product_type_category.value,product_type_embedding.model.metadata.model_id,product_type_embedding.model.metadata.norm_function,product_type_embedding.model.vector#1.score,product_type_embedding.model.vector#1.value,product_type_embedding.override#1.source,product_type_embedding.override#1.type,product_type_embedding.override#1.value,product_type_subcategory.value,rtip_barcode.value,rtip_inner_packs_per_master_pack.value,rtip_items_per_inner_pack.value,rtip_items_per_master_pack.value,rtip_units_per_inner_pack#1.value,unit_count.type.value,unit_count.type.value_id,unit_count.value,upc#1.value,vendor_barcode#1.value
8.56282E+11,5.04638E+11,AmazonAe/T072Y,B079N6FC3H,global,,,,,,,,,,,,,,,,,,,,,,,,gl_drugstore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12105000,,,,,,,,,,,,,,,,,12,,,,,,,
7.34E+12,5.04638E+11,AmazonAe/T072Y,B0BD8QGVR6,global,Barebells,,,,,A 20 grams of protein and no added sugar,,,,,,,,,7.34E+12,,,,days,365,,,,gl_drugstore,,,TRUE,,,,,,,,,,,,,,,,,"Barebells White Salty Peanut High Protein and Low Carb Bar, Low Sugar Snack Protein Bar with 20g protein, 55g",,,,,,,,AED,,12.3,12.91,Barebells,,,1,12105000,,Expiration On Package,,,,,,,,,,,,,,1,1,,,count,,1,,
8.43701E+12,5.04638E+11,AmazonAe/T072Y,B0DQR5L658,global,Castello since 1907,,,,,"Zero calorie sweetener with crystalline granules, with sweetener from Stevia plant.",,"100% Natural, nothing artificial, tastes like Sugar.",Perfect with hot and cold beverages,No bitter after taste,Zero glycemic index (doesn’t raise blood sugar level),Made in Spain,One sachet (1gm) is equivalent to 8 grams of table sugar (two teaspoons of sugar),Each box contains 60 sachets.,,,,,days,1095,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,Powder,,,,Castello since 1907 - Zero Calorie Stevia Sweetener - box of 60 sachets,,,,,,grams,60,AED,,,19,Tartaros Gonzalo Castello S.L.,,,,32502000,,Shelf Life,,,,,,,,,,,,,,1,1,,,count,,1,,
5.69423E+12,5.04638E+11,AmazonAe/T072Y,B08B1VWST6,global,Good Good,,,,,Brand: Good Good,,No Processed or artificial additives are used,Made with top quality ingredients,Packed with a host of goodness,,,,,5.69423E+12,,,,days,900,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,,,,,Good Good Sweet Spreads Keto Friendly - Low Calorie Without Added Sugars - Gluten Free - Vegan Friendly (Blueberry),,,,,,,,AED,,,29,‎Good Good,,,1,32502000,,Shelf Life,,,,,,,,,,,,,,1,1,,,count,,1,,
8.56282E+11,5.04638E+11,AmazonAe/T072Y,B07CD4K7HM,global,Rip Van Wafels,,,,,"High Protein Snack with Low Sugar: Contains 10g of protein, 5g of Sugar, and 6g of Fiber in each stroopwafel",,Keto Snacks: Sweet snack with indulgent taste for your keto diet with total of 13g net carbs,"Simple Clean Ingredients: Snack wafers made with natural ingredients. No artificial colors or flavors, preservatives, trans fat, soy, or high fructose corn syrup","Snackable and Packable: Healthy snack food for the office, lunch boxes, post workout or breakfast on the go",Individually Wrapped: Contains 12 individually wrapped Snickerdoodle Protein Stroopwafels,,,,,,,,days,365,,,,gl_drugstore,,,TRUE,,,,,,,,,,,,,Wafer,,,,Rip Van Wafels Snickerdoodle Stroopwafels - Healthy Snacks - Non GMO Snack - Keto Friendly - Office Snacks - Low Sugar (3g) - Low Calorie Snack - 12 Pack,,,,,,,,AED,,,120,RIPV0|#Rip Van,,,1,12105000,,Shelf Life,,,,,,,,,,,,,,1,1,,,gram,,396,8.56282E+11,
2.734E+13,5.04638E+11,AmazonAe/T072Y,B08QH39351,global,Barebells,,,,,A delicious protein bar that suits your taste buds as well as your abdominal muscles.,,HIGH PROTEIN Content 20 grams of protein per bar.,LOW SUGAR Content Less than 2 grams of sugar per bar.,Delicious chocolate bars without a bad conscience in many irresistible flavours.,GMO free,,,,,,,,days,365,,,,gl_drugstore,,,TRUE,,,,,,,,,,,,,Bar,,,,"Barebells DoubleBite Caramel Crisp High Protein and Low Carb Bar, 12 x 55g (1,94 oz) Low Sugar Snack Protein Bar with 17g protein",,,,,,,,AED,,,154,Barebells Functional Foods AB,,,1,12105000,,Shelf Life,,,,,,,,,,,,,,1,3,,,gram,,660,,
B07X5MH1BM,5.04638E+11,AmazonAe/T072Y,B07X5MH1BM,global,Vitamin Well,,,,,Smarter and healthier alternative to sodas and sugary juices.,,Vitamin Well gives a significant supplement of different vitamins and minerals,A healthier choice compared to soft drinks and other sugary drinks,,,,,,,,,,,,,,,gl_drugstore,,,,,,,,,,,,,,,,,,,,"Vitamin Well Antioxidant | Vitamin C + E, Selenium + Manganese | Healthy Drink | Functional Drinks | Protect your Body Cells – With a taste of Peach (Antioxidant | Peach, Pack of 12)",,,,,,,,AED,,108.57,114,Vitamin Well,,,,12105000,,,,,,,,,,,,,,,,,12,,,,,,,
8.56282E+11,5.04638E+11,AmazonAe/T072Y,B07NSTN9JF,global,,,,,,,,,,,,,,,,,,,,,,,,gl_drugstore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12105000,,,,,,,,,,,,,,,,,12,,,,,,,
B0D3QVP733,5.04638E+11,AmazonAe/T072Y,B0D3QVP733,global,Barebells,,,,,Barbells,,Barebells Soft Bar Caramel Choco 55g,SNACK_FOOD_BAR,,,,,,7.34E+12,,,,,,,,,gl_grocery,,,,,,,,,,,,,,,,,,,,Barbells Soft Bar Caramel Choco 55g,,,,,,grams,55,AED,,12.3,12.91,VITAMIN WELL LIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.34022E+12,5.04638E+11,AmazonAe/T072Y,B0DXBRHMXT,global,Vitamin Well,,,,,Smarter and healthier alternative to sodas and sugary juices.,,Vitamin Well gives a significant supplement of different vitamins and minerals,A healthier choice compared to soft drinks and other sugary drinks,,,,,,7.34022E+12,,,,days,210,,,,gl_drugstore,,,TRUE,,,,,,,,,,,,,,,,,Vitamin Well Hydrate Rhubarb and Strawberry Drink 500ml Pack of 6,,,,,,,,,,,,Vitamin Well,,,,12105100,,Expiration On Package,,,,,,,,,,,,,,1,1,,,millilitre,,3000,,
