sku,contributor_id,contributor_name,matched_asin#1.value,marketplace_id,brand.value,brand.value_id,brand#2.value,browse_node_id.value,browse_nodes#1.value,browse_nodes#1.value_id,bullet_point#1.value,bullet_point#1.value_id,bullet_point#2.value,bullet_point#3.value,bullet_point#4.value,bullet_point#5.value,bullet_point#6.value,bullet_point#7.value,bullet_point#8.value,bullet_point#9.value,ean#1.value,expiration_date_type.value,expiration_interval.unit,expiration_interval.value,fc_shelf_life.unit,fc_shelf_life.value,fc_shelf_life_pad_time#1.unit,fc_shelf_life_pad_time#1.value,fulfillment_center_barcode_id#1.value,gl_product_group_type.value,inner_pack_product_identification.type,inner_pack_product_identification.value,is_expiration_dated_product.value,item_dimensions.height.normalized_value.unit,item_dimensions.height.normalized_value.value,item_dimensions.height.unit,item_dimensions.height.value,item_dimensions.length.normalized_value.unit,item_dimensions.length.normalized_value.value,item_dimensions.length.unit,item_dimensions.length.value,item_dimensions.width.normalized_value.unit,item_dimensions.width.normalized_value.value,item_dimensions.width.unit,item_dimensions.width.value,item_form#1.value,item_form#1.value_id,item_form#2.value,item_name.alternate_representations#1.type,item_name.alternate_representations#1.value,item_name.value,item_name.value_id,item_name#2.value,item_volume.unit,item_volume.value,item_weight.normalized_value.unit,item_weight.normalized_value.value,item_weight.unit,item_weight.value,list_price.currency,list_price.is_originating_currency,list_price.value,list_price.value_with_tax,manufacturer.value,manufacturer.value_id,minimum_order_quantity.increment#1.value,minimum_order_quantity.minimum#1.value,product_category.value,product_classes.value#1,product_expiration_type.value,product_expiration_type.value_id,product_expiration_type#2.value,product_shelf_life#1.unit,product_shelf_life#1.value,product_type_category.value,product_type_embedding.model.metadata.model_id,product_type_embedding.model.metadata.norm_function,product_type_embedding.model.vector#1.score,product_type_embedding.model.vector#1.value,product_type_embedding.override#1.source,product_type_embedding.override#1.type,product_type_embedding.override#1.value,product_type_subcategory.value,rtip_barcode.value,rtip_inner_packs_per_master_pack.value,rtip_items_per_inner_pack.value,rtip_items_per_master_pack.value,rtip_units_per_inner_pack#1.value,unit_count.type.value,unit_count.type.value_id,unit_count.value,upc#1.value,vendor_barcode#1.value
B0881MC77P,97525097602,AmazonAe/SWM6A,B0881MC77P,global,Elvan,,,,,,Perfect for gift,,Delicious chocolate,Lovely taste,Brand: Elvan,,,,,,,,,,,,days,82.5,,gl_grocery,,,TRUE,,,centimeters,22,,,centimeters,6,,,centimeters,13,,,,,,"Elvan Kingtat Milky Compound Chocolate, 18 gm (Pack of 24)",,,,,,,kilograms,0.43,AED,,11.8,12.39,Elvan gida sanayi ve ticaret a.S.,,,1,32599000,,Expiration Date Required,,,,,,,,,,,,,,,1,1,1,,grams,,432,,
1011859,97525097602,AmazonAe/SWM6A,B0881MQFDN,global,Bisconni,,,,,,Delicious taste,,Incredibly cream and healthy,Best tea time biscuit,,,,,,,,,,,days,730,days,109.5,,gl_grocery,,,TRUE,,,centimeters,24,,,centimeters,8,,,centimeters,17,,,,,,"Bisconni Cocomo Chocolate Filled Biscuit, 12 gm (Pack of 24)",,,,,,,kilograms,0.29,AED,,17.7,18.59,Ismail industries limited,,,1,32550000,,Shelf Life,,,,,,,,,,,,,,,1,1,1,,grams,,288,,
4010297,97525097602,AmazonAe/SWM6A,B01LCX3NVQ,global,Hectare's,,,,,,Indulge in your favorite snack flavors with the amazing sticks,,Exciting flavors contains 100 percent natural ingredients,Delicious snacking option for you and your family,You can enjoy it with a cup of coffee or tea,"Contains right amount of carbs, protein, and a whole lot of flavor",,,,,6.2711E+12,,,,days,365,,,,gl_grocery,,,TRUE,,,centimeters,23,,,centimeters,5,,,centimeters,16,Sticks,,,,,Hectare's Sweet Chilli Flavoured Julien Stick 70 g,,,,,,,grams,70,AED,,,7.9,Al Wazzan Food Stuff Industries Group,,,1,32509400,,Shelf Life,,,,,,,,,,,,,,,1,1,,,gram,,70,,
01051839-A,97525097602,AmazonAe/SWM6A,B0949FD8NG,global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012814,97525097602,AmazonAe/SWM6A,B0C9C84L29,global,Nabil,,,,,,Milk Caramel Cream Wafers,,,,,,,,,,9.50103E+12,,,,days,365,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,Bar,,,,,Nabil Big Crunch Milk Caramel Cream Wafers 24X16g,,,,,,,grams,384,,,,,NABIL,,,,32501000,,Shelf Life,,,,,,,,,,,,,,,1,1,,,gram,,384,,
B087GK2SSF,97525097602,AmazonAe/SWM6A,B087GK2SSF,global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B087GMRBQ8,97525097602,AmazonAe/SWM6A,B087GMRBQ8,global,Nabil,,,,,,The shape and design of each biscuit is unique,,Give you both the taste and nutrition,Best for tea time,,,,,,,,,,,days,365,days,54.75,,gl_grocery,,,TRUE,,,centimeters,19,,,centimeters,6,,,centimeters,6,,,,,,"Nabil Custard Cream Biscuit, 82 gm",,,,,,,kilograms,0.08,AED,,1.14,1.2,National biscuit industries ltd. S.A.O.G,,,1,32550000,,Shelf Life,,,,,,,,,,,,,,,1,1,1,,grams,,82,,
B0881M228W,97525097602,AmazonAe/SWM6A,B0881M228W,global,China Jelly,,,,,,Delicious treat,,"Source of dietary fibre, vitamin c , and antioxidants",Nice desert,,,,,,,,,,,days,730,days,109.5,,gl_grocery,,,TRUE,,,centimeters,21,,,centimeters,7,,,centimeters,15,,,,,,"China Jelly Banana Jelly Candy Drops, 45.36 gm (Pack of 24)",,,,,,,kilograms,1.08,,,,,Shanghai rong xing food product factory,,,1,32599000,,Expiration Date Required,,,,,,,,,,,,,,,1,1,1,,kilograms,,1,,
4040085,97525097602,AmazonAe/SWM6A,B09MPCWW8G,global,Good4U,,,,,,100 Percent natural,,"High in fibre, high in plant-based protein","Made from soya protein crispies, milled seed and natural flavourings",Gluten-free and contain no nuts or dairy,,,,,,5.06009E+12,,,,days,270,,,,gl_grocery,,,TRUE,,,centimeters,4.1,,,centimeters,22.1,,,centimeters,12.3,,,,,,Good4U Orange Crisp Protein Ball Snack Sachet 40 g 3-Pack,,,,,,,kilograms,0.12,AED,,,15.575,Good4U,,,,32599000,,Shelf Life,,,,,,,,,,,,,,,1,3,,,gram,,120,,
B0881MCM68,97525097602,AmazonAe/SWM6A,B0881MCM68,global,Palazi,,,,,,Suitable for vegetarian,,Chocolate with a smooth melting filling,"Chocolate filled with hazelnut, strawberry, coconut, almond, caramel, chocolate, mango, milk cream and crispy rice",Sweet in taste,,,,,,,,,,days,730,days,109.5,,gl_grocery,,,TRUE,,,centimeters,33,,,centimeters,5,,,centimeters,24,,,,,,"Palazi 8 Assorted Flavours Chocolate Turffle, 500 gm",,,,,,,kilograms,0.5,,,,,Gida san. Ve tic. Ltd. Sti.,,,1,32599000,,Expiration Date Required,,,,,,,,,,,,,,,1,1,1,,grams,,500,,
