sku,contributor_id,contributor_name,matched_asin#1.value,marketplace_id,brand.value,brand.value_id,browse_node_id.value,browse_nodes#1.value,browse_nodes#1.value_id,bullet_point#1.value,bullet_point#1.value_id,bullet_point#2.value,bullet_point#3.value,bullet_point#4.value,bullet_point#5.value,bullet_point#6.value,bullet_point#7.value,bullet_point#8.value,bullet_point#9.value,bullet_point#10.value,ean#1.value,expiration_date_type.value,expiration_interval.unit,expiration_interval.value,fc_shelf_life.unit,fc_shelf_life.value,fc_shelf_life_pad_time#1.unit,fc_shelf_life_pad_time#1.value,fulfillment_center_barcode_id#1.value,gl_product_group_type.value,inner_pack_product_identification.type,inner_pack_product_identification.value,is_expiration_dated_product.value,item_dimensions.height.normalized_value.unit,item_dimensions.height.normalized_value.value,item_dimensions.height.unit,item_dimensions.height.value,item_dimensions.length.normalized_value.unit,item_dimensions.length.normalized_value.value,item_dimensions.length.unit,item_dimensions.length.value,item_dimensions.width.normalized_value.unit,item_dimensions.width.normalized_value.value,item_dimensions.width.unit,item_dimensions.width.value,item_form#1.value,item_form#1.value_id,item_form#2.value,item_name.alternate_representations#1.type,item_name.alternate_representations#1.value,item_name.value,item_name.value_id,item_name#2.value,item_volume.unit,item_volume.value,item_weight.normalized_value.unit,item_weight.normalized_value.value,item_weight.unit,item_weight.value,list_price.currency,list_price.is_originating_currency,list_price.value,list_price.value_with_tax,list_price#2.currency,list_price#2.value,list_price#2.value_with_tax,manufacturer.value,manufacturer.value_id,minimum_order_quantity.increment#1.value,minimum_order_quantity.minimum#1.value,product_category.value,product_classes.value#1,product_expiration_type.value,product_expiration_type.value_id,product_shelf_life#1.unit,product_shelf_life#1.value,product_type.value,product_type_category.value,product_type_embedding.model.metadata.model_id,product_type_embedding.model.metadata.norm_function,product_type_embedding.model.vector#1.score,product_type_embedding.model.vector#1.value,product_type_embedding.override#1.source,product_type_embedding.override#1.type,product_type_embedding.override#1.value,product_type_subcategory.value,rtip_barcode.value,rtip_inner_packs_per_master_pack.value,rtip_items_per_inner_pack.value,rtip_items_per_master_pack.value,rtip_units_per_inner_pack#1.value,unit_count.type.value,unit_count.type.value_id,unit_count.value,upc#1.value,vendor_barcode#1.value
RF454,1.32946E+11,AmazonAe/WJTP1,B0G43FQ5H8,global,Al Rifai,,,,,Authentic Middle Eastern Blend – Traditional Arabic coffee crafted with premium beans and aromatic cardamom for a genuine taste of heritage.,,"Rich & Fragrant Flavor – Smooth, lightly roasted profile with warm spice notes that deliver a distinctive and inviting aroma.","Perfect for Gatherings – A staple of hospitality, ideal for serving guests during family occasions, festive celebrations, or daily rituals.","Premium Quality Packaging – Sealed 250g pack preserves freshness, ensuring every cup is full-bodied and flavorful.","Easy to Prepare – Designed for traditional brewing methods; simply simmer, pour, and enjoy the cultural richness in every sip.",,,,,,6.2711E+12,,,,days,547,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,Powder,,,,,Al Rifai Arabic coffee 250g,,,,,,,,,AED,,,25.65882353,,,,AL  Rifai,,,,32507000,,Expiration On Package,,,,COFFEE,,,,,,,,,,,24,1,,,count,,1,,
FC594,1.32946E+11,AmazonAe/WJTP1,B0G34F886Z,global,Foster Clarks,,,,,"Intensely Chocolaty Delight: Made with rich dark chocolate for a deep, fudgy flavor that satisfies every sweet craving.",,Quick & Easy Prep: Just add water and oil—no eggs needed. Bake delicious brownies in minutes with minimal effort.,"Perfect for Sharing: 500g pack yields up to 16 brownies—ideal for family treats, parties, or gifting.","Versatile Dessert Base: Enjoy as classic brownies or elevate with toppings like nuts, caramel, or ice cream.",Trusted Quality Since 1899: From Foster Clark’s heritage of baking excellence—bringing joy to kitchens worldwide.,,,,,,5.3521E+12,,,,days,548,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,,,,,,Foster Clarks  Brownie Mix Dark Chocolate   500G,,,,,,,,,AED,,,14.25,,,,Foster Clark,,,,32501000,,Expiration On Package,,,,BAKING_MIX,,,,,,,,,,,1,1,,,count,,1,,
FC613,1.32946E+11,AmazonAe/WJTP1,B0G34D9KD2,global,Foster Clarks,,,,,"Decadent Chocolate Indulgence: Enjoy warm, gooey molten lava cakes with a rich chocolate center that melts in every bite.",,"Easy to Prepare: Just add water, oil, and eggs—bake and serve in minutes for a restaurant-style dessert at home.","Perfect for Entertaining: Impress guests with elegant, single-serve lava cakes—ideal for dinner parties, celebrations, or romantic evenings.",Makes Up to 8 Servings: Convenient 400g pack delivers multiple portions of indulgent satisfaction.,Trusted Since 1899: From Foster Clark’s heritage of baking excellence—bringing gourmet desserts to your kitchen with ease.,,,,,,5.3521E+12,,,,days,548,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,,,,,,Foster Clarks Molten Lava 400 Gm,,,,,,,,,AED,,,16.95,,,,Foster Clark,,,,32501000,,Expiration On Package,,,,BAKING_MIX,,,,,,,,,,,1,1,,,count,,1,,
FC595,1.32946E+11,AmazonAe/WJTP1,B0G34B73F6,global,Foster Clarks,,,,,"Deliciously Moist & Chocolaty: Enjoy rich, gooey brownies with a classic chocolate flavor that melts in every bite.",,Quick & Easy to Bake: Just add water and oil—no eggs required. Ready in minutes for effortless indulgence.,"Perfect for Every Occasion: Whether it’s a family dessert, school treat, or festive celebration, this mix delivers crowd-pleasing results.",Generous 500g Pack: Makes up to 16 brownies—ideal for sharing or storing for later cravings.,"Trusted Since 1899: From Foster Clark’s legacy of quality baking products, loved by generations around the world.",,,,,,5.3521E+12,,,,days,548,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,,,,,,Foster Clarks  Brownie Mix  Chocolate   500G,,,,,,,,,AED,,,14.25,,,,Foster Clark,,,,32501000,,Expiration On Package,,,,BAKING_MIX,,,,,,,,,,,1,1,,,count,,1,,
FC593,1.32946E+11,AmazonAe/WJTP1,B0G349YNKV,global,Foster Clarks,,,,,Irresistible Chocolate Hazelnut Fusion: Enjoy the rich taste of chocolate perfectly blended with roasted hazelnut for a gourmet brownie experience.,,Simple & Fast Preparation: Just add water and oil—no eggs required. Bake delicious brownies in minutes with minimal effort.,"Generous 500g Pack: Makes up to 16 brownies—ideal for sharing with family, friends, or keeping all to yourself!","Versatile Dessert Base: Serve warm with ice cream, layer into trifles, or top with nuts and ganache for extra indulgence.",Heritage You Can Trust: From Foster Clark’s legacy of baking excellence since 1899—bringing quality and joy to kitchens worldwide.,,,,,,5.3521E+12,,,,days,548,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,,,,,,Foster Clarks  Brownie Mix Chocolate Hazelnut   500G,,,,,,,,,AED,,,14.25,,,,Foster Clark,,,,32501000,,Expiration On Package,,,,BAKING_MIX,,,,,,,,,,,1,1,,,count,,1,,
TT523,6.74557E+11,AmazonAe/WJTP6,B0G1SSQXMW,global,TATA,,,,,PURE COFFEE BLISS: Enjoy the deliciousness of pure coffee down to the last sip with Tata Coffee Gold*,,SPECIALLY SOURCED: Exquisite blend of coffee crafted from specially sourced high quality robusta and arabica coffee beans,HEAVENLY AROMA: Experience the heavenly aroma of 100% pure coffee,"SUPERIOR FREEZE DRIED TECHNOLOGY: Each granule of Tata Coffee Gold* is freeze-dried to pack in the rich, full-bodied taste of coffee",INSTANT COFFEE: An instant coffee for those whose love for coffee is extraordinary,,,,,,8.90109E+12,,,,days,730,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,Granule,,,,,TATA COFFEE GOLD JARS 190g,,,,,,,,,AED,,,43.66666667,,,,TATA COFFEE,,,,32507000,,Expiration Date Required,,,,COFFEE,,,,,,,,,,,1,1,,,count,,1,,
TT525,6.74557E+11,AmazonAe/WJTP6,B0G1SQVJJV,global,TATA,,,,,RICH TASTE & IRRESISTIBLE AROMA: Sip on the superior balance of rich taste and irresistible aroma with Tata Tea Gold,,15% LONG LEAF TEA: Made by gently rolling 15% long leaves that release the distinguished aroma with 85% Assam CTC tea leaves for a rich flavour,"BLENDED BY EXPERTS: Enjoy a cup of premium quality tea, selected and blended by Tata Tea experts",YOUR EVERYDAY TEA: Make the perfect cup of chai to delight you & your loved ones at any time of the day,"ALSO TRY: Tata Tea Premium, Tata Tea Masala Chai, Tata Tea Cardamom Chai, Tetley Strong, Tata Coffee Gold",,,,,,8.90105E+12,,,,days,1095,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,Powder,,,,,TATA TEA GOLD 200g,,,,,,,,,AED,,,10.42222222,,,,TATA CoNSUMER PRODUCTS,,,,32507000,,Expiration On Package,,,,TEA,,,,,,,,,,,1,1,,,count,,1,,
TT343,6.74557E+11,AmazonAe/WJTP6,B0FTFCM1XN,global,TETLEY,,,,,"🍋 Zesty Lemon Meets Soothing Honey – A harmonious blend of tangy lemon and smooth honey flavor infused into pure green tea for a refreshing, comforting cup.",,🌿 Naturally Antioxidant-Rich – Supports your body's wellness with antioxidants that help fight free radicals and promote a balanced lifestyle.,"☀️ Uplifting Anytime Brew – Light caffeine content makes it perfect for morning motivation, mid-day clarity, or a gentle evening wind-down.","🫖 50 Individually Wrapped Bags – Sealed for freshness and convenience—ideal for home, office, or travel.",🏆 Crafted by Tetley’s Tea Experts – From one of the world’s most trusted tea brands with over 180 years of blending excellence.,,,,,,8.90105E+12,,,,days,1095,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,Teabags,,,,,Tetley Green Tea Lemon and Honey 50 bags,,,,,,,,,AED,,,24.95,,,,TATA Consumer Products Limited,,,,32507000,,Expiration On Package,,,,TEA,,,,,,,,,,,24,1,,,count,,24,,
TT342,6.74557E+11,AmazonAe/WJTP6,B0FTF86BJ4,global,TETLEY,,,,,🌱 Cool & Refreshing Blend – Enjoy the crisp fusion of pure green tea and natural mint for a revitalizing sip that awakens your senses.,,🍃 Naturally Antioxidant-Rich – Supports your wellness journey with antioxidants that help combat free radicals and promote inner balance.,"🧘‍♀️ Perfect for Mindful Moments – Whether you're winding down or seeking a midday refresh, this soothing blend brings calm and clarity to your routine.","☕ 50 Convenient Tea Bags – Individually wrapped for freshness and ease—ideal for home, office, or travel.",🏅 Crafted by Tetley’s Tea Masters – From one of the world’s most trusted tea brands with over 180 years of expertise in blending quality teas.,,,,,,8.90105E+12,,,,days,1095,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,Teabags,,,,,Tetley Green Mint Tea 50 bags,,,,,,,,,AED,,,24.95,,,,TATA Consumer Products Limited,,,1,32507000,,Expiration On Package,,,,TEA,,,,,,,,,,,1,1,,,count,,24,,
DI289,1.32946E+11,AmazonAe/WJTP1,B0FLJH5G4D,global,DIAMOND دايموند,,,,,"🌿 100% Pure Saffron Powder – Finely ground saffron threads with no additives or fillers. Delivers authentic aroma, flavor, and vibrant color to every dish",,"📦 Convenient Sachet Format – Includes 12 individually packed 0.2g sachets for easy portion control, freshness, and mess-free use in daily cooking.","🍽️ Versatile Culinary Use – Perfect for rice, desserts, saffron tea, milk, and baked goods. Dissolves easily for smooth blending into recipes.",,,,,,,,6.29101E+12,,,,days,1095,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,Whole,,,,,Diamond Saffron Powder  24 x.2g Each  Premium Quality  Ideal for Daily Use,,,,,,,,,AED,,,82.11,,,,Diamond Arabia,,,1,32501000,,Expiration On Package,,,,HERB,,,,,,,,,,,1,1,,,count,,24,,
DI287,1.32946E+11,AmazonAe/WJTP1,B0FLJG3X4C,global,DIAMOND دايموند,,,,,100% Natural & Handpicked,,"💎 Super Negin Grade – Features thick, unbroken red threads with no yellow or white parts, offering the highest coloring and aroma quality among saffron types.","🍽️ Gourmet Culinary Spice – Ideal for rice dishes, desserts, saffron tea, and gourmet recipes. A favorite among chefs and culinary enthusiasts for its rich flavor and vibrant color.","🎁 Elegant Packaging – Comes in export-grade packaging, perfect for gifting or long-term storage. A luxurious touch for special occasions or premium kitchen collections.",,,,,,,6.29101E+12,,,,days,1095,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,Whole,,,,,Diamond Premium Saffron  Super Negin Threads  1g Elegant Ring Box Packaging,,,,,,,,,AED,,,28.014,,,,Diamond Arabia,,,1,32501000,,Expiration On Package,,,,HERB,,,,,,,,,,,1,1,,,count,,12,,
DI288,1.32946E+11,AmazonAe/WJTP1,B0FLHSQ2ZF,global,DIAMOND دايموند,,,,,"🌿 100% Pure Saffron Powder – Finely ground saffron threads with no additives or fillers. Delivers authentic aroma, flavor, and vibrant color to every dish",,"📦 Convenient Sachet Format – Includes 12 individually packed 0.2g sachets for easy portion control, freshness, and mess-free use in daily cooking.","🍽️ Versatile Culinary Use – Perfect for rice, desserts, saffron tea, milk, and baked goods. Dissolves easily for smooth blending into recipes.",,,,,,,,6.29101E+12,,,,days,1095,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,Whole,,,,,Diamond Saffron Powder  12x.2g Each  Premium Quality  Ideal for Daily Use,,,,,,,,,AED,,,43.47,,,,Diamond Arabia,,,1,32501000,,Expiration On Package,,,,HERB,,,,,,,,,,,1,1,,,count,,12,,
DI418,1.32946E+11,AmazonAe/WJTP1,B0FLDF6S1B,global,DIAMOND دايموند,,,,,"Diamond Organic Raw Forest Honey – 350g – Pure, Unfiltered & Natural Sweetener",,"✅ 100% Organic & Raw – Sourced from pristine forest regions, this honey is unprocessed, unfiltered, and free from additives or preservatives.","🍯 Rich Forest Flavor – Distinctive taste profile with deep, earthy notes—perfect for those who appreciate bold, natural sweetness.","🌱 Natural Wellness Booster – Packed with antioxidants and nutrients that support immunity, digestion, and overall vitality.","🧴 Convenient 350g Jar – Ideal size for daily use in tea, toast, baking, or natural remedies—easy to store and pour",,,,,,6.29101E+12,,,,days,730,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,Syrup,,,,,"Diamond Organic Raw Forest Honey – 350g – Pure, Unfiltered & Natural Sweetener",,,,,,,,,AED,,,31.185,,,,Diamond arabia,,,,32500700,,Expiration On Package,,,,HONEY,,,,,,,,,,,1,1,,,count,,1,,
DI419,1.32946E+11,AmazonAe/WJTP1,B0FLDCQ5VK,global,DIAMOND دايموند,,,,,"Diamond Organic Raw Wild Flower Honey – 350g – Pure, Unfiltered & Natural Sweetener",,"✅ 100% Organic & Raw – Sourced from wildflower blossoms, this honey is unprocessed, unfiltered, and free from additives or preservatives","🌸 Delicate Floral Flavor – Offers a light, aromatic sweetness with subtle floral notes—perfect for tea, toast, or natural remedies.","🌿 Rich in Natural Nutrients – Packed with antioxidants, enzymes, and minerals that support immunity, digestion, and overall wellness.","🧴 Convenient 350g Jar – Ideal for everyday use in cooking, baking, or as a natural sweetener—easy to store and pour.",,,,,,6.29101E+12,,,,days,730,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,Syrup,,,,,"Diamond Organic Raw Wild Flower Honey – 350g – Pure, Unfiltered & Natural Sweetener",,,,,,,,,AED,,,21.65625,,,,Diamond arabia,,,,32500700,,Expiration On Package,,,,HONEY,,,,,,,,,,,1,1,,,count,,1,,
DI555,1.32946E+11,AmazonAe/WJTP1,B0FLDBXBCQ,global,DIAMOND دايموند,,,,,Diamond Pure Honey – 25g Glass Jar – Natural Sweetener – Travel Size,,"✅ 100% Pure & Natural Honey – Sourced from premium floral nectar, free from additives, preservatives, or artificial sweeteners","🧳 Compact Travel-Friendly Jar – 25g glass jar is perfect for on-the-go use—ideal for flights, picnics, or office snacks","🌿 Healthy Sugar Alternative – A wholesome sweetener for tea, toast, or yogurt—rich in antioxidants and natural enzymes.","🎁 Elegant Miniature Packaging – Makes a charming gift, party favor, or sampler for honey lovers and wellness enthusiasts.",,,,,,6.29101E+12,,,,days,730,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,Syrup,,,,,Diamond Pure Honey – 25g Glass Jar – Natural Sweetener – Travel Size,,,,,,,,,AED,,,2.079,,,,Diamond arabia,,,,32500700,,Expiration On Package,,,,HONEY,,,,,,,,,,,1,1,,,count,,1,,
DI402,1.32946E+11,AmazonAe/WJTP1,B0FLD8XWTH,global,DIAMOND دايموند,,,,,Diamond Honey Squeeze Pack – 250g – Easy-Pour Bottle – Natural Sweetener,,"✅ 100% Pure & Natural – Sourced from trusted apiaries, Diamond Honey delivers authentic sweetness with no additives or preservatives.","🍯 Easy-Pour Squeeze Bottle – Designed for convenience and mess-free use, perfect for drizzling over toast, tea, or desserts.","🌿 Versatile Sweetener – Ideal for baking, cooking, or daily wellness routines—replace refined sugar with nature’s golden alternative","🧳 Compact & Travel-Friendly – 250g size fits easily in kitchen shelves or lunch bags, great for home, office, or on-the-go use",,,,,,6.29101E+12,,,,days,730,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,Syrup,,,,,Diamond Honey Squeeze Pack – 250g – Easy-Pour Bottle – Natural Sweetener,,,,,,,,,AED,,,16.99053125,,,,Diamond arabia,,,,32500700,,Expiration On Package,,,,HONEY,,,,,,,,,,,1,1,,,count,,1,,
FC482,1.32946E+11,AmazonAe/WJTP1,B0FHHJ5CYL,global,Foster Clark's,,,,,"Trusted Quality Brand – Foster Clark’s brings you premium-grade bicarbonate of soda, known for purity and consistent performance.",,"Versatile Baking Essential – Perfect for cakes, breads, cookies, and pastries; ensures light, fluffy textures and reliable rise.","Multi-Purpose Household Helper – Ideal for cleaning, deodorizing, and freshening around the home; a natural, safe alternative to harsh chemicals.","Food-Grade & Safe – Suitable for culinary use, with no added preservatives; a staple for kitchens worldwide.",Generous 450g Pack Size – Convenient resealable packaging keeps contents fresh and ready for repeated use.,,,,,,5.3521E+12,,,,days,1095,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,Powder,,,,,FOSTER CLARK BICARBONATE OF SODA  450G,,,,,,,,,AED,,,9.75,,,,Foster Clark,,,,32501000,,Expiration On Package,,,,LEAVENING_AGENT,,,,,,,,,,,1,1,,,count,,1,,
TT606,6.74557E+11,AmazonAe/WJTP6,B0DT63965V,global,TATA GLOBAL BEVeRAGES,,,,,"POWER-PACKED START TO YOUR DAY
The OG breakfast cereal gets an upgrade with Tata Soulfull Corn Flakes+. By blending 16% Jowar with Corn grits into a single flake using innovative
technology, this power-packed breakfast offers afulfilling crunch in every bite.",,"Blended to perfection : Tata Soulfull Cornflakes+ blends togetherJowar and Corn in a single flake through a one-of-its kind innovation, for a nutritious
and Crunchy start to your day","Crunchy till last bite: Time to say goodbye to soggy cereal! With every bite infused with 16% Jowar, this cereal stays crunchy from the first bite to the last.","Fibre rich breakfast: Start you day better, with this fibre-rich nutritious breakfast. While at it, we also said 'No' to trans-fat, cholesterol and added preservatives, so you get the breakfast you deserve.","Serve it with milk or curd/yoghurt and top it with fresh fruits such as bananas, strawberry or mangoes, dry fruits, honey and enjoy a nourishing breakfast.",,,,,,8.90611E+12,,,,days,365,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,,,,,,TATA SOULFULL CORNFLAKES ORIGINAL 500gm,,,,,,,grams,500,AED,,,19.95,,,,TATA CONSUMER PRODUCTS,,,1,32502500,,Expiration On Package,,,,BREAKFAST_CEREAL,,,,,,,,,,,1,1,,,count,,1,,
TT605,6.74557E+11,AmazonAe/WJTP6,B0DT62QDW5,global,TATA GLOBAL BEVeRAGES,,,,,"POWER-PACKED START TO YOUR DAY
The OG breakfast cereal gets an upgrade with Tata Soulfull Corn Flakes+. By blending 16% Jowar with Corn grits into a single flake using innovative
technology, this power-packed breakfast offers afulfilling crunch in every bite.",,"Blended to perfection : Tata Soulfull Cornflakes+ blends togetherJowar and Corn in a single flake through a one-of-its kind innovation, for a nutritious
and Crunchy start to your day","Crunchy till last bite: Time to say goodbye to soggy cereal! With every bite infused with 16% Jowar, this cereal stays crunchy from the first bite to the last.","Fibre rich breakfast: Start you day better, with this fibre-rich nutritious breakfast. While at it, we also said 'No' to trans-fat, cholesterol and added preservatives, so you get the breakfast you deserve.","Serve it with milk or curd/yoghurt and top it with fresh fruits such as bananas, strawberry or mangoes, dry fruits, honey and enjoy a nourishing breakfast.",,,,,,8.90611E+12,,,,days,365,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,,,,,,TATA SOULFUL CORNFLAKES  ORIGINAL 375gm,,,,,,,grams,375,AED,,,14.95,,,,TATA CONSUMER PRODUCTS,,,1,32502500,,Expiration On Package,,,,BREAKFAST_CEREAL,,,,,,,,,,,1,1,,,count,,1,,
TT604,6.74557E+11,AmazonAe/WJTP6,B0DT61H872,global,TATA GLOBAL BEVeRAGES,,,,,"FROM CEREAL HEAVEN: Combos like pineapple on pizza don't work but our millet-muesli combo is a match made in breakfast heaven. The wondrous mix of multi grain flakes without any added sugar will make your mornings tasty, healthy and always
awesome.",,CRUNCHY MILLETS: Millets are nutritious ancient grains rich in Calcium. The crunchy millets in Tata Soulfull Millet Muesli will make your mornings truly awesome,DELICIOUS FRUITS & NUT: Enjoy the delicious taste of fruits & nut in your breakfast bowl with 90% whole-grain.,PLANT-BASED: Millets are a popular plant-based option due to their high nutrient density.,"Also Try: Tata SOULFULL Millet Muesli Almond & Raisins, Tata Soulfull Delicious Millets Ragi Bites Fills, TATA SOULFULL - delicious millets- RAGI BITES NO MAIDA CHOCO",,,,,,8.90611E+12,,,,days,365,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,,,,,,TATA SOULFULL MUESLI 0% ADDED SUGAR 500g,,,,,,,grams,375,AED,,,19.5,,,,TATA CONSUMER PRODUCTS,,,,32502500,,Expiration On Package,,,,BREAKFAST_CEREAL,,,,,,,,,,,20,1,,,count,,1,,
TT607,6.74557E+11,AmazonAe/WJTP6,B0DT5Z95MT,global,TATA GLOBAL BEVeRAGES,,,,,"POWER-PACKED START TO YOUR DAY
The OG breakfast cereal gets an upgrade with Tata Soulfull Corn Flakes+. By blending 16% Jowar with Corn grits into a single flake using innovative
technology, this power-packed breakfast offers afulfilling crunch in every bite.",,"Blended to perfection : Tata Soulfull Cornflakes+ blends togetherJowar and Corn in a single flake through a one-of-its kind innovation, for a nutritious
and Crunchy start to your day","Crunchy till last bite: Time to say goodbye to soggy cereal! With every bite infused with 16% Jowar, this cereal stays crunchy from the first bite to the last.","Fibre rich breakfast: Start you day better, with this fibre-rich nutritious breakfast. While at it, we also said 'No' to trans-fat, cholesterol and added preservatives, so you get the breakfast you deserve.","Nourishing, Tasty & Healthy Breakfast Cereal - Milk with Almonds and Honey tastes yummy all through the year. And so, we got local chefs to put together a delightful combination of Kellogg's Corn Flakes with Real Almond Honey. Enjoy it with warm or cold milk and add some great taste to your busy mornings",,,,,,8.90611E+12,,,,days,365,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,,,,,,TATA SOULFULL CORNFLAKES ORIGINAL+HONEY & ALMONDS 375gm,,,,,,,grams,375,AED,,,18.95,,,,TATA CONSUMER PRODUCTS,,,1,32502500,,Expiration On Package,,,,BREAKFAST_CEREAL,,,,,,,,,,,1,1,,,count,,1,,
SV048,1.32946E+11,AmazonAe/WJTP1,B0DKF5Q4HG,global,Afia,,,,,100 Pure canola oil for versatile cooking use,,"Low in saturated fat, ideal for heart health",Rich in Omega-3 and Omega-6 fatty acids,"Suitable for frying, sautéing and baking",Neutral taste enhances natural flavors of food,,,,,,6.28101E+12,,,,days,365,,,,gl_grocery,,,TRUE,,,centimeters,30,,,centimeters,12,,,centimeters,8,,,,,,Afia Canola Oil 1.5 Liter,,,,,,,,,AED,,,22.43,,,,Afia,,,,32502000,,Expiration On Package,,,,EDIBLE_OIL_FAT,,,,,,,,,,,1,1,,,millilitre,,1500,,
SV486,1.32946E+11,AmazonAe/WJTP1,B0DKF4ZJDN,global,Afia,,,,,Made from a blend of high-quality vegetable oils,,"Ideal for frying, baking and cooking daily meals",Contains essential fatty acids for balanced nutrition,Low in saturated fats for a healthier option,Provides a neutral flavor that complements dishes,,,,,,6.28101E+12,,,,days,365,,,,gl_grocery,,,TRUE,,,centimeters,32,,,centimeters,14,,,centimeters,10,,,,,,Afia Sun Vita Blended Vegetable Oil 2.9 Liter,,,,,,,,,AED,,,28.18,,,,Afia,,,,32502000,,Expiration On Package,,,,EDIBLE_OIL_FAT,,,,,,,,,,,1,1,,,millilitre,,2900,,
