Showing data for:
Marketplace,amazon.ae
Date,2025-12-06 - 2026-01-06
Selected ASINSet,SWM6A
Currency,AED
Exclude Outliers,Yes


Report creation time,Jan 06 2026 13:39 +04:00

,Retail Net OPS,Retail Net Units,Retail Net GMS,Retail Net Spot CP,3P Net OPS,3P Net Units,3P Net GMS,3P Net Spot CP,All Net OPS,All Net Units,All Net GMS,All Net Spot CP
Selected period so far,110359.75,7976,107024.35,-2958.394599,139378.53999999998,9320,115812.55,0,249738.29,17296,222836.9,-2958.394599
Previous year,162436.9,11374,158918.94,-16630.651208,28041.85,1438,28001.53,0,190478.75000000006,12812,186920.47,-16630.651208
Changes from previous year,-30.60%,-28.42%,-31.23%,81.75%,410.04%,560.68%,324.65%,N/A,33.98%,37.76%,21.84%,81.75%


Period,Merchant Type,Metric Type,Sat Dec 06 2025,Sun Dec 07 2025,Mon Dec 08 2025,Tue Dec 09 2025,Wed Dec 10 2025,Thu Dec 11 2025,Fri Dec 12 2025,Sat Dec 13 2025,Sun Dec 14 2025,Mon Dec 15 2025,Tue Dec 16 2025,Wed Dec 17 2025,Thu Dec 18 2025,Fri Dec 19 2025,Sat Dec 20 2025,Sun Dec 21 2025,Mon Dec 22 2025,Tue Dec 23 2025,Wed Dec 24 2025,Thu Dec 25 2025,Fri Dec 26 2025,Sat Dec 27 2025,Sun Dec 28 2025,Mon Dec 29 2025,Tue Dec 30 2025,Wed Dec 31 2025,Thu Jan 01 2026,Fri Jan 02 2026,Sat Jan 03 2026,Sun Jan 04 2026,Mon Jan 05 2026,Tue Jan 06 2026
Selected period so far Retail,Retail,NET_OPS,2023.4,2742.29,3303.58,2343.49,2852.41,3150.07,3798.44,4438.73,4740.23,5060.96,4755.5,4003.42,5387.45,3721.89,4585.33,4162.59,5367.12,4635.04,2527.82,1980.73,3177.15,2505.97,2993.86,3034.29,3831.81,2431.13,3110.34,3562.52,1707.21,3911.83,2913.94,N/A
Selected period so far Retail,Retail,NET_UNITS,176,214,245,211,214,231,278,307,296,344,343,338,374,272,294,307,356,290,205,152,244,170,227,235,243,200,214,273,146,270,181,N/A
Selected period so far Retail,Retail,NET_GMS,1947.94,2688.71,3213.5,2238.77,2819.93,3022.53,3680.23,4368.39,4448.03,4963.65,4606.79,3892.82,5150.82,3562.48,4440.02,4080.46,5276.72,4539.35,2458.99,1928.31,3098.14,2424.92,2929.1,2834.38,3760.45,2376.54,2959.21,3385.7,1647.55,3837.25,2855.34,N/A
Selected period so far Retail,Retail,NET_SPOT_CP,-65.76529699999999,-163.620295,43.64634199999999,-11.897474999999986,-100.159315,-141.970128,-101.80528100000001,-72.435958,107.58329899999998,-150.783118,-241.62230399999999,-311.19050100000004,-118.32238199999996,-179.13103,-65.649841,-91.93690799999999,-77.58763299999998,245.75830000000002,21.984857999999996,19.11572099999999,-82.024904,-97.823725,-157.593009,-264.350032,-33.49389900000001,-238.6993,-470.308055,-189.212074,-63.79499,6.1227380000000124,168.98960599999998,N/A
Selected period so far 3P,3P,NET_OPS,4201.36,6151.37,4751.41,4156.5,3840.86,3781.01,3682.16,4385.61,4913.33,3910.97,5319.83,4478.95,4829.54,3913.21,3491.51,5487.2,4517.22,5259.66,5393.28,4077.67,3697.9,4505.05,3288.27,3767.18,5314.48,4506.61,4153.11,4532.29,4679.42,4991.11,4286.96,N/A
Selected period so far 3P,3P,NET_UNITS,217,260,334,260,257,275,267,302,305,290,355,288,267,254,272,373,284,306,374,292,263,325,238,275,370,347,300,326,323,339,307,N/A
Selected period so far 3P,3P,NET_GMS,3607.1,5594.97,4148.91,3548.39,3306.4,3219.1,2999.82,3606.58,4132.63,3217.18,4389.4,3671.76,4139.88,3260.7,2821.37,4565.16,3920.18,4500.67,4393.71,3232.62,3042.59,3691.35,2662.07,2978.84,4425.83,3598.34,3428.29,3697.64,3733.79,4085.77,3372.49,N/A
Selected period so far 3P,3P,NET_SPOT_CP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
Selected period so far,All,NET_OPS,6224.76,8893.66,8054.99,6499.99,6693.27,6931.08,7480.6,8824.34,9653.56,8971.93,10075.33,8482.369999999999,10216.99,7635.1,8076.84,9649.79,9884.34,9894.7,7921.1,6058.4,6875.05,7011.02,6282.13,6801.469999999999,9146.289999999999,6937.74,7263.45,8094.8099999999995,6386.63,8902.939999999999,7200.9,N/A
Selected period so far,All,NET_UNITS,393,474,579,471,471,506,545,609,601,634,698,626,641,526,566,680,640,596,579,444,507,495,465,510,613,547,514,599,469,609,488,N/A
Selected period so far,All,NET_GMS,5555.04,8283.68,7362.41,5787.16,6126.33,6241.63,6680.05,7974.97,8580.66,8180.83,8996.189999999999,7564.58,9290.7,6823.18,7261.39,8645.619999999999,9196.9,9040.02,6852.7,5160.93,6140.73,6116.27,5591.17,5813.22,8186.28,5974.88,6387.5,7083.34,5381.34,7923.02,6227.83,N/A
Selected period so far,All,NET_SPOT_CP,-65.76529699999999,-163.620295,43.64634199999999,-11.897474999999986,-100.159315,-141.970128,-101.80528100000001,-72.435958,107.58329899999998,-150.783118,-241.62230399999999,-311.19050100000004,-118.32238199999996,-179.13103,-65.649841,-91.93690799999999,-77.58763299999998,245.75830000000002,21.984857999999996,19.11572099999999,-82.024904,-97.823725,-157.593009,-264.350032,-33.49389900000001,-238.6993,-470.308055,-189.212074,-63.79499,6.1227380000000124,168.98960599999998,N/A
Previous year Retail,Retail,NET_OPS,5185.45,5323.29,6754.21,6696.05,5967,5011.43,3340.74,4238.17,5055.94,5235.88,6488.7,4976.53,5423.36,6102.82,5844.31,5372.41,4770.06,4376.35,4211.74,3926.23,6037.59,5228.76,6841.11,5622.24,2179.05,4422.29,4832.78,4055.63,3817.82,5108.22,4378.59,5612.15
Previous year Retail,Retail,NET_UNITS,369,370,539,498,465,359,268,291,390,405,477,382,371,418,363,379,276,286,283,281,358,331,462,376,160,279,349,263,270,364,307,385
Previous year Retail,Retail,NET_GMS,4990.16,5236.87,6619.73,6555.77,5834.84,4849.34,3232.75,4173.07,4961.73,5126.35,6344.58,4855.08,5335.5,5881.57,5697.08,5243.17,4698.1,4371.19,4133.76,3863.36,5922.23,5189.42,6741.03,5558.89,2141.75,4339.53,4761.73,3943.57,3655.88,4980.77,4275.03,5405.11
Previous year Retail,Retail,NET_SPOT_CP,-713.467,-465.75600000000003,-945.073,-718.223,-779.5029999999999,-412.887,-351.844,-313.946,-429.815,-407.656,-395.427,-507.375,-127.43199999999999,-449.161,-493.30600000000004,-394.513,-191.488,-511.695,-583.799,-402.7,-561.219,-664.442,-837.29,-698.055,-305.592,-521.818242,-686.29297,-549.755608,-431.101231,-471.755112,-593.7020269999999,-714.5620180000001
Previous year 3P,3P,NET_OPS,515.15,1062.71,1294.42,913.03,987.39,949.68,827.94,548.94,541.16,640.19,1243.78,1499.43,1158.06,421.28,1209.1,1234.41,491.26,1043.42,439.37,932.96,804.3,533.8,882.75,738.96,652.67,656.6,1275.93,668.46,930,924.31,706.67,1313.72
Previous year 3P,3P,NET_UNITS,25,60,63,41,34,52,46,36,30,40,36,65,40,36,38,46,37,72,37,49,42,38,44,73,47,31,42,58,50,42,36,52
Previous year 3P,3P,NET_GMS,512.24,1075.79,1326.6,906,987.77,951.24,834.64,545.28,535.45,652.02,1229.2,1494.54,1166.82,421.42,1172.67,1111.6,494.76,1059.46,441.74,924.96,847.26,559.12,894.84,737.94,651.7,667.18,1307.4,659.27,929.37,897.7,697.85,1307.7
Previous year 3P,3P,NET_SPOT_CP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Previous year,All,NET_OPS,5700.599999999999,6386,8048.63,7609.08,6954.39,5961.110000000001,4168.68,4787.110000000001,5597.099999999999,5876.07,7732.48,6475.96,6581.42,6524.099999999999,7053.41,6606.82,5261.320000000001,5419.77,4651.11,4859.1900000000005,6841.89,5762.56,7723.86,6361.2,2831.7200000000003,5078.89,6108.71,4724.09,4747.82,6032.530000000001,5085.26,6925.87
Previous year,All,NET_UNITS,394,430,602,539,499,411,314,327,420,445,513,447,411,454,401,425,313,358,320,330,400,369,506,449,207,310,391,321,320,406,343,437
Previous year,All,NET_GMS,5502.4,6312.66,7946.33,7461.77,6822.610000000001,5800.58,4067.39,4718.349999999999,5497.179999999999,5778.370000000001,7573.78,6349.62,6502.32,6302.99,6869.75,6354.77,5192.860000000001,5430.65,4575.5,4788.32,6769.49,5748.54,7635.87,6296.83,2793.45,5006.71,6069.129999999999,4602.84,4585.25,5878.47,4972.88,6712.8099999999995
Previous year,All,NET_SPOT_CP,-713.467,-465.75600000000003,-945.073,-718.223,-779.5029999999999,-412.887,-351.844,-313.946,-429.815,-407.656,-395.427,-507.375,-127.43199999999999,-449.161,-493.30600000000004,-394.513,-191.488,-511.695,-583.799,-402.7,-561.219,-664.442,-837.29,-698.055,-305.592,-521.818242,-686.29297,-549.755608,-431.101231,-471.755112,-593.7020269999999,-714.5620180000001









Top ASINs,NET_OPS,Title

Top ASINs,NET_UNITS,Title
