Showing data for:
Marketplace,amazon.ae
Date,2025-12-06 - 2026-01-06
Selected ASINSet,T072Y
Currency,AED
Exclude Outliers,Yes


Report creation time,Jan 06 2026 13:36 +04:00

,Retail Net OPS,Retail Net Units,Retail Net GMS,Retail Net Spot CP,3P Net OPS,3P Net Units,3P Net GMS,3P Net Spot CP,All Net OPS,All Net Units,All Net GMS,All Net Spot CP
Selected period so far,219485.61,1966,205021.25999999998,42072.461612,215410.56000000006,2887,186660.18000000002,0,434896.17000000004,4853,391681.43999999994,42072.461612
Previous year,262888.0399999999,2434,250599.18000000002,44650.242803999994,35311.520000000004,343,35210.54,0,298199.55999999994,2777,285809.72,44650.242803999994
Changes from previous year,-14.53%,-17.05%,-16.29%,-3.98%,516.52%,753.25%,435.68%,N/A,49.05%,79.13%,39.99%,-3.98%


Period,Merchant Type,Metric Type,Sat Dec 06 2025,Sun Dec 07 2025,Mon Dec 08 2025,Tue Dec 09 2025,Wed Dec 10 2025,Thu Dec 11 2025,Fri Dec 12 2025,Sat Dec 13 2025,Sun Dec 14 2025,Mon Dec 15 2025,Tue Dec 16 2025,Wed Dec 17 2025,Thu Dec 18 2025,Fri Dec 19 2025,Sat Dec 20 2025,Sun Dec 21 2025,Mon Dec 22 2025,Tue Dec 23 2025,Wed Dec 24 2025,Thu Dec 25 2025,Fri Dec 26 2025,Sat Dec 27 2025,Sun Dec 28 2025,Mon Dec 29 2025,Tue Dec 30 2025,Wed Dec 31 2025,Thu Jan 01 2026,Fri Jan 02 2026,Sat Jan 03 2026,Sun Jan 04 2026,Mon Jan 05 2026,Tue Jan 06 2026
Selected period so far Retail,Retail,NET_OPS,5708.63,5566.16,6246.18,7827.03,5504.95,5353.4,4538.54,5246.32,5095.4,5489.8,4224.6,1821.73,3538.56,4269.57,1311.31,4262.35,3852.79,6164.47,13570.54,7316.64,7870.71,12325.92,10263.08,10723.44,9344.3,5543.73,8729.26,10440.62,10426.65,10107.66,12574.9,N/A
Selected period so far Retail,Retail,NET_UNITS,53,52,50,71,46,49,41,47,46,50,39,16,34,38,9,40,33,61,106,64,69,113,107,112,83,49,79,94,97,91,87,N/A
Selected period so far Retail,Retail,NET_GMS,5502.62,5256.95,5995.84,7762.11,5149.86,5074.07,4382.01,4967.57,4744.02,5147.94,3904.61,1581.23,3328.17,4043.64,1165.92,4106.46,3572.31,5975.61,12537.33,7017.33,7361.67,11713.23,9397.14,9727.17,8708.68,5231.08,7766.11,9521.18,9652.33,9145.25,11462.01,N/A
Selected period so far Retail,Retail,NET_SPOT_CP,1177.60044,1196.253872,1335.137541,1858.54223,1199.245601,910.847209,833.23003,759.5848960000001,1145.0433910000002,1082.648424,918.0157839999999,388.196845,846.435277,863.3468930000001,478.60947,911.6357640000001,903.9067870000001,1695.8547480000002,3117.983458,1440.726585,1550.630571,2281.6038399999998,734.0974140000001,1144.4343519999998,2026.3786719999998,1151.009573,1605.861302,1529.70616,1279.179738,1918.637802,2875.873415,N/A
Selected period so far 3P,3P,NET_OPS,6361.13,7931.77,7826.84,7539.72,5429.35,4861.79,6428.49,6065.55,6857.18,7622.31,6461.67,5235.37,5372.04,5831.46,5454.66,9502.44,6678.05,6287.42,2845.07,3824.61,4015.51,5021.28,7917.98,8588.64,7900.42,6375.06,7241.07,7963.89,10045.6,11813.2,10900.55,N/A
Selected period so far 3P,3P,NET_UNITS,76,100,111,92,77,70,82,89,102,99,89,90,83,72,75,105,82,78,50,59,52,71,86,123,117,89,122,97,124,134,140,N/A
Selected period so far 3P,3P,NET_GMS,6009.93,7420.05,7253.58,7066.97,5048.98,4500.03,6019.22,5658.08,6229.51,6739.02,5786.11,4655.47,4993.12,5449.57,5064.41,8759.14,6354.3,5799.13,2444.55,3535.76,2917.94,3786.71,6005.68,6849.64,6415.69,4699.72,5933.27,6376.44,8046.39,9664.05,8579.54,N/A
Selected period so far 3P,3P,NET_SPOT_CP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
Selected period so far,All,NET_OPS,12069.76,13497.93,14073.02,15366.75,10934.3,10215.189999999999,10967.029999999999,11311.869999999999,11952.58,13112.11,10686.27,7057.1,8910.6,10101.029999999999,6765.969999999999,13764.79,10530.84,12451.89,16415.61,11141.25,11886.220000000001,17347.2,18181.059999999998,19312.08,17244.72,11918.79,15970.33,18404.510000000002,20472.25,21920.86,23475.449999999997,N/A
Selected period so far,All,NET_UNITS,129,152,161,163,123,119,123,136,148,149,128,106,117,110,84,145,115,139,156,123,121,184,193,235,200,138,201,191,221,225,227,N/A
Selected period so far,All,NET_GMS,11512.55,12677,13249.42,14829.08,10198.84,9574.099999999999,10401.23,10625.65,10973.53,11886.96,9690.72,6236.700000000001,8321.29,9493.21,6230.33,12865.599999999999,9926.61,11774.74,14981.880000000001,10553.09,10279.61,15499.939999999999,15402.82,16576.81,15124.369999999999,9930.8,13699.380000000001,15897.619999999999,17698.72,18809.3,20041.550000000003,N/A
Selected period so far,All,NET_SPOT_CP,1177.60044,1196.253872,1335.137541,1858.54223,1199.245601,910.847209,833.23003,759.5848960000001,1145.0433910000002,1082.648424,918.0157839999999,388.196845,846.435277,863.3468930000001,478.60947,911.6357640000001,903.9067870000001,1695.8547480000002,3117.983458,1440.726585,1550.630571,2281.6038399999998,734.0974140000001,1144.4343519999998,2026.3786719999998,1151.009573,1605.861302,1529.70616,1279.179738,1918.637802,2875.873415,N/A
Previous year Retail,Retail,NET_OPS,9128.63,7288.71,9960.79,7156.07,7465.51,7062.03,6295.24,8194.34,8082.12,7396.96,10404.55,8113.94,7998.51,6249.29,5369.74,5121.01,8606.74,5888.34,2500.69,7069.46,6138.33,7147.97,9197.22,11351.39,6805.48,9121.43,10695.8,11548.57,9485.33,11497.99,13129.9,11415.96
Previous year Retail,Retail,NET_UNITS,80,65,86,62,66,62,57,84,82,69,87,72,71,54,49,47,88,58,23,63,54,66,82,103,60,80,96,103,93,119,134,119
Previous year Retail,Retail,NET_GMS,8858.61,7059.5,9674.14,6985.66,7340.18,6984.93,6127.62,7992.25,7997.8,7187.71,10056.21,7947.42,7830.79,6025.13,5234.71,5047.04,8390.52,5801.11,2389.26,6813.75,5679.25,6722.93,8500.29,10457.96,6312.04,8375.65,9641.85,10720.62,8927.31,10586.88,12245.27,10684.79
Previous year Retail,Retail,NET_SPOT_CP,1173.838,996.581,1323.259,1065.935,1016.962,767.9639999999999,1004.517,672.346,469.049,824.544,1674.703,1243.911,1204.681,936.4050000000001,789.558,771.806,818.106,672.707,479.15700000000004,1298.441,981.209,1980.0949999999998,2680.253,3047.279,1691.636,2799.875411,2838.6695219999997,2484.262083,1539.1242280000001,1696.083891,2126.1205,1581.1651689999999
Previous year 3P,3P,NET_OPS,534,461.49,314.87,605,579.17,642.95,1121.58,341,650,759.01,328,497.52,1020.99,1517.97,1148.04,1233.95,2317.48,2686.52,1352.46,2755.68,1595.22,1158.28,993.22,2604.21,1128.11,426.65,996.07,1189.66,905.23,1266.32,1491.55,689.32
Previous year 3P,3P,NET_UNITS,4,8,10,8,6,7,12,4,11,6,3,7,10,12,9,10,19,23,11,22,15,9,9,29,14,4,9,11,10,12,12,7
Previous year 3P,3P,NET_GMS,512.18,460.17,321.7,602.9,579.15,639.51,1114.98,319.93,644.67,760.96,338,492.31,1022.46,1517.87,1158.04,1243.93,2336.18,2686.32,1352.4,2755.53,1609.06,1159.9,994.27,2575.91,1090.19,426.62,990.97,1182.77,905.34,1266.18,1477.19,672.95
Previous year 3P,3P,NET_SPOT_CP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Previous year,All,NET_OPS,9662.63,7750.2,10275.660000000002,7761.07,8044.68,7704.98,7416.82,8535.34,8732.119999999999,8155.97,10732.55,8611.46,9019.5,7767.26,6517.78,6354.96,10924.22,8574.86,3853.15,9825.14,7733.55,8306.25,10190.439999999999,13955.599999999999,7933.589999999999,9548.08,11691.869999999999,12738.23,10390.56,12764.31,14621.449999999999,12105.279999999999
Previous year,All,NET_UNITS,84,73,96,70,72,69,69,88,93,75,90,79,81,66,58,57,107,81,34,85,69,75,91,132,74,84,105,114,103,131,146,126
Previous year,All,NET_GMS,9370.79,7519.67,9995.84,7588.5599999999995,7919.33,7624.4400000000005,7242.6,8312.18,8642.47,7948.67,10394.21,8439.73,8853.25,7543,6392.75,6290.97,10726.7,8487.43,3741.6600000000003,9569.28,7288.3099999999995,7882.83,9494.560000000001,13033.869999999999,7402.23,8802.27,10632.82,11903.390000000001,9832.65,11853.06,13722.460000000001,11357.740000000002
Previous year,All,NET_SPOT_CP,1173.838,996.581,1323.259,1065.935,1016.962,767.9639999999999,1004.517,672.346,469.049,824.544,1674.703,1243.911,1204.681,936.4050000000001,789.558,771.806,818.106,672.707,479.15700000000004,1298.441,981.209,1980.0949999999998,2680.253,3047.279,1691.636,2799.875411,2838.6695219999997,2484.262083,1539.1242280000001,1696.083891,2126.1205,1581.1651689999999









