ASIN,Brand Name,GV(Dec 2025 ),Net Ordered Units(Dec 2025 ),Net Receipts (Units)(Dec 2025 ),Total Inventory Units(Dec 2025 ),Net Receipts($)(Dec 2025 ),Product GMS($)(Dec 2025 ),Gross Shipped GMS($)(Dec 2025 ),Net Ordered GMS($)(Dec 2025 ),Deal GMS($)(Dec 2025 ),Net PPM(Dec 2025 )(%),Amzn GV(Dec 2025 ),SoROOS(%)(Dec 2025 )(%),Daily SoRoos%(Dec 2025 )(%),Fill Rate - Sourceable(Dec 2025 )(%),Vendor Confirmation Rate - Sourceable(Dec 2025 )(%),Conversion Rate(Dec 2025 )(%),ASP(Dec 2025 ),CM(Dec 2025 )(%),CP($)(Dec 2025 ),CPPU(Dec 2025 ),PPM(Dec 2025 )(%),CCOGS As A % Of PCOGS(Dec 2025 )(%),CCOGS As A % Of Revenue(Dec 2025 )(%),External Box Price Competitiveness (% Of GV)(Dec 2025 )(%),IDQ Score(Dec 2025 )
B015Y1GLK2,TILDA,4235,2008,4746.00,3407.00,84155.31,20377.98,20208.53,18258.82,9291.82,17.23%,2984,16.25%,16.25%,93.00%,43.27%,47.41%,9.09,(13.35)%,-2749.88,-1.23,(95.09)%,57.89%,112.93%,98.40%,91.20
B07X5MH1BM,Vitamin Well,1013,335,0.00,382.00,0.00,9411.22,9355.45,9355.68,0,33.86%,982,0.00%,0.00%,100.00%,100.00%,33.07%,28.09,20.91%,1974.07,5.89,15.10%,22.50%,19.10%,99.69%,63.00
B07M85KKJ4,Barebells,633,147,361.00,452.00,12222.52,5492.17,5183.10,4993.64,0,25.03%,445,0.00%,0.00%,66.82%,100.00%,23.22%,34.11,16.06%,830.18,5.16,0.75%,29.52%,29.30%,100.00%,98.50
B07DLFZW31,Barebells,453,192,440.00,315.00,10736.90,5133.76,4863.69,4956.14,0,31.01%,411,26.27%,26.27%,58.35%,100.00%,42.38%,26.46,19.70%,970.43,5.00,7.79%,30.77%,28.37%,81.32%,100.00
B09P8GQ4TK,M.C. Trader,830,247,580.00,371.00,10106.03,4619.73,4568.72,5077.28,0,40.47%,818,78.19%,78.19%,38.41%,100.00%,29.76%,20.72,23.57%,1063.08,4.77,15.89%,29.99%,25.22%,95.12%,92.50
B08MKX6G7G,Vitamin Well,455,163,192.00,65.00,4579.60,4590.98,4522.49,4522.68,0,33.15%,451,26.59%,26.59%,72.79%,100.00%,35.82%,28.17,20.83%,951.61,5.84,15.31%,22.50%,19.05%,92.89%,98.50
B086DVXG5K,Vitamin Well,669,134,312.00,358.00,7441.85,4066.70,4022.77,4151.69,0,33.41%,652,17.64%,17.64%,96.15%,100.00%,20.03%,28.05,20.46%,836.27,5.77,14.95%,22.85%,19.43%,99.18%,88.50
B07MV32JLH,Afia,608,88,169.00,92.00,5500.59,3600.46,3623.31,2988.25,0,12.99%,570,4.11%,4.11%,98.44%,100.00%,14.47%,33.34,(2.54)%,-91.28,-0.85,2.37%,11.02%,10.76%,99.82%,82.50
B07DLCVM1H,Barebells,222,113,36.00,123.00,878.47,3237.36,3136.22,2916.77,0,29.99%,213,0.00%,0.00%,54.55%,100.00%,50.90%,26.32,18.44%,587.21,4.77,7.29%,27.84%,25.81%,98.08%,100.00
B072HWGV31,Barebells,341,85,196.00,241.00,6636.05,2982.13,2766.48,2890.94,0,27.92%,335,0.00%,0.00%,97.71%,100.00%,24.93%,34.68,18.42%,511.44,5.95,2.36%,33.36%,32.57%,97.12%,98.50
B07TDTX4R2,Barebells,324,108,503.00,379.00,17028.89,2819.02,2560.24,3784.79,0,33.10%,189,27.16%,27.16%,35.65%,100.00%,33.33%,38.62,26.55%,687.86,9.42,13.53%,33.06%,28.58%,75.63%,93.00
B07MHKBDJV,Barebells,270,107,12.00,246.00,292.82,2632.75,2476.37,2775.12,0,32.79%,259,0.00%,0.00%,80.00%,100.00%,39.63%,27.42,22.39%,566.03,5.90,11.02%,30.56%,27.20%,94.94%,100.00
B07P6YJPPG,Afia,236,77,158.00,163.00,4709.39,2497.75,2438.82,2406.93,0,15.05%,228,0.00%,0.00%,97.91%,100.00%,32.63%,32.02,(0.19)%,-4.71,-0.06,6.92%,10.61%,9.87%,100.00%,92.50
B01L1QNQEI,Gowardhan,513,205,1320.00,528.00,16171.83,2036.04,2007.91,2232.83,0,14.18%,429,13.84%,13.84%,61.15%,100.00%,39.96%,11.13,(13.03)%,-255.72,-1.40,(10.12)%,22.87%,25.19%,76.12%,98.30
B08MBD4175,Vitamin Well,451,99,111.00,268.00,2647.58,2015.95,1779.83,1779.85,0,(2.24)%,375,38.80%,38.80%,80.00%,100.00%,21.95%,20.36,(17.21)%,-312.38,-3.16,(17.13)%,22.50%,26.36%,82.03%,82.00
B07MQDNJHS,Pocari Sweat,1043,1188,3872.00,3746.00,5797.90,1784.49,1784.79,1828.06,0,12.12%,1024,0.00%,0.00%,58.92%,100.00%,113.90%,1.54,(35.37)%,-634.90,-0.55,2.98%,9.95%,9.65%,28.79%,82.00
B07P75SDV2,Al osra,620,384,1987.00,1059.00,12036.51,1688.30,1671.69,1516.43,0,(33.85)%,598,11.45%,11.45%,100.13%,100.00%,61.94%,3.96,(121.63)%,-1873.67,-4.40,(52.85)%,13.31%,20.34%,67.94%,82.90
B087GJVRRM,Nom Noms,1636,623,402.00,61.00,980.63,1621.23,1600.92,1802.83,0,34.72%,1559,32.33%,32.33%,13.10%,100.00%,38.08%,2.94,(17.51)%,-301.30,-0.55,17.09%,23.94%,19.84%,81.86%,87.50
B07FSPH47X,Barebells,150,30,60.00,48.00,2031.44,1239.86,1151.59,1043.52,0,29.57%,142,11.33%,11.33%,84.62%,100.00%,20.00%,36.47,22.61%,264.06,7.77,7.15%,31.30%,29.06%,94.69%,98.50
