ASIN,Brand Name,GV(Q4 2025 ),Net Ordered Units(Q4 2025 ),Net Receipts (Units)(Q4 2025 ),Total Inventory Units(Q4 2025 ),Net Receipts($)(Q4 2025 ),Product GMS($)(Q4 2025 ),Gross Shipped GMS($)(Q4 2025 ),Net Ordered GMS($)(Q4 2025 ),Deal GMS($)(Q4 2025 ),Net PPM(Q4 2025 )(%),Amzn GV(Q4 2025 ),SoROOS(%)(Q4 2025 )(%),Daily SoRoos%(Q4 2025 )(%),Fill Rate - Sourceable(Q4 2025 )(%),Vendor Confirmation Rate - Sourceable(Q4 2025 )(%),Conversion Rate(Q4 2025 )(%),ASP(Q4 2025 ),CM(Q4 2025 )(%),CP($)(Q4 2025 ),CPPU(Q4 2025 ),PPM(Q4 2025 )(%),CCOGS As A % Of PCOGS(Q4 2025 )(%),CCOGS As A % Of Revenue(Q4 2025 )(%),External Box Price Competitiveness (% Of GV)(Q4 2025 )(%),IDQ Score(Q4 2025 )
B015Y1GLK2,TILDA,23479,12002,17352.00,3407.00,307682.86,108558.66,106595.75,106525.68,74748.44,17.89%,21739,2.53%,2.53%,84.43%,46.10%,51.12%,9.04,(9.92)%,-10748.28,-0.89,(96.19)%,58.72%,115.20%,83.24%,91.20
B07TDTX4R2,Barebells,5247,999,1282.00,379.00,43401.68,29204.53,27991.27,29041.75,15492.72,27.60%,4147,9.99%,9.99%,45.37%,100.00%,19.04%,29.92,18.33%,5194.14,5.32,(13.02)%,39.08%,44.18%,98.09%,93.00
B09P8GQ4TK,M.C. Trader,3339,1478,953.00,371.00,16605.26,28644.45,28255.84,28657.96,9055.83,34.43%,3130,22.65%,22.65%,32.96%,28.40%,44.26%,19.63,18.24%,5117.30,3.51,11.25%,26.86%,23.84%,87.60%,92.50
B07M85KKJ4,Barebells,4775,929,1031.00,452.00,34906.96,27170.82,25829.18,26515.47,19347.93,28.12%,4102,0.00%,0.00%,87.24%,100.00%,19.46%,29.86,19.49%,5051.26,5.55,(13.39)%,40.33%,45.73%,100.00%,98.50
B086DVXG5K,Vitamin Well,4590,1027,1264.00,358.00,30149.04,26437.93,25937.44,28322.16,13243.68,38.25%,4535,2.57%,2.57%,71.25%,100.00%,22.37%,25.89,25.73%,6773.45,6.63,7.89%,34.61%,31.88%,95.02%,88.50
B086DV7D1W,Vitamin Well,6115,1070,1063.00,17.00,25354.77,26277.44,25972.90,27881.58,13448.68,36.14%,5873,27.08%,27.08%,43.59%,100.00%,17.50%,25.54,19.27%,5028.81,4.89,6.86%,32.59%,30.35%,99.39%,83.50
B07DLFZW31,Barebells,2538,950,1088.00,315.00,26549.42,23443.06,22498.10,22942.62,11916.21,35.42%,2448,4.70%,4.70%,57.45%,100.00%,37.43%,24.94,24.65%,5624.44,5.98,2.15%,37.73%,36.91%,94.69%,100.00
B07X5MH1BM,Vitamin Well,3446,888,1027.00,382.00,24496.09,22768.28,22625.64,22626.60,10304.95,36.11%,2891,10.39%,10.39%,70.04%,100.00%,25.77%,25.64,22.85%,5214.55,5.87,6.97%,31.63%,29.42%,96.06%,63.00
B0BVQBSBV8,Barebells,3859,769,605.00,21.00,20483.72,22382.00,21400.38,22831.66,17787.86,32.11%,3457,10.32%,10.32%,31.68%,100.00%,19.93%,30.58,21.91%,4723.52,6.45,(10.73)%,41.98%,46.48%,98.91%,82.00
B08MKX6G7G,Vitamin Well,2416,756,782.00,65.00,18652.33,20302.18,20069.66,19968.53,1979.43,33.59%,2400,5.02%,5.02%,62.93%,100.00%,31.29%,26.71,21.18%,4299.86,5.66,10.71%,26.55%,23.71%,96.10%,98.50
B072HWGV31,Barebells,2272,520,667.00,241.00,22582.88,16019.37,15135.64,15450.89,10280.90,30.78%,2247,0.00%,0.00%,90.69%,100.00%,22.89%,31.11,21.23%,3221.27,6.25,(8.85)%,40.74%,44.35%,99.21%,98.50
B08MBD4175,Vitamin Well,2395,554,706.00,268.00,16839.57,13836.68,13400.65,13713.59,6029.40,32.35%,2093,15.42%,15.42%,50.80%,100.00%,23.13%,24.80,19.65%,2641.99,4.73,3.81%,32.82%,31.57%,95.74%,82.00
B07DLCVM1H,Barebells,1099,420,463.00,123.00,11298.14,10650.75,10264.47,10285.24,1692.84,31.18%,1054,0.00%,0.00%,65.30%,100.00%,38.22%,25.12,20.27%,2098.33,4.95,2.86%,32.86%,31.92%,98.54%,100.00
B07MHKBDJV,Barebells,1268,391,615.00,246.00,15007.25,10166.06,9590.53,9785.49,1516.57,32.45%,1245,0.00%,0.00%,93.72%,100.00%,30.84%,26.20,23.36%,2260.60,5.83,6.87%,33.37%,31.07%,95.73%,100.00
B0BFBDDGGN,Barebells,1784,306,327.00,48.00,11071.36,9845.76,9391.70,9566.70,5800.33,32.75%,1540,13.28%,13.28%,24.35%,100.00%,17.15%,32.39,23.63%,2241.36,7.37,(4.54)%,39.64%,41.44%,93.79%,94.50
B07MV32JLH,Afia,1523,291,320.00,92.00,10415.31,9633.79,9548.39,9616.58,2831.91,13.02%,1416,6.06%,6.06%,95.02%,99.01%,19.11%,33.45,(3.15)%,-300.34,-1.04,2.70%,11.26%,10.95%,99.93%,82.50
