ASIN,Brand Name,GV(T12M ),Net Ordered Units(T12M ),Net Receipts (Units)(T12M ),Total Inventory Units(T12M ),Net Receipts($)(T12M ),Product GMS($)(T12M ),Gross Shipped GMS($)(T12M ),Net Ordered GMS($)(T12M ),Deal GMS($)(T12M ),Net PPM(T12M )(%),Amzn GV(T12M ),SoROOS(%)(T12M )(%),Daily SoRoos%(T12M )(%),Fill Rate - Sourceable(T12M )(%),Vendor Confirmation Rate - Sourceable(T12M )(%),Conversion Rate(T12M )(%),ASP(T12M ),CM(T12M )(%),CP($)(T12M ),CPPU(T12M ),PPM(T12M )(%),CCOGS As A % Of PCOGS(T12M )(%),CCOGS As A % Of Revenue(T12M )(%),External Box Price Competitiveness (% Of GV)(T12M )(%),IDQ Score(T12M )
B015Y1GLK2,TILDA,71195,26756,39543.00,3407.00,701170.09,253629.60,247065.70,247138.38,144110.55,13.36%,60528,12.64%,12.64%,92.76%,65.75%,37.58%,9.48,(14.45)%,-36446.53,-1.36,(87.04)%,54.75%,102.40%,77.17%,91.20
B086DV7D1W,Vitamin Well,31495,5145,5350.00,17.00,127608.66,132349.43,129819.62,134061.70,45580.26,32.94%,30285,20.24%,20.24%,48.21%,99.90%,16.34%,26.13,16.60%,21711.47,4.29,8.77%,28.53%,26.02%,94.25%,83.50
B09P8GQ4TK,M.C. Trader,12203,5908,7063.00,371.00,123067.07,116027.50,113712.46,113813.94,21911.56,33.63%,11929,6.77%,6.77%,80.50%,42.74%,48.41%,19.64,16.81%,18940.64,3.21,11.29%,27.05%,24.00%,77.04%,92.50
B07X5MH1BM,Vitamin Well,19383,4184,4604.00,382.00,109815.00,107101.05,105371.31,105401.02,41044.57,32.42%,18268,7.32%,7.32%,90.07%,99.36%,21.59%,25.60,17.16%,18291.33,4.37,6.82%,28.97%,26.99%,95.12%,63.00
B07TDTX4R2,Barebells,15639,3016,3416.00,379.00,115647.52,98310.31,94005.98,95688.59,38437.22,28.94%,12842,9.44%,9.44%,65.77%,99.55%,19.29%,32.89,17.60%,16609.44,5.56,(2.90)%,34.81%,35.82%,97.76%,93.00
B086DVXG5K,Vitamin Well,18633,3510,3898.00,358.00,92975.43,91091.52,89860.64,95029.01,33269.26,34.76%,18308,4.43%,4.43%,85.88%,98.06%,18.84%,26.30,19.57%,17733.88,5.12,9.32%,29.51%,26.76%,94.80%,88.50
B08MKX6G7G,Vitamin Well,11893,3108,3794.00,65.00,90494.81,82395.31,81815.70,81780.18,20343.18,33.79%,11740,6.49%,6.49%,81.64%,100.00%,26.13%,26.49,18.44%,15247.92,4.90,9.97%,27.02%,24.32%,94.48%,98.50
B07M85KKJ4,Barebells,13497,2495,3000.00,452.00,101572.15,77489.85,73352.76,74401.41,41438.12,27.32%,11843,3.00%,3.00%,92.22%,100.00%,18.49%,31.35,16.89%,12437.06,5.03,(8.01)%,37.17%,40.15%,99.74%,98.50
B08MBD4175,Vitamin Well,12814,2795,3215.00,268.00,76684.46,70024.11,68485.31,68954.17,26081.68,30.57%,12397,4.98%,4.98%,74.86%,100.00%,21.81%,25.06,15.75%,10860.87,3.89,4.83%,29.21%,27.80%,94.53%,82.00
B07DLFZW31,Barebells,8443,2662,3080.00,315.00,75158.27,69106.81,66455.58,66869.72,23705.43,35.06%,7809,8.53%,8.53%,62.81%,97.84%,31.53%,25.99,21.85%,14651.69,5.51,6.11%,34.67%,32.55%,98.05%,100.00
