ASIN,Brand Name,List Price($)(T12M ),Product GMS($)(T12M ),Deal GMS($)(T12M ),Net PPM(T12M )(%),GV(T12M ),Amzn GV(T12M ),SoROOS(%)(T12M )(%),Daily SoRoos%(T12M )(%),Fill Rate - Sourceable(T12M )(%),Vendor Confirmation Rate - Sourceable(T12M )(%),ASP(T12M ),CM(T12M )(%),CP($)(T12M ),Net Receipts($)(T12M ),Net Receipts (Units)(T12M ),CCOGS As A % Of PCOGS(T12M )(%),PPM(T12M )(%),External Box Price Competitiveness (% Of GV)(T12M )(%),Net Ordered Units(T12M ),Customer Returns($)(T12M ),IDQ Score(T12M )
B09P8GQ4TK,M.C. Trader,26.14,116027.50,21910.18,33.63%,12203,11929,6.77%,6.77%,78.08%,42.74%,19.64,16.93%,19088.45,123067.07,7063.00,27.05%,11.29%,77.04%,5908,714.39,92.50
B08H321LHY,M.C. Trader,16.27,24517.58,5831.44,32.91%,5650,5315,2.12%,2.12%,80.89%,67.40%,11.36,11.01%,2646.09,28515.61,2629.00,31.19%,4.49%,71.82%,2158,195.24,0
B00BLK5E7W,Gerber,9.53,11622.27,1873.21,15.19%,7641,7200,20.46%,20.46%,78.61%,21.04%,6.99,(19.47)%,-2254.34,13895.75,1882.00,22.09%,(5.65)%,99.80%,1661,110.75,95.80
B07CZCM4VZ,General Mills,9.32,10633.24,1190.06,21.50%,2719,2478,6.17%,6.17%,98.55%,27.93%,7.64,(5.03)%,-516.94,13331.29,1702.00,27.41%,(2.54)%,73.71%,1388,47.00,94.50
B00D2PLAMW,Gerber,8.13,10175.18,745.64,13.56%,4235,4168,0.07%,0.07%,98.84%,82.21%,5.12,(10.00)%,-1036.38,12926.98,2134.00,27.58%,(18.28)%,58.68%,1984,0.00,81.70
B0054K0R5Y,Gerber,7.36,9455.23,601.82,26.78%,5423,5274,8.70%,8.70%,84.56%,38.34%,7.67,(2.10)%,-200.30,9834.82,1332.00,25.34%,3.72%,74.01%,1239,14.77,89.50
B07CXJZVRR,General Mills,10.73,7894.87,1089.70,20.91%,1403,1305,5.05%,5.05%,100.96%,54.85%,6.76,(6.58)%,-522.38,9754.28,1352.00,28.04%,(6.74)%,92.87%,1170,7.21,94.50
B079HN2V2D,Gerber,11.24,7504.84,59.63,39.84%,3649,3610,3.23%,3.23%,94.10%,74.61%,8.90,16.76%,1267.58,6763.29,916.00,29.33%,17.06%,98.44%,842,0.00,94.50
B00BLK5AKI,Gerber,6.06,7291.47,105.66,20.54%,5635,5330,8.47%,8.47%,100.17%,49.63%,5.90,(12.93)%,-962.83,9041.59,1412.00,28.11%,(8.55)%,60.01%,1235,19.21,90.50
B000WGE26A,Gerber,7.70,7002.45,535.17,10.87%,3351,3239,1.13%,1.13%,100.00%,53.06%,5.00,(12.41)%,-882.20,8850.20,1461.00,26.87%,(21.20)%,56.96%,1402,36.35,83.30
B079HJZTX7,Gerber,11.24,6443.65,389.61,32.90%,3866,3667,15.68%,15.68%,100.00%,37.03%,8.47,10.71%,692.28,5028.16,681.00,25.23%,12.80%,59.94%,761,7.38,0
B000WHS8M8,Gerber,5.43,6217.39,467.44,13.97%,4597,4235,2.47%,2.47%,94.31%,49.32%,5.01,(18.20)%,-1127.64,8947.78,1551.00,26.87%,(15.24)%,60.37%,1238,46.15,80.70
B019Z95UCO,General Mills,11.60,6180.94,510.59,20.20%,2027,1847,7.77%,7.77%,94.80%,22.79%,7.36,(7.93)%,-488.66,7433.25,959.00,25.89%,(5.34)%,83.90%,841,54.26,0
B07CX3GRXV,General Mills,11.34,6153.57,1284.25,17.43%,3463,2290,12.28%,12.28%,99.78%,16.00%,7.03,(11.84)%,-706.78,7514.51,990.00,27.11%,(7.93)%,82.88%,874,53.13,0
B000R73XZ0,Bragg,5.95,6007.92,433.41,5.68%,5313,4780,18.89%,18.89%,64.00%,95.24%,5.61,(40.83)%,-2430.73,5660.14,1080.00,4.88%,4.40%,66.04%,1071,92.41,95.00
B003ZZABKG,UNKNOWN,4.86,5637.14,803.61,30.11%,4771,4589,4.86%,4.86%,78.58%,28.21%,4.92,(2.45)%,-139.14,6094.53,1338.00,27.29%,7.35%,49.15%,1155,13.67,89.20
B001OY2T1O,Gerber,7.53,5575.10,110.77,12.22%,3799,3400,4.36%,4.36%,100.00%,34.25%,4.70,(22.15)%,-1234.65,7028.57,1296.00,25.29%,(15.47)%,70.23%,1186,43.39,98.30
B00CAUABOS,Gerber,7.79,5209.01,175.12,12.53%,2681,2608,8.69%,8.69%,94.79%,63.75%,4.90,(11.91)%,-622.87,7545.91,1308.00,26.87%,(17.62)%,63.85%,1062,23.08,85.80
B00XMYTY0S,Fruit Roll Up,4.86,5122.14,48.38,27.67%,2507,2447,10.33%,10.33%,74.96%,29.93%,4.86,(3.28)%,-168.37,5233.74,1152.00,25.72%,6.42%,0.00%,1054,27.35,0
B015J4UYEI,Askeys,3.54,5014.72,2053.32,18.41%,4956,4876,2.34%,2.34%,88.96%,100.00%,3.09,(37.62)%,-1900.20,6821.34,1864.00,31.34%,(15.49)%,83.51%,1620,69.56,95.00
B00JSCMGJ4,Gerber,7.70,4636.24,264.67,33.36%,1569,1548,6.50%,6.50%,87.63%,76.23%,6.78,7.13%,334.77,4749.18,784.00,27.23%,10.76%,100.00%,684,0.00,52.50
B002GK0570,Gerber,6.48,4241.65,150.49,16.70%,1399,1352,8.22%,8.22%,100.00%,67.35%,5.18,(5.68)%,-238.96,6432.48,1115.00,27.17%,(11.39)%,54.58%,819,34.61,91.20
B003XXD1O8,Gerber,5.43,4175.80,37.28,9.35%,1884,1809,4.76%,4.76%,98.95%,64.74%,5.06,(14.25)%,-602.33,6669.45,1101.00,25.19%,(19.68)%,64.47%,825,12.12,0
B007TQG23C,UNKNOWN,4.24,4080.72,212.03,45.79%,3240,3117,15.59%,15.59%,68.23%,62.09%,6.06,9.99%,410.70,3473.02,821.00,26.18%,29.08%,100.00%,673,30.40,93.30
B00CAUAAWG,Gerber,7.79,3875.95,198.02,11.34%,1435,1376,6.06%,6.06%,97.85%,49.06%,4.88,(12.85)%,-501.95,5653.66,980.00,26.37%,(18.18)%,66.12%,765,0.00,93.20
B07CZ83NQ4,General Mills,11.86,3858.58,548.33,27.68%,1715,1417,9.68%,9.68%,104.99%,25.20%,8.46,4.14%,153.69,5121.47,648.00,26.76%,6.60%,48.21%,450,63.23,0
B07PKQH3R5,Loyal,7.78,3608.79,423.88,36.23%,6542,6202,3.98%,3.98%,66.33%,100.00%,4.96,(9.55)%,-345.80,2933.58,778.00,17.92%,24.27%,36.39%,729,15.36,82.50
B0014CXH1C,Gerber,10.18,3431.75,401.87,12.69%,2096,1786,16.55%,16.55%,92.40%,51.76%,9.10,(12.55)%,-443.26,5491.41,501.00,27.92%,(20.41)%,92.46%,377,0.00,94.50
B004PELWAY,Gerber,7.79,2509.12,65.70,9.81%,681,645,6.90%,6.90%,95.74%,58.51%,4.84,(12.39)%,-314.25,3334.51,578.00,25.70%,(18.87)%,66.09%,517,0.00,0
B0041HVNZ4,Popcorners,5.32,2377.14,571.03,38.33%,997,827,19.37%,19.37%,52.50%,50.84%,4.66,4.49%,105.16,2518.67,546.00,42.06%,0.43%,69.86%,511,0.00,70.80
B000PDHHDA,Gerber,7.45,2367.84,185.33,16.51%,2228,2190,3.71%,3.71%,89.92%,71.67%,4.86,(15.96)%,-384.17,3264.81,602.00,27.18%,(11.54)%,72.69%,486,0.00,0
B00ECGW40C,MARTINELLI'S,2.67,2353.21,162.16,33.60%,499,481,19.44%,19.44%,87.97%,70.93%,2.74,(19.15)%,-421.06,2362.32,931.00,28.39%,7.48%,63.50%,847,40.60,86.00
B000WGBLOQ,Gerber,0.00,2303.72,38.60,24.76%,1363,1317,14.67%,14.67%,85.85%,51.21%,5.83,(0.26)%,-6.02,2572.99,446.00,26.29%,1.08%,68.40%,395,0.00,0
B08G8WV5T8,Gerber,7.05,2141.79,234.57,22.16%,701,633,7.86%,7.86%,98.91%,14.56%,6.59,(7.21)%,-155.13,2164.41,318.00,25.65%,(3.28)%,69.30%,325,27.23,71.00
B007F1MO42,General Mills,9.98,1877.98,5.98,26.48%,488,416,9.85%,9.85%,100.46%,33.59%,9.39,3.18%,58.10,2015.05,230.00,25.17%,6.70%,65.19%,199,8.76,0
B0055QCGWE,Skippy,0.00,1877.16,0,24.85%,3500,2984,14.71%,14.71%,81.58%,34.23%,5.07,(8.48)%,-160.03,1393.59,372.00,1.34%,26.16%,100.00%,361,0.00,0
B000WGBLIC,Gerber,0.00,1711.31,22.64,32.89%,940,690,2.40%,2.40%,100.00%,15.93%,6.22,7.06%,122.18,1496.83,276.00,25.40%,12.85%,57.20%,276,0.00,0
B08V929N3B,MARTINELLI'S,5.09,1637.88,117.52,26.76%,2668,2601,2.89%,2.89%,73.17%,85.42%,4.85,(2.98)%,-48.84,2045.06,422.00,26.85%,(0.01)%,84.96%,336,19.38,81.00
B08H323F75,M.C. Trader,7.54,1387.42,354.90,29.05%,660,550,27.57%,27.57%,47.06%,85.86%,7.08,(0.21)%,-3.01,1406.61,196.00,30.24%,(1.38)%,0.00%,206,0.00,92.50
B07CX3FHMB,General Mills,14.71,1383.39,0,38.47%,856,408,47.67%,47.67%,58.33%,19.96%,13.30,20.49%,287.60,1457.80,133.00,25.43%,17.60%,76.92%,104,0.00,94.50
B09JWY9QSF,M.C. Trader,9.93,1248.27,85.25,42.30%,1456,1443,0.00%,0.00%,88.76%,47.85%,6.12,4.77%,58.61,665.40,124.00,29.54%,20.18%,0.00%,203,16.10,100.00
B0028UQ5VI,Gerber,5.27,992.41,463.69,49.48%,858,519,3.47%,3.47%,84.98%,60.05%,4.39,16.90%,169.32,2386.24,440.00,60.47%,(23.50)%,87.22%,226,5.42,0
B001AS8QPC,General Mills,8.49,894.11,16.43,13.50%,694,591,11.69%,11.69%,83.77%,30.16%,6.72,(22.62)%,-190.53,1575.16,215.00,24.78%,(8.98)%,62.57%,131,14.65,93.50
B079HNF1WH,Gerber,3.93,882.77,0,16.39%,434,406,10.59%,10.59%,100.00%,40.78%,3.50,(7.35)%,-64.12,1169.66,312.00,25.25%,(7.02)%,51.80%,248,0.00,0
B0BQYS999G,General Mills,0.00,837.64,0,28.75%,588,383,24.03%,24.03%,97.96%,10.47%,9.41,1.82%,15.36,901.13,102.00,24.97%,6.13%,100.00%,90,0.00,0
B07QCD9XR3,GM Betty Crocker,4.50,766.75,40.59,47.55%,482,446,17.77%,17.77%,87.94%,67.14%,6.50,16.51%,127.40,600.01,138.00,25.64%,33.09%,100.00%,118,0.00,80.80
B000WLXMCU,MARTINELLI'S,5.95,706.28,104.03,36.44%,285,277,11.58%,11.58%,95.77%,79.18%,5.23,6.49%,39.75,941.40,204.00,29.50%,11.79%,71.15%,135,13.84,86.00
B07QDCR7PP,General Mills,6.07,694.98,0,24.18%,480,389,14.16%,14.16%,92.50%,30.69%,8.80,(0.80)%,-5.72,919.44,108.00,23.77%,3.23%,0.00%,79,0.00,0
B000WHXI0U,Gerber,6.69,628.46,11.02,22.32%,577,433,27.15%,27.15%,98.97%,33.56%,6.55,(16.43)%,-107.67,1082.21,159.00,26.12%,(3.97)%,71.90%,96,0.00,97.00
B00J8U9EIM,Warheads,2.79,588.71,0,42.44%,1824,1704,27.39%,27.39%,55.30%,86.00%,2.03,(27.56)%,-174.74,678.27,512.00,27.86%,24.68%,86.33%,298,1.18,83.20
B079HS4Z3S,Gerber,3.70,579.19,0,15.82%,294,216,2.23%,2.23%,100.00%,37.50%,3.74,(11.64)%,-67.23,629.85,156.00,25.25%,(8.05)%,0.00%,153,0.00,0
B07RN6RQRL,Annie's,6.05,570.72,3.87,36.43%,472,308,30.77%,30.77%,43.46%,34.94%,6.07,5.74%,33.30,688.54,143.00,23.97%,17.03%,100.00%,96,5.25,0
B0DJXK1XYX,Warheads,0.54,543.28,11.64,34.80%,1881,1838,14.50%,14.50%,64.91%,80.06%,3.42,(22.12)%,-88.93,752.89,253.00,27.95%,14.22%,100.00%,157,86.58,87.50
B07L4RJD3L,Betty Crocker,4.99,542.99,0,6.82%,300,217,35.55%,35.55%,25.45%,94.83%,3.88,(31.72)%,-178.07,647.96,140.00,22.00%,(19.33)%,0.00%,141,0.00,93.30
B00005C97M,Gerber,0.00,533.17,5.04,23.94%,435,429,17.93%,17.93%,95.45%,75.86%,6.27,(11.45)%,-63.26,878.69,141.00,24.81%,0.65%,67.81%,87,0.00,86.00
B07QFH3BGS,General Mills,0.00,518.19,0,24.42%,253,244,26.98%,26.98%,101.04%,28.57%,7.85,(5.99)%,-31.34,830.35,108.00,24.85%,2.08%,100.00%,66,0.00,82.00
B079HNP18P,Gerber,4.08,511.65,6.06,21.77%,265,257,16.98%,16.98%,85.54%,76.85%,3.71,0.14%,0.72,832.26,222.00,25.76%,(1.11)%,50.00%,138,0.00,95.80
B007RYU6VA,Gerber,11.29,488.84,29.37,33.34%,494,253,15.87%,15.87%,52.94%,25.95%,6.89,3.17%,15.53,496.73,82.00,25.53%,12.02%,0.00%,71,6.06,0
B00CJ8L8RA,AriZona,3.76,485.02,0,24.07%,439,284,17.77%,17.77%,61.11%,100.00%,3.76,(26.72)%,-95.19,541.51,156.00,22.00%,7.68%,0.00%,129,48.60,82.50
B002U5G3LS,Dr. Pepper,0.00,471.52,67.01,27.26%,299,137,48.98%,48.98%,71.43%,17.16%,29.47,12.52%,59.30,720.32,26.00,23.67%,5.99%,50.00%,16,0.00,67.00
B0083TG0CC,Gerber,3.83,447.21,0,15.88%,302,240,1.83%,1.83%,100.00%,20.69%,3.76,(2.47)%,-10.81,484.50,120.00,25.25%,(7.44)%,54.55%,119,0.00,0
B084WPYLML,UNKNOWN,2.14,445.41,10.80,26.88%,1145,998,47.16%,47.16%,33.78%,76.40%,2.14,(53.59)%,-199.28,934.31,463.00,22.42%,6.08%,0.00%,218,19.74,82.00
B079HGYWRM,Gerber,3.41,413.94,0,36.75%,434,396,21.85%,21.85%,93.75%,44.44%,4.18,3.42%,12.90,535.36,160.00,24.99%,19.97%,61.89%,101,3.35,0
B08F745YDV,Betty Crocker,4.61,406.37,20.11,30.22%,170,148,33.13%,33.13%,63.51%,32.89%,7.39,(5.88)%,-24.74,358.85,54.00,24.34%,10.13%,0.00%,55,0.00,75.80
B08DZKXDT8,GM Betty Crocker,4.42,371.63,0,20.49%,298,246,19.07%,19.07%,100.00%,30.00%,4.42,(18.19)%,-68.37,385.31,85.00,25.25%,(2.46)%,0.00%,84,0.00,0
B00D2PKZ4Q,Gerber,4.03,329.16,19.76,18.06%,267,205,16.32%,16.32%,100.00%,23.40%,3.83,(6.19)%,-20.24,363.38,90.00,25.65%,(5.49)%,53.24%,86,0.00,0
B001BON63M,Warheads,3.84,303.73,2.33,26.37%,2920,2876,26.17%,26.17%,72.62%,58.33%,2.57,(40.09)%,-119.02,508.35,199.00,26.57%,3.92%,99.89%,126,2.42,85.00
B079HP47FS,Gerber,3.84,290.46,5.91,21.38%,182,129,45.25%,45.25%,89.80%,32.67%,3.72,(8.40)%,-24.18,479.86,128.00,25.44%,(0.67)%,60.56%,71,0.00,83.30
B07MFL7W8F,UNKNOWN,7.79,283.08,0,51.98%,452,332,66.92%,66.92%,83.54%,35.91%,11.32,23.76%,69.25,581.57,84.00,21.52%,38.86%,100.00%,25,0.00,81.70
B07CTGSPRT,GM Betty Crocker,8.00,239.88,0,19.77%,68,53,24.56%,24.56%,80.00%,62.50%,8.00,(5.59)%,-13.41,245.52,30.00,25.25%,(2.35)%,0.00%,30,0.00,0
B079HN9RT2,Gerber,0.00,216.22,0,29.76%,184,161,42.86%,42.86%,96.00%,37.31%,3.86,(2.36)%,-4.95,327.91,98.00,25.25%,13.34%,100.00%,56,0.00,0
B01HI4D3UO,AriZona,3.76,197.65,0,12.10%,137,125,52.99%,52.99%,52.63%,82.61%,3.35,(27.59)%,-52.13,208.27,60.00,22.00%,(3.62)%,86.67%,59,0.00,82.50
B0C7CPNQ2G,Dr. Pepper,2.14,188.31,0,25.24%,408,351,51.47%,51.47%,33.16%,86.18%,2.14,(24.27)%,-43.68,489.51,248.00,22.00%,9.86%,50.00%,88,0.00,76.00
