ASIN,Brand Name,List Price($)(Week 49 ),List Price($)(Week 50 ),List Price($)(Week 51 ),List Price($)(Week 52 ),Product GMS($)(Week 49 ),Product GMS($)(Week 50 ),Product GMS($)(Week 51 ),Product GMS($)(Week 52 ),ASP(Week 49 ),ASP(Week 50 ),ASP(Week 51 ),ASP(Week 52 ),CM(Week 49 )(%),CM(Week 50 )(%),CM(Week 51 )(%),CM(Week 52 )(%),CP($)(Week 49 ),CP($)(Week 50 ),CP($)(Week 51 ),CP($)(Week 52 ),Net PPM(Week 49 )(%),Net PPM(Week 50 )(%),Net PPM(Week 51 )(%),Net PPM(Week 52 )(%),GV(Week 49 ),GV(Week 50 ),GV(Week 51 ),GV(Week 52 ),SoROOS(%)(Week 49 )(%),SoROOS(%)(Week 50 )(%),SoROOS(%)(Week 51 )(%),SoROOS(%)(Week 52 )(%),Vendor Confirmation Rate - Sourceable(Week 49 )(%),Vendor Confirmation Rate - Sourceable(Week 50 )(%),Vendor Confirmation Rate - Sourceable(Week 51 )(%),Vendor Confirmation Rate - Sourceable(Week 52 )(%),Fill Rate - Sourceable(Week 49 )(%),Fill Rate - Sourceable(Week 50 )(%),Fill Rate - Sourceable(Week 51 )(%),Fill Rate - Sourceable(Week 52 )(%),SELLABLE_ON_HAND_UNITS(Week 49 ),SELLABLE_ON_HAND_UNITS(Week 50 ),SELLABLE_ON_HAND_UNITS(Week 51 ),SELLABLE_ON_HAND_UNITS(Week 52 ),Total GMM($)(Week 49 ),Total GMM($)(Week 50 ),Total GMM($)(Week 51 ),Total GMM($)(Week 52 ),Net Receipts($)(Week 49 ),Net Receipts($)(Week 50 ),Net Receipts($)(Week 51 ),Net Receipts($)(Week 52 ),Net Receipts (Units)(Week 49 ),Net Receipts (Units)(Week 50 ),Net Receipts (Units)(Week 51 ),Net Receipts (Units)(Week 52 ),CCOGS As A % Of PCOGS(Week 49 )(%),CCOGS As A % Of PCOGS(Week 50 )(%),CCOGS As A % Of PCOGS(Week 51 )(%),CCOGS As A % Of PCOGS(Week 52 )(%),PPM(Week 49 )(%),PPM(Week 50 )(%),PPM(Week 51 )(%),PPM(Week 52 )(%),External Box Price Competitiveness (% Of GV)(Week 49 )(%),External Box Price Competitiveness (% Of GV)(Week 50 )(%),External Box Price Competitiveness (% Of GV)(Week 51 )(%),External Box Price Competitiveness (% Of GV)(Week 52 )(%),Amzn GV(Week 49 ),Amzn GV(Week 50 ),Amzn GV(Week 51 ),Amzn GV(Week 52 ),Customer Returns($)(Week 49 ),Customer Returns($)(Week 50 ),Customer Returns($)(Week 51 ),Customer Returns($)(Week 52 ),Daily SoRoos%(Week 49 )(%),Daily SoRoos%(Week 50 )(%),Daily SoRoos%(Week 51 )(%),Daily SoRoos%(Week 52 )(%),IDQ Score(Week 49 ),IDQ Score(Week 50 ),IDQ Score(Week 51 ),IDQ Score(Week 52 ),Net Ordered Units(Week 49 ),Net Ordered Units(Week 50 ),Net Ordered Units(Week 51 ),Net Ordered Units(Week 52 )
B07MQDNJHS,Pocari Sweat,1.95,1.95,1.95,1.95,554.18,401.36,426.05,313.37,1.54,1.54,1.54,1.54,(37.15)%,(31.13)%,(33.15)%,(32.80)%,-198.99,-129.05,-147.41,-105.53,12.23%,11.34%,12.51%,12.37%,235,270,213,201,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%,100.15%,0.00%,66.30%,50.00%,3804,3123,4441,4123,0.00,0.00,0.00,0.00,1985.54,0.00,3003.77,844.53,1326.00,0.00,2006.00,564.00,9.94%,10.00%,9.95%,10.00%,3.00%,3.00%,2.90%,3.00%,31.76%,25.28%,30.29%,30.65%,233,264,208,199,0,0,0,0,0.00%,0.00%,0.00%,0.00%,82.00,82.00,82.00,82.00,386,240,265,203
B084MM33XK,Suntop,6.83,6.83,6.83,0.00,412.58,320.77,105.46,0,4.48,4.39,4.39,0.00,(47.58)%,(51.45)%,(59.70)%,0.00%,-201.54,-168.41,-66.73,0,(7.49)%,(10.78)%,(13.20)%,0.00%,89,63,36,14,0.00%,0.00%,8.33%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,118,45,14,13,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.57%,10.00%,5.42%,0.00%,(17.11)%,(19.52)%,(19.52)%,0.00%,48.31%,53.97%,51.52%,0.00%,89,63,33,0,0,0,0,0,0.00%,0.00%,8.33%,100.00%,93.50,93.50,93.50,0,92,73,25,0
B07NF8B82T,Alitea,6.93,6.93,6.93,6.93,320.64,267.67,182.20,256.15,4.11,5.15,5.52,4.49,(18.47)%,(9.50)%,7.65%,(20.67)%,-57.35,-25.96,14.41,-48.51,12.39%,15.06%,29.00%,19.49%,222,169,146,158,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,2.50%,0.46%,232,199,226,173,0.00,0.00,0.00,0.00,1246.92,124.69,374.08,0.00,200.00,20.00,60.00,0.00,45.92%,30.54%,39.00%,42.95%,(51.66)%,(21.12)%,(12.92)%,(38.73)%,100.00%,43.03%,34.51%,99.36%,222,165,142,154,0,0,0,0,0.00%,0.00%,0.00%,0.00%,87.50,87.50,87.50,87.50,75,53,33,56
B07P75SCX3,UNKNOWN,8.99,8.99,8.99,8.99,265.82,221.98,249.73,41.62,6.65,6.94,6.94,6.94,(22.61)%,(16.16)%,(22.90)%,(21.33)%,-58.03,-36.75,-55.83,-9.05,5.04%,13.78%,12.79%,13.08%,70,90,99,85,0.00%,0.00%,0.00%,37.65%,100.00%,100.00%,100.00%,100.00%,65.57%,100.00%,100.00%,38.51%,179,142,157,194,0.00,0.00,0.00,0.00,428.61,131.88,540.71,514.33,65.00,20.00,82.00,78.00,10.00%,10.00%,10.00%,10.00%,0.77%,4.95%,4.95%,4.95%,30.00%,38.75%,39.51%,76.27%,69,86,94,74,0,0,0,0,0.00%,0.00%,0.00%,37.65%,87.50,87.50,87.50,87.50,42,30,39,6
B01L1QNQEI,Gowardhan,15.93,15.93,15.93,15.93,236.38,245.51,435.23,848.13,10.28,11.16,11.16,11.16,(9.36)%,(12.91)%,(6.93)%,(10.14)%,-21.48,-30.98,-30.58,-85.57,8.53%,15.43%,15.08%,13.68%,143,63,89,157,17.48%,39.68%,17.98%,3.82%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,50.00%,47.06%,2,6,7,353,0.00,0.00,0.00,0.00,0.00,1911.22,1176.13,9409.06,0.00,156.00,96.00,768.00,23.00%,23.00%,23.00%,23.00%,(19.21)%,(9.78)%,(9.78)%,(9.78)%,98.59%,95.56%,79.71%,79.17%,77,49,77,143,0,0,0,0,17.48%,39.68%,17.98%,3.82%,98.30,98.30,98.30,98.30,17,23,37,85
B0B82VTXNL,Mr Makhana,0.00,0.00,0.00,0.00,197.20,145.62,173.50,74.36,2.90,3.10,3.10,3.10,33.10%,44.83%,48.62%,44.89%,66.23,64.96,83.87,32.89,77.80%,77.84%,77.38%,77.18%,45,25,15,20,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,100.00%,177,264,207,506,0.00,0.00,0.00,0.00,292.40,326.51,0.00,787.04,120.00,134.00,0.00,323.00,77.00%,76.00%,76.00%,76.00%,15.98%,21.35%,21.35%,21.35%,68.89%,28.00%,46.67%,55.00%,45,25,15,20,0,0,0,0,0.00%,0.00%,0.00%,0.00%,78.20,78.20,78.20,78.20,67,46,56,24
B07NF69CGR,Bundaberg,4.07,4.07,4.07,4.07,163.35,130.68,163.35,49.01,2.72,2.72,2.72,2.72,(31.27)%,(25.67)%,(16.71)%,(49.78)%,-51.95,-34.72,-30.55,-25.98,(4.95)%,(3.71)%,(5.66)%,(5.42)%,2,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,161,105,115,128,0.00,0.00,0.00,0.00,0.00,0.00,225.43,150.28,0.00,0.00,72.00,48.00,9.83%,10.00%,9.50%,8.33%,(15.00)%,(15.00)%,(15.00)%,(15.00)%,100.00%,0.00%,0.00%,0.00%,2,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00,0.00,60,58,50,18
B00PCCR1FI,India Gate,4.59,4.59,4.59,4.59,143.95,114.10,283.75,102.85,3.60,3.80,3.46,3.21,(28.60)%,(31.79)%,(22.90)%,(53.69)%,-40.72,-36.67,-64.14,-55.67,17.62%,24.76%,16.15%,11.79%,187,200,193,144,0.00%,0.00%,0.00%,2.78%,100.00%,0.00%,0.00%,0.00%,78.50%,0.00%,0.00%,0.00%,42,860,509,68,0.00,0.00,0.00,0.00,911.91,2998.73,0.00,114.35,319.00,1049.00,0.00,40.00,2.09%,2.12%,2.16%,1.93%,20.57%,24.84%,17.39%,11.05%,45.68%,27.17%,34.10%,47.86%,185,194,186,130,0,0,0,0,0.00%,0.00%,0.00%,2.78%,68.70,68.70,68.70,68.70,41,27,86,30
B084VPP1M5,Suntop,6.83,0.00,6.83,6.83,140.61,0,62.17,130.59,4.39,0.00,4.44,4.50,(44.52)%,0.00%,(46.70)%,(38.66)%,-65.10,0,-29.67,-52.56,(8.33)%,0.00%,(7.49)%,(4.96)%,57,12,12,46,36.84%,100.00%,16.67%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0,0,129,135,0.00,0,0.00,0.00,0.00,0.00,756.25,189.06,0.00,0.00,144.00,36.00,10.00%,0.00%,10.00%,10.00%,(19.52)%,0.00%,(18.26)%,(16.63)%,64.91%,100.00%,40.00%,51.11%,57,6,10,45,0,0,0,0,36.84%,100.00%,16.67%,0.00%,90.80,90.80,90.80,90.80,33,7,6,29
B08H6P5677,Mr Makhana,2.72,2.72,2.72,2.72,132.22,46.46,87.75,23.23,2.49,2.58,2.58,2.58,20.49%,38.06%,48.63%,33.75%,26.86,17.82,42.93,7.91,73.82%,70.58%,74.38%,64.35%,24,23,17,10,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,90.91%,184,167,133,218,0.00,0.00,0.00,0.00,319.20,0.00,0.00,229.05,131.00,0.00,0.00,94.00,77.19%,71.78%,76.00%,67.56%,2.32%,5.59%,5.59%,5.59%,70.83%,39.13%,64.71%,40.00%,24,23,17,10,0,0,0,0,0.00%,0.00%,0.00%,0.00%,78.20,78.20,78.20,78.20,47,18,34,11
