ASIN,Brand Name,List Price($)(Week 49 ),List Price($)(Week 50 ),List Price($)(Week 51 ),List Price($)(Week 52 ),Product GMS($)(Week 49 ),Product GMS($)(Week 50 ),Product GMS($)(Week 51 ),Product GMS($)(Week 52 ),ASP(Week 49 ),ASP(Week 50 ),ASP(Week 51 ),ASP(Week 52 ),CM(Week 49 )(%),CM(Week 50 )(%),CM(Week 51 )(%),CM(Week 52 )(%),CP($)(Week 49 ),CP($)(Week 50 ),CP($)(Week 51 ),CP($)(Week 52 ),Net PPM(Week 49 )(%),Net PPM(Week 50 )(%),Net PPM(Week 51 )(%),Net PPM(Week 52 )(%),GV(Week 49 ),GV(Week 50 ),GV(Week 51 ),GV(Week 52 ),SoROOS(%)(Week 49 )(%),SoROOS(%)(Week 50 )(%),SoROOS(%)(Week 51 )(%),SoROOS(%)(Week 52 )(%),Vendor Confirmation Rate - Sourceable(Week 49 )(%),Vendor Confirmation Rate - Sourceable(Week 50 )(%),Vendor Confirmation Rate - Sourceable(Week 51 )(%),Vendor Confirmation Rate - Sourceable(Week 52 )(%),Fill Rate - Sourceable(Week 49 )(%),Fill Rate - Sourceable(Week 50 )(%),Fill Rate - Sourceable(Week 51 )(%),Fill Rate - Sourceable(Week 52 )(%),SELLABLE_ON_HAND_UNITS(Week 49 ),SELLABLE_ON_HAND_UNITS(Week 50 ),SELLABLE_ON_HAND_UNITS(Week 51 ),SELLABLE_ON_HAND_UNITS(Week 52 ),Total GMM($)(Week 49 ),Total GMM($)(Week 50 ),Total GMM($)(Week 51 ),Total GMM($)(Week 52 ),Net Receipts($)(Week 49 ),Net Receipts($)(Week 50 ),Net Receipts($)(Week 51 ),Net Receipts($)(Week 52 ),Net Receipts (Units)(Week 49 ),Net Receipts (Units)(Week 50 ),Net Receipts (Units)(Week 51 ),Net Receipts (Units)(Week 52 ),CCOGS As A % Of PCOGS(Week 49 )(%),CCOGS As A % Of PCOGS(Week 50 )(%),CCOGS As A % Of PCOGS(Week 51 )(%),CCOGS As A % Of PCOGS(Week 52 )(%),PPM(Week 49 )(%),PPM(Week 50 )(%),PPM(Week 51 )(%),PPM(Week 52 )(%),External Box Price Competitiveness (% Of GV)(Week 49 )(%),External Box Price Competitiveness (% Of GV)(Week 50 )(%),External Box Price Competitiveness (% Of GV)(Week 51 )(%),External Box Price Competitiveness (% Of GV)(Week 52 )(%),Amzn GV(Week 49 ),Amzn GV(Week 50 ),Amzn GV(Week 51 ),Amzn GV(Week 52 ),Customer Returns($)(Week 49 ),Customer Returns($)(Week 50 ),Customer Returns($)(Week 51 ),Customer Returns($)(Week 52 ),Daily SoRoos%(Week 49 )(%),Daily SoRoos%(Week 50 )(%),Daily SoRoos%(Week 51 )(%),Daily SoRoos%(Week 52 )(%),IDQ Score(Week 49 ),IDQ Score(Week 50 ),IDQ Score(Week 51 ),IDQ Score(Week 52 ),Net Ordered Units(Week 49 ),Net Ordered Units(Week 50 ),Net Ordered Units(Week 51 ),Net Ordered Units(Week 52 )
B0054K0R5Y,Gerber,7.36,7.36,7.36,7.36,396.72,293.61,214.42,268.51,7.63,7.73,7.15,7.26,0.98%,10.73%,(10.93)%,(11.34)%,3.90,32.69,-23.33,-30.74,27.17%,37.39%,23.64%,22.43%,108,131,144,146,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,168,151,121,82,0.00,0.00,0.00,0.00,0.00,177.20,0.00,0.00,0.00,24.00,0.00,0.00,24.75%,34.48%,26.08%,24.75%,3.22%,4.44%,(3.30)%,(1.74)%,84.11%,80.15%,81.25%,73.29%,107,131,144,146,0,0,0,0,0.00%,0.00%,0.00%,0.00%,89.50,89.50,89.50,89.50,48,37,34,33
B000R73XZ0,Bragg,5.95,5.95,5.95,5.95,250.82,214.08,182.33,118.27,4.05,4.98,4.93,4.93,(76.91)%,(54.68)%,(56.97)%,(60.65)%,-197.80,-123.26,-108.05,-72.71,(29.74)%,(4.61)%,(10.64)%,(4.88)%,125,129,119,108,0.00%,0.00%,0.84%,13.89%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,134,63,17,49,0.00,0.00,0.00,0.00,0.00,0.00,125.78,503.12,0.00,0.00,24.00,96.00,2.16%,2.17%,2.16%,2.17%,(29.55)%,(5.27)%,(6.35)%,(6.35)%,56.56%,62.50%,54.70%,41.11%,123,128,117,105,0,0,0,0,0.00%,0.00%,0.84%,13.89%,100.00,100.00,100.00,95.00,61,42,36,25
B00D2PLAMW,Gerber,8.13,8.13,8.13,8.13,232.56,217.40,303.34,247.73,5.06,5.06,5.06,5.06,(9.64)%,(8.19)%,(12.16)%,(20.08)%,-23.00,-18.68,-38.32,-51.13,14.19%,21.50%,10.24%,8.41%,71,95,107,84,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,232,186,128,66,0.00,0.00,0.00,0.00,508.84,0.00,145.38,0.00,84.00,0.00,24.00,0.00,29.10%,34.77%,25.08%,24.75%,(19.82)%,(19.82)%,(19.82)%,(19.82)%,65.00%,55.95%,69.70%,77.22%,70,94,106,82,0,0,0,0,0.00%,0.00%,0.00%,0.00%,85.70,81.70,81.70,81.70,46,43,61,48
B08H323F75,M.C. Trader,7.54,7.54,7.54,7.54,206.39,67.82,369.26,7.54,7.12,7.54,7.54,7.54,1.30%,(14.95)%,2.74%,21.00%,2.75,-10.59,10.38,1.58,30.24%,23.10%,28.33%,28.34%,78,36,77,65,20.51%,77.78%,24.68%,100.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,7,50,1,0,0.00,0.00,0.00,0.00,0.00,373.18,0.00,0.00,0.00,52.00,0.00,0.00,30.82%,19.25%,24.75%,24.75%,(0.84)%,4.77%,4.77%,4.77%,0.00%,0.00%,0.00%,0.00%,76,36,77,65,0,0,0,0,20.51%,77.78%,24.68%,100.00%,92.50,92.50,92.50,92.50,33,6,50,3
B00BLK5AKI,Gerber,6.06,6.06,6.06,6.06,185.01,212.47,69.05,122.17,5.29,5.31,5.31,5.31,(13.07)%,(21.37)%,(20.13)%,(30.95)%,-25.42,-45.41,-14.45,-39.59,14.90%,20.43%,9.33%,8.19%,116,137,89,93,0.00%,0.00%,32.58%,25.81%,100.00%,0.00%,100.00%,100.00%,125.00%,0.00%,90.00%,0.00%,120,36,13,30,0.00,0.00,0.00,0.00,115.26,0.00,0.00,345.78,18.00,0.00,0.00,54.00,29.75%,33.99%,24.79%,24.75%,(21.14)%,(20.55)%,(20.55)%,(20.55)%,60.91%,53.28%,75.90%,63.95%,112,137,85,90,0,0,0,0,0.00%,0.00%,32.58%,25.81%,90.50,90.50,90.50,90.50,38,37,15,21
B079HN2V2D,Gerber,11.24,11.24,11.24,11.24,176.40,307.62,261.01,168.36,8.82,9.32,9.32,9.35,20.51%,25.59%,24.64%,16.45%,37.40,82.15,65.51,28.33,40.15%,47.25%,42.66%,39.49%,83,80,75,55,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,117,80,55,34,0.00,0.00,0.00,0.00,0.00,0.00,44.30,0.00,0.00,0.00,6.00,0.00,28.50%,34.44%,28.68%,24.75%,16.29%,20.79%,20.79%,21.06%,100.00%,100.00%,73.61%,71.15%,82,80,72,55,0,0,0,0,0.00%,0.00%,0.00%,0.00%,94.50,94.50,94.50,94.50,21,32,28,19
B00JSCMGJ4,Gerber,7.70,7.70,0.00,0.00,128.14,60.52,0,0,6.41,6.72,0.00,0.00,(1.18)%,16.40%,0.00%,0.00%,-1.58,10.72,0,0,32.43%,47.77%,0.00%,0.00%,34,37,29,39,0.00%,35.14%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,23,14,12,6,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.53%,34.77%,0.00%,0.00%,5.45%,19.93%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,34,36,29,38,0,0,0,0,0.00%,35.14%,100.00%,100.00%,52.50,52.50,52.50,52.50,20,12,6,13
B000WGE26A,Gerber,7.70,7.70,7.70,7.70,125.48,116.28,197.17,45.50,5.02,5.06,5.06,5.06,(8.23)%,(3.68)%,(9.80)%,(26.24)%,-10.62,-4.43,-20.00,-13.16,13.53%,21.85%,11.69%,9.84%,50,57,65,55,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,89,65,23,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.35%,34.77%,26.29%,24.75%,(20.69)%,(19.82)%,(19.82)%,(19.82)%,42.50%,43.14%,50.88%,93.33%,50,56,64,49,0,0,0,0,0.00%,0.00%,0.00%,0.00%,85.80,83.30,83.30,83.30,25,24,38,9
B0014CXH1C,Gerber,10.18,10.18,10.18,10.18,122.42,172.45,95.81,86.23,9.42,9.58,9.58,9.58,(12.48)%,4.90%,(10.13)%,(14.74)%,-16.05,8.77,-10.12,-13.55,14.23%,25.36%,16.20%,13.36%,46,52,73,64,0.00%,0.00%,0.00%,1.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,63,41,22,8,0.00,0.00,0.00,0.00,0.00,10.96,0.00,0.00,0.00,1.00,0.00,0.00,26.31%,34.76%,26.75%,24.75%,(16.39)%,(14.41)%,(14.41)%,(14.41)%,100.00%,100.00%,100.00%,100.00%,46,52,68,46,0,0,0,0,0.00%,0.00%,0.00%,1.56%,89.50,94.50,94.50,94.50,13,18,10,9
B015J4UYEI,Askeys,0.00,0.00,0.00,0.00,118.58,56.30,54.79,87.64,3.29,4.02,4.21,3.65,(25.68)%,(12.76)%,(13.32)%,(17.55)%,-29.96,-7.58,-7.85,-15.64,17.67%,26.46%,33.27%,20.95%,100,39,47,55,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,287,262,356,345,0.00,0.00,0.00,0.00,732.84,0.00,423.86,47.54,185.00,0.00,107.00,12.00,32.33%,26.86%,29.00%,29.00%,(20.26)%,1.50%,6.01%,(8.47)%,62.00%,41.03%,53.19%,72.73%,100,39,47,55,0,0,0,0,0.00%,0.00%,0.00%,0.00%,95.00,95.00,95.00,95.00,35,13,13,24
