ASIN,Brand Name,List Price($)(11/23/2025-11/30/2025),List Price($)(11/16/2025-11/23/2025),List Price($)(11/09/2025-11/16/2025),List Price($)(11/02/2025-11/09/2025),Product GMS($)(11/23/2025-11/30/2025),Product GMS($)(11/16/2025-11/23/2025),Product GMS($)(11/09/2025-11/16/2025),Product GMS($)(11/02/2025-11/09/2025),ASP(11/23/2025-11/30/2025),ASP(11/16/2025-11/23/2025),ASP(11/09/2025-11/16/2025),ASP(11/02/2025-11/09/2025),CM(11/23/2025-11/30/2025)(%),CM(11/16/2025-11/23/2025)(%),CM(11/09/2025-11/16/2025)(%),CM(11/02/2025-11/09/2025)(%),CP($)(11/23/2025-11/30/2025),CP($)(11/16/2025-11/23/2025),CP($)(11/09/2025-11/16/2025),CP($)(11/02/2025-11/09/2025),Net PPM(11/23/2025-11/30/2025)(%),Net PPM(11/16/2025-11/23/2025)(%),Net PPM(11/09/2025-11/16/2025)(%),Net PPM(11/02/2025-11/09/2025)(%),GV(11/23/2025-11/30/2025),GV(11/16/2025-11/23/2025),GV(11/09/2025-11/16/2025),GV(11/02/2025-11/09/2025),SoROOS(%)(11/23/2025-11/30/2025)(%),SoROOS(%)(11/16/2025-11/23/2025)(%),SoROOS(%)(11/09/2025-11/16/2025)(%),SoROOS(%)(11/02/2025-11/09/2025)(%),Vendor Confirmation Rate - Sourceable(11/23/2025-11/30/2025)(%),Vendor Confirmation Rate - Sourceable(11/16/2025-11/23/2025)(%),Vendor Confirmation Rate - Sourceable(11/09/2025-11/16/2025)(%),Vendor Confirmation Rate - Sourceable(11/02/2025-11/09/2025)(%),Fill Rate - Sourceable(11/23/2025-11/30/2025)(%),Fill Rate - Sourceable(11/16/2025-11/23/2025)(%),Fill Rate - Sourceable(11/09/2025-11/16/2025)(%),Fill Rate - Sourceable(11/02/2025-11/09/2025)(%),SELLABLE_ON_HAND_UNITS(11/23/2025-11/30/2025),SELLABLE_ON_HAND_UNITS(11/16/2025-11/23/2025),SELLABLE_ON_HAND_UNITS(11/09/2025-11/16/2025),SELLABLE_ON_HAND_UNITS(11/02/2025-11/09/2025),Total GMM($)(11/23/2025-11/30/2025),Total GMM($)(11/16/2025-11/23/2025),Total GMM($)(11/09/2025-11/16/2025),Total GMM($)(11/02/2025-11/09/2025),Net Receipts($)(11/23/2025-11/30/2025),Net Receipts($)(11/16/2025-11/23/2025),Net Receipts($)(11/09/2025-11/16/2025),Net Receipts($)(11/02/2025-11/09/2025),Net Receipts (Units)(11/23/2025-11/30/2025),Net Receipts (Units)(11/16/2025-11/23/2025),Net Receipts (Units)(11/09/2025-11/16/2025),Net Receipts (Units)(11/02/2025-11/09/2025),CCOGS As A % Of PCOGS(11/23/2025-11/30/2025)(%),CCOGS As A % Of PCOGS(11/16/2025-11/23/2025)(%),CCOGS As A % Of PCOGS(11/09/2025-11/16/2025)(%),CCOGS As A % Of PCOGS(11/02/2025-11/09/2025)(%),PPM(11/23/2025-11/30/2025)(%),PPM(11/16/2025-11/23/2025)(%),PPM(11/09/2025-11/16/2025)(%),PPM(11/02/2025-11/09/2025)(%),External Box Price Competitiveness (% Of GV)(11/23/2025-11/30/2025)(%),External Box Price Competitiveness (% Of GV)(11/16/2025-11/23/2025)(%),External Box Price Competitiveness (% Of GV)(11/09/2025-11/16/2025)(%),External Box Price Competitiveness (% Of GV)(11/02/2025-11/09/2025)(%),Amzn GV(11/23/2025-11/30/2025),Amzn GV(11/16/2025-11/23/2025),Amzn GV(11/09/2025-11/16/2025),Amzn GV(11/02/2025-11/09/2025),Customer Returns($)(11/23/2025-11/30/2025),Customer Returns($)(11/16/2025-11/23/2025),Customer Returns($)(11/09/2025-11/16/2025),Customer Returns($)(11/02/2025-11/09/2025),Daily SoRoos%(11/23/2025-11/30/2025)(%),Daily SoRoos%(11/16/2025-11/23/2025)(%),Daily SoRoos%(11/09/2025-11/16/2025)(%),Daily SoRoos%(11/02/2025-11/09/2025)(%),Net Ordered Units(11/23/2025-11/30/2025),Net Ordered Units(11/16/2025-11/23/2025),Net Ordered Units(11/09/2025-11/16/2025),Net Ordered Units(11/02/2025-11/09/2025)
B087GJVRRM,Nom Noms,2.68,2.68,2.68,2.68,995.44,650.59,382.60,299.68,3.63,3.57,2.60,3.22,26.08%,24.87%,(2.69)%,6.22%,264.79,165.23,-10.16,18.33,66.05%,60.34%,43.54%,49.20%,313,241,183,168,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,39.68%,0.00%,0.00%,2348,4351,5315,5516,0.00,0.00,0.00,0.00,0.00,0.00,134.17,417.14,0.00,0.00,55.00,171.00,53.04%,45.30%,45.32%,36.98%,32.85%,31.76%,6.28%,24.30%,71.97%,39.20%,65.54%,51.41%,313,241,181,164,0,0,0,0,0.00%,0.00%,0.00%,0.00%,279,183,149,91
B0881MBW3P,Erko,1.57,1.57,1.57,1.57,624.62,388.07,369.53,379.50,1.52,1.54,1.23,1.48,(2.76)%,(4.40)%,(29.72)%,(20.91)%,-16.74,-17.28,-116.97,-75.67,54.12%,47.49%,40.09%,46.45%,348,300,299,217,0.00%,0.00%,0.00%,11.11%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8753,10698,9864,3589,0.00,0.00,0.00,0.00,0.00,349.91,1262.33,1158.01,0.00,265.00,956.00,877.00,53.95%,43.89%,46.53%,44.36%,13.12%,14.26%,(7.55)%,10.93%,0.00%,0.00%,0.00%,0.00%,346,298,298,214,0,0,0,0,0.00%,0.00%,0.00%,11.11%,425,266,299,241
B07Z7GQJBF,Costa dÓro,11.23,11.23,11.23,11.23,477.78,337.20,237.87,397.13,9.37,9.63,9.91,9.69,(6.80)%,(18.31)%,(4.05)%,(1.26)%,-31.94,-52.62,-9.97,-4.96,14.66%,19.07%,21.72%,18.66%,137,91,68,90,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,61.45%,0.00%,0.00%,151,492,579,520,0.00,0.00,0.00,0.00,0.00,0.00,296.08,663.62,0.00,0.00,29.00,65.00,24.98%,25.36%,23.84%,26.49%,(8.98)%,(5.97)%,(3.01)%,(5.40)%,0.00%,0.00%,0.00%,0.00%,137,91,68,90,0,0,0,0,0.00%,0.00%,0.00%,0.00%,49,32,17,48
B087GJGZPR,Freakin Healthy,7.46,7.46,7.46,7.46,422.04,35.90,627.19,602.06,2.56,3.99,2.57,2.81,(12.92)%,(24.46)%,7.13%,7.60%,-44.37,-9.19,43.71,45.22,31.05%,23.12%,32.64%,32.50%,80,52,114,144,15.00%,46.15%,5.26%,0.00%,0.00%,0.00%,58.54%,0.00%,0.00%,0.00%,100.00%,0.00%,377,49,273,2733,0.00,0.00,0.00,0.00,955.28,119.41,119.41,0.00,240.00,30.00,30.00,0.00,67.30%,24.07%,58.92%,54.82%,(55.62)%,0.20%,(54.85)%,(41.48)%,86.30%,82.35%,77.06%,72.22%,66,48,97,143,0,0,0,0,15.00%,46.15%,5.26%,0.00%,151,46,244,215
B087GH4M7T,Freakin' Healthy,4.36,4.36,4.36,4.36,270.80,427.46,548.76,332.87,2.85,2.91,2.95,2.89,(0.12)%,(3.59)%,4.40%,7.51%,-0.28,-13.13,23.43,24.58,32.73%,27.90%,31.57%,31.81%,94,121,114,76,23.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,348,1509,2247,3516,0.00,0.00,0.00,0.00,0.00,0.00,79.61,159.21,0.00,0.00,20.00,40.00,64.68%,59.29%,52.29%,53.28%,(39.64)%,(36.88)%,(34.91)%,(37.51)%,100.00%,93.28%,88.60%,94.74%,72,119,114,76,0,0,0,0,23.40%,0.00%,0.00%,0.00%,95,147,184,116
B087GM93C9,Americandy,4.36,4.36,4.36,4.36,269.29,288.67,342.12,128.07,3.06,3.52,3.53,4.27,(23.39)%,(23.41)%,(11.69)%,(20.32)%,-60.97,-57.95,-40.28,-24.75,36.29%,31.47%,33.82%,36.39%,348,287,286,187,0.00%,0.00%,0.00%,13.11%,100.00%,100.00%,0.00%,100.00%,100.00%,70.74%,0.00%,100.00%,1701,1926,1791,673,0.00,0.00,0.00,0.00,455.86,404.33,761.09,836.40,115.00,102.00,192.00,211.00,53.71%,43.95%,44.41%,34.12%,(29.54)%,(12.60)%,(12.39)%,7.14%,0.00%,0.00%,0.00%,0.00%,340,281,277,184,0,0,0,0,0.00%,0.00%,0.00%,13.11%,90,76,100,31
B093YYK5DK,Nabati,5.34,5.34,5.34,5.34,207.16,135.46,173.93,204.51,2.96,3.39,3.28,3.47,(8.73)%,(7.60)%,(6.49)%,(1.43)%,-19.13,-10.68,-11.71,-2.99,38.49%,33.07%,35.41%,36.04%,209,124,129,160,1.91%,0.00%,0.00%,3.77%,0.00%,100.00%,0.00%,100.00%,0.00%,54.55%,0.00%,56.18%,755,1078,810,517,0.00,0.00,0.00,0.00,0.00,167.71,419.27,282.05,0.00,44.00,110.00,74.00,53.00%,41.35%,46.21%,43.59%,(28.79)%,(12.55)%,(16.14)%,(9.96)%,0.00%,0.00%,0.00%,0.00%,176,108,120,136,0,0,0,0,1.91%,0.00%,0.00%,3.77%,71,40,53,61
B088F92WLW,Freakin' Healthy,1.30,1.30,1.30,1.30,201.71,103.00,141.17,165.95,0.83,0.98,0.90,1.02,(27.36)%,(8.55)%,(9.04)%,(7.42)%,-50.85,-8.27,-12.84,-12.26,30.05%,29.77%,32.12%,31.24%,105,89,73,72,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1383,2697,3230,4642,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.07%,52.88%,54.11%,47.61%,(50.25)%,(27.67)%,(38.39)%,(23.01)%,0.00%,0.00%,0.00%,0.00%,105,89,73,72,0,0,0,0,0.00%,0.00%,0.00%,0.00%,242,105,153,168
B07NF9H25V,Palazi,6.04,6.04,0.00,6.04,190.58,54.91,0,29.11,4.76,4.99,0.00,5.82,(0.05)%,8.62%,0.00%,(6.20)%,-0.10,5.04,0,-1.89,43.14%,47.51%,0.00%,36.83%,290,146,28,175,0.00%,2.05%,50.00%,10.00%,0.00%,100.00%,100.00%,100.00%,0.00%,71.43%,100.00%,98.44%,887,786,645,419,0.00,0.00,0,0.00,0.00,439.09,0.00,548.86,0.00,80.00,0.00,100.00,53.44%,50.28%,0.00%,33.00%,(15.20)%,(9.96)%,0.00%,5.72%,100.00%,90.58%,100.00%,42.03%,274,143,13,146,0,0,0,0,0.00%,2.05%,50.00%,10.00%,41,14,3,5
B087GL3GNC,Maikom,7.38,7.38,7.38,7.38,187.31,58.53,73.61,14.21,5.85,5.85,5.66,7.11,14.33%,21.88%,1.13%,6.17%,25.91,12.83,0.86,0.90,46.27%,46.13%,42.52%,53.27%,115,64,81,85,4.35%,15.63%,23.46%,4.71%,0.00%,100.00%,0.00%,100.00%,0.00%,56.76%,0.00%,100.00%,369,483,276,113,0.00,0.00,0.00,0.00,0.00,281.75,402.50,140.87,0.00,42.00,60.00,21.00,54.35%,53.86%,51.07%,50.50%,(14.60)%,(14.60)%,(18.47)%,5.61%,100.00%,100.00%,94.59%,80.52%,103,61,75,79,0,0,0,0,4.35%,15.63%,23.46%,4.71%,32,8,11,6
