ASIN,Brand Name,GV(Week 2 ),Net Ordered Units(Week 2 ),Net Receipts (Units)(Week 2 ),Total Inventory Units(Week 2 ),Net Receipts($)(Week 2 ),Product GMS($)(Week 2 ),Gross Shipped GMS($)(Week 2 ),Net Ordered GMS($)(Week 2 ),Deal GMS($)(Week 2 ),Net PPM(Week 2 )(%),Amzn GV(Week 2 ),SoROOS(%)(Week 2 )(%),Daily SoRoos%(Week 2 )(%),Fill Rate - Sourceable(Week 2 )(%),Vendor Confirmation Rate - Sourceable(Week 2 )(%),Conversion Rate(Week 2 )(%),ASP(Week 2 ),CM(Week 2 )(%),CP($)(Week 2 ),CPPU(Week 2 ),PPM(Week 2 )(%),CCOGS As A % Of PCOGS(Week 2 )(%),CCOGS As A % Of Revenue(Week 2 )(%),External Box Price Competitiveness (% Of GV)(Week 2 )(%),IDQ Score(Week 2 )
B09P8GQ4TK,M.C. Trader,250,173,0.00,18.00,0.00,3630.02,3535.06,3500.19,0,34.62%,248,15.60%,15.60%,0.70%,80.79%,69.20%,20.74,17.33%,595.24,3.40,16.00%,25.16%,21.14%,83.00%,92.50
B015Y1GLK2,TILDA,1042,314,420.00,2280.00,7447.37,3115.46,3008.60,2751.21,0,(5.72)%,744,17.52%,17.52%,99.42%,100.00%,30.13%,8.95,(40.27)%,-1238.43,-3.56,(98.07)%,48.42%,95.90%,57.96%,91.20
B086DV7D1W,Vitamin Well,361,100,204.00,321.00,4865.83,3059.38,2999.02,2943.27,0,36.70%,356,0.00%,0.00%,0.00%,0.00%,27.70%,29.99,23.13%,695.06,6.81,20.48%,22.50%,17.89%,96.06%,83.50
B07DLFZW31,Barebells,173,82,0.00,157.00,0.00,2340.47,2124.90,1996.70,0,26.77%,165,0.00%,0.00%,0.00%,100.00%,47.40%,27.21,15.19%,326.49,3.80,10.34%,28.65%,25.69%,92.81%,100.00
B08MKX6G7G,Vitamin Well,142,60,168.00,180.00,4007.15,1813.37,1689.04,1658.60,0,31.31%,139,0.00%,0.00%,60.00%,100.00%,42.25%,29.73,18.04%,303.02,4.97,19.76%,22.50%,18.05%,39.71%,98.50
B07TDTX4R2,Barebells,237,34,0.00,235.00,0.00,1785.41,1649.21,1232.48,0,29.34%,227,0.00%,0.00%,0.00%,0.00%,14.35%,37.99,20.68%,343.40,7.31,10.88%,29.27%,26.09%,90.69%,93.00
B086DVXG5K,Vitamin Well,184,54,180.00,498.00,4293.38,1644.90,1616.66,1695.99,0,37.92%,184,0.00%,0.00%,0.00%,0.00%,29.35%,30.46,25.83%,422.89,7.83,21.70%,22.50%,17.62%,96.45%,88.50
B08MBD4175,Vitamin Well,179,58,0.00,342.00,0.00,1636.03,1493.11,1493.75,0,25.93%,179,0.00%,0.00%,100.00%,100.00%,32.40%,28.21,14.69%,221.65,3.82,15.44%,22.50%,19.03%,88.89%,82.00
B07X5MH1BM,Vitamin Well,195,49,348.00,610.00,8300.53,1553.49,1554.70,1493.78,0,39.31%,193,0.00%,0.00%,0.00%,0.00%,25.13%,30.46,26.96%,422.14,8.28,21.70%,22.50%,17.62%,97.85%,63.00
B07M85KKJ4,Barebells,122,43,0.00,361.00,0.00,1473.38,1314.61,1403.96,0,23.66%,115,0.00%,0.00%,0.00%,100.00%,35.25%,35.94,13.71%,183.05,4.46,5.78%,29.65%,27.94%,100.00%,98.50
B01L1QNQEI,Gowardhan,214,106,72.00,8.00,882.10,1205.24,1142.76,1117.97,0,10.57%,197,7.48%,7.48%,0.00%,100.00%,49.53%,11.16,(11.53)%,-134.13,-1.24,(9.78)%,23.00%,25.25%,76.17%,98.30
B07P6YJPPG,Afia,80,33,114.00,236.00,3397.91,992.69,968.68,1032.79,0,14.68%,78,0.00%,0.00%,92.31%,100.00%,41.25%,32.02,(1.37)%,-13.46,-0.43,6.92%,10.93%,10.17%,100.00%,92.50
B07DLJB7PC,Barebells,55,23,48.00,99.00,1171.30,847.26,752.54,617.27,0,28.62%,54,0.00%,0.00%,0.00%,0.00%,41.82%,29.22,18.76%,142.67,4.92,16.48%,27.92%,23.32%,84.62%,95.70
B09MWMV1DG,Barebells,61,22,60.00,186.00,2031.44,768.62,614.07,647.05,0,15.30%,60,0.00%,0.00%,100.00%,100.00%,36.07%,36.60,4.10%,25.59,1.22,7.50%,29.64%,27.42%,100.00%,94.50
B072HWGV31,Barebells,134,16,96.00,280.00,3250.31,619.23,536.04,482.47,0,24.83%,132,0.00%,0.00%,0.00%,0.00%,11.94%,36.43,16.19%,87.45,5.14,7.05%,33.31%,30.96%,100.00%,98.50
B07P75SDV2,Al osra,165,129,895.00,1141.00,5421.58,600.05,587.01,532.19,0,(33.93)%,156,0.61%,0.61%,99.35%,100.00%,78.18%,4.11,(170.11)%,-781.88,-5.36,(47.39)%,10.78%,15.89%,63.98%,82.90
