ASIN,Brand Name,List Price($)(Week 49 ),List Price($)(11/16/2025-11/23/2025),List Price($)(11/09/2025-11/16/2025),List Price($)(11/02/2025-11/09/2025),Product GMS($)(Week 49 ),Product GMS($)(11/16/2025-11/23/2025),Product GMS($)(11/09/2025-11/16/2025),Product GMS($)(11/02/2025-11/09/2025),ASP(Week 49 ),ASP(11/16/2025-11/23/2025),ASP(11/09/2025-11/16/2025),ASP(11/02/2025-11/09/2025),CM(Week 49 )(%),CM(11/16/2025-11/23/2025)(%),CM(11/09/2025-11/16/2025)(%),CM(11/02/2025-11/09/2025)(%),CP($)(Week 49 ),CP($)(11/16/2025-11/23/2025),CP($)(11/09/2025-11/16/2025),CP($)(11/02/2025-11/09/2025),Net PPM(Week 49 )(%),Net PPM(11/16/2025-11/23/2025)(%),Net PPM(11/09/2025-11/16/2025)(%),Net PPM(11/02/2025-11/09/2025)(%),GV(Week 49 ),GV(11/16/2025-11/23/2025),GV(11/09/2025-11/16/2025),GV(11/02/2025-11/09/2025),SoROOS(%)(Week 49 )(%),SoROOS(%)(11/16/2025-11/23/2025)(%),SoROOS(%)(11/09/2025-11/16/2025)(%),SoROOS(%)(11/02/2025-11/09/2025)(%),Vendor Confirmation Rate - Sourceable(Week 49 )(%),Vendor Confirmation Rate - Sourceable(11/16/2025-11/23/2025)(%),Vendor Confirmation Rate - Sourceable(11/09/2025-11/16/2025)(%),Vendor Confirmation Rate - Sourceable(11/02/2025-11/09/2025)(%),Fill Rate - Sourceable(Week 49 )(%),Fill Rate - Sourceable(11/16/2025-11/23/2025)(%),Fill Rate - Sourceable(11/09/2025-11/16/2025)(%),Fill Rate - Sourceable(11/02/2025-11/09/2025)(%),SELLABLE_ON_HAND_UNITS(Week 49 ),SELLABLE_ON_HAND_UNITS(11/16/2025-11/23/2025),SELLABLE_ON_HAND_UNITS(11/09/2025-11/16/2025),SELLABLE_ON_HAND_UNITS(11/02/2025-11/09/2025),Total GMM($)(Week 49 ),Total GMM($)(11/16/2025-11/23/2025),Total GMM($)(11/09/2025-11/16/2025),Total GMM($)(11/02/2025-11/09/2025),Net Receipts($)(Week 49 ),Net Receipts($)(11/16/2025-11/23/2025),Net Receipts($)(11/09/2025-11/16/2025),Net Receipts($)(11/02/2025-11/09/2025),Net Receipts (Units)(Week 49 ),Net Receipts (Units)(11/16/2025-11/23/2025),Net Receipts (Units)(11/09/2025-11/16/2025),Net Receipts (Units)(11/02/2025-11/09/2025),CCOGS As A % Of PCOGS(Week 49 )(%),CCOGS As A % Of PCOGS(11/16/2025-11/23/2025)(%),CCOGS As A % Of PCOGS(11/09/2025-11/16/2025)(%),CCOGS As A % Of PCOGS(11/02/2025-11/09/2025)(%),PPM(Week 49 )(%),PPM(11/16/2025-11/23/2025)(%),PPM(11/09/2025-11/16/2025)(%),PPM(11/02/2025-11/09/2025)(%),External Box Price Competitiveness (% Of GV)(Week 49 )(%),External Box Price Competitiveness (% Of GV)(11/16/2025-11/23/2025)(%),External Box Price Competitiveness (% Of GV)(11/09/2025-11/16/2025)(%),External Box Price Competitiveness (% Of GV)(11/02/2025-11/09/2025)(%),Amzn GV(Week 49 ),Amzn GV(11/16/2025-11/23/2025),Amzn GV(11/09/2025-11/16/2025),Amzn GV(11/02/2025-11/09/2025),Customer Returns($)(Week 49 ),Customer Returns($)(11/16/2025-11/23/2025),Customer Returns($)(11/09/2025-11/16/2025),Customer Returns($)(11/02/2025-11/09/2025),Daily SoRoos%(Week 49 )(%),Daily SoRoos%(11/16/2025-11/23/2025)(%),Daily SoRoos%(11/09/2025-11/16/2025)(%),Daily SoRoos%(11/02/2025-11/09/2025)(%),Net Ordered Units(Week 49 ),Net Ordered Units(11/16/2025-11/23/2025),Net Ordered Units(11/09/2025-11/16/2025),Net Ordered Units(11/02/2025-11/09/2025)
B015Y1GLK2,Tilda,21.28,21.28,21.28,21.28,6860.51,14589.91,22387.47,15074.78,9.27,8.86,8.54,8.78,1.05%,(18.07)%,(10.62)%,(1.98)%,71.85,-2640.24,-2369.63,-296.65,26.09%,11.26%,16.30%,24.58%,1469,4334,4307,3727,9.05%,0.00%,0.00%,0.00%,0.00%,13.70%,84.85%,0.00%,0.00%,0.00%,53.55%,0.00%,16808,48920,58540,88259,0.00,0.00,0.00,0.00,0.00,27785.79,88.66,45304.85,0.00,1567.00,5.00,2555.00,62.02%,55.82%,59.89%,62.88%,(91.26)%,(100.17)%,(107.52)%,(101.96)%,90.44%,74.76%,81.12%,88.04%,1263,4230,4222,3663,283.71,0,0,0,9.05%,0.00%,0.00%,0.00%,620,1736,2482,1861
B07MV32JLH,Afia,40.69,40.69,40.69,40.69,815.22,1348.52,1052.95,1018.99,31.35,31.36,33.97,33.97,(7.83)%,(12.33)%,0.70%,(2.10)%,-64.69,-163.09,7.21,-20.59,7.97%,7.69%,15.84%,13.92%,57,229,108,129,49.12%,5.68%,8.33%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,50.00%,100.00%,100.00%,133,267,235,338,0.00,0.00,0.00,0.00,878.79,1757.58,358.03,390.57,27.00,54.00,11.00,12.00,11.17%,11.16%,11.48%,11.48%,(3.81)%,(3.79)%,4.18%,4.18%,100.00%,100.00%,100.00%,100.00%,35,225,107,122,65.10,0,0,0,49.12%,5.68%,8.33%,0.00%,4,50,32,33
B07P6YJPPG,Afia,33.71,47.08,47.08,47.08,736.52,762.43,962.54,440.23,32.02,29.32,29.17,29.35,(0.66)%,(9.80)%,(11.06)%,(14.80)%,-4.76,-73.64,-101.41,-61.83,14.69%,11.22%,7.28%,3.72%,55,87,85,77,0.00%,9.20%,24.71%,42.11%,100.00%,100.00%,100.00%,100.00%,100.00%,50.00%,100.00%,76.92%,468,477,96,86,0.00,0.00,0.00,0.00,0.00,3606.56,953.80,685.54,0.00,121.00,32.00,23.00,11.19%,11.42%,11.48%,11.48%,6.92%,(1.64)%,(2.19)%,(1.56)%,100.00%,87.50%,96.30%,100.00%,50,73,41,68,0.00,0,0,0,0.00%,9.20%,24.71%,42.11%,23,24,28,18
B07P75SDV2,UNKNOWN,8.71,8.71,8.71,8.71,607.13,789.80,129.31,143.02,3.89,3.91,4.31,3.33,(172.56)%,(71.86)%,(54.47)%,(151.52)%,-721.18,-570.75,-73.56,-219.82,(16.64)%,(12.97)%,4.11%,(60.39)%,202,213,119,77,23.27%,5.63%,28.57%,32.89%,100.00%,87.63%,100.00%,100.00%,99.02%,100.00%,100.00%,97.74%,219,2419,231,68,0.00,0.00,0.00,0.00,0.00,3707.27,563.36,236.25,0.00,612.00,93.00,39.00,26.01%,27.77%,31.48%,13.34%,(55.65)%,(54.93)%,(40.54)%,(82.13)%,100.00%,83.74%,88.52%,90.32%,196,209,110,41,24.23,0,0,0,23.27%,5.63%,28.57%,32.89%,134,221,47,24
B07NF847QH,TILDA,10.63,10.63,10.63,10.63,379.93,201.39,373.43,338.68,4.75,5.44,5.19,5.64,(20.51)%,(20.97)%,(5.55)%,(4.79)%,-78.71,-42.47,-20.50,-16.58,16.99%,13.31%,27.31%,28.68%,383,309,278,326,0.00%,0.00%,1.80%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,99.90%,100.00%,100.00%,5226,5037,3046,3737,0.00,0.00,0.00,0.00,0.00,17130.57,1145.91,772.25,0.00,2063.00,138.00,93.00,53.05%,42.87%,54.35%,51.66%,(74.85)%,(52.56)%,(60.10)%,(47.11)%,41.14%,49.13%,49.40%,50.48%,366,296,250,318,8.30,0,0,0,0.00%,0.00%,1.80%,0.00%,74,42,68,63
B07HNSPY84,Dilmah,6.77,5.70,5.11,5.11,223.97,71.46,100.48,78.72,5.33,5.10,5.29,5.62,(12.33)%,8.22%,(3.68)%,(0.14)%,-27.77,5.94,-3.77,-0.11,19.57%,28.95%,40.86%,39.77%,48,27,34,32,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,210,391,124,239,0.00,0.00,0.00,0.00,246.01,410.01,164.01,0.00,36.00,60.00,24.00,0.00,37.01%,46.82%,53.71%,49.73%,(28.15)%,(33.89)%,(28.24)%,(21.53)%,0.00%,0.00%,0.00%,0.00%,48,27,34,32,0.00,0,0,0,0.00%,0.00%,0.00%,0.00%,41,17,18,15
B08GD1Z9PS,Tata,11.37,11.37,11.37,11.37,216.57,160.47,207.10,131.38,9.42,9.44,9.41,9.38,(7.84)%,4.06%,(5.06)%,0.80%,-15.84,6.60,-9.12,1.07,25.48%,27.31%,27.35%,26.85%,20,42,30,20,0.00%,0.00%,20.00%,52.63%,0.00%,100.00%,100.00%,100.00%,0.00%,62.50%,100.00%,100.00%,448,349,60,50,0.00,0.00,0.00,0.00,0.00,953.44,16.44,197.26,0.00,116.00,2.00,24.00,16.18%,16.44%,16.48%,16.48%,12.71%,12.92%,12.69%,12.41%,0.00%,0.00%,0.00%,0.00%,19,42,23,19,0.00,0,0,0,0.00%,0.00%,20.00%,52.63%,21,18,20,14
B005LLZ3QY,Tetley,7.00,7.00,7.00,7.00,161.50,380.35,385.60,316.48,4.75,4.53,4.38,4.72,(55.98)%,(51.08)%,(55.01)%,(45.91)%,-86.26,-200.37,-221.68,-147.05,(10.53)%,(14.75)%,(19.01)%,(10.99)%,47,121,98,80,0.00%,0.00%,0.00%,0.00%,100.00%,98.57%,100.00%,100.00%,100.00%,55.80%,99.11%,100.00%,461,1131,717,1170,0.00,0.00,0.00,0.00,0.00,1173.41,11.73,334.42,0.00,200.00,2.00,57.00,11.20%,11.44%,11.09%,11.14%,(23.52)%,(29.57)%,(33.90)%,(24.21)%,100.00%,100.00%,100.00%,100.00%,47,119,97,76,0.00,0,0,0,0.00%,0.00%,0.00%,0.00%,30,85,85,70
B00NRML2UK,Dilmah,0.00,10.44,10.44,10.44,149.89,175.23,211.70,199.84,8.33,7.62,7.84,9.08,(14.39)%,(19.32)%,18.22%,6.31%,-21.78,-32.40,39.82,12.25,13.49%,6.05%,40.61%,27.00%,46,64,53,51,17.39%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,0.00%,150.00%,100.00%,100.00%,0.00%,221,205,228,336,0.00,0.00,0.00,0.00,611.26,244.50,0.00,122.25,60.00,24.00,0.00,12.00,30.17%,31.04%,53.81%,34.95%,(22.34)%,(33.72)%,(29.93)%,(12.15)%,42.11%,60.94%,67.31%,64.00%,38,64,52,50,0.00,0,0,0,17.39%,0.00%,0.00%,0.00%,14,25,17,22
B07NF7MR14,Tetley,6.81,6.81,6.81,6.81,126.04,115.54,189.06,219.43,5.25,5.25,5.25,5.49,(13.55)%,(10.33)%,(12.04)%,(6.06)%,-17.19,-12.13,-23.56,-13.09,17.56%,21.00%,21.14%,20.97%,24,53,48,55,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,817,1170,1378,1671,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.85%,16.45%,16.48%,16.48%,5.65%,5.65%,5.65%,9.68%,73.91%,44.12%,67.74%,66.67%,23,48,47,53,0.00,0,0,0,0.00%,0.00%,0.00%,0.00%,25,22,35,40
B0DT61H872,TATA GLOBAL BEVeRAGES,6.18,6.18,6.18,6.18,121.08,147.47,314.86,243.15,3.78,3.60,3.03,3.42,(21.71)%,(24.99)%,(31.48)%,(14.04)%,-26.02,-38.40,-100.68,-32.75,25.09%,23.06%,19.43%,24.95%,291,360,384,386,0.00%,22.78%,5.99%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,875,428,325,873,0.00,0.00,0.00,0.00,158.29,1314.67,378.13,0.00,36.00,299.00,86.00,0.00,35.91%,37.27%,45.36%,41.01%,(16.20)%,(22.24)%,(45.23)%,(28.39)%,0.00%,0.00%,0.00%,0.00%,268,348,354,368,4.40,0,0,0,0.00%,22.78%,5.99%,0.00%,24,51,97,77
