ASIN,Brand Name,List Price($)(11/23/2025-11/30/2025),Product GMS($)(11/23/2025-11/30/2025),ASP(11/23/2025-11/30/2025),CM(11/23/2025-11/30/2025)(%),CP($)(11/23/2025-11/30/2025),Net PPM(11/23/2025-11/30/2025)(%),GV(11/23/2025-11/30/2025),SoROOS(%)(11/23/2025-11/30/2025)(%),Vendor Confirmation Rate - Sourceable(11/23/2025-11/30/2025)(%),Fill Rate - Sourceable(11/23/2025-11/30/2025)(%),SELLABLE_ON_HAND_UNITS(11/23/2025-11/30/2025),Total GMM($)(11/23/2025-11/30/2025),Net Receipts($)(11/23/2025-11/30/2025),Net Receipts (Units)(11/23/2025-11/30/2025),CCOGS As A % Of PCOGS(11/23/2025-11/30/2025)(%),PPM(11/23/2025-11/30/2025)(%),External Box Price Competitiveness (% Of GV)(11/23/2025-11/30/2025)(%),Amzn GV(11/23/2025-11/30/2025),Customer Returns($)(11/23/2025-11/30/2025),Daily SoRoos%(11/23/2025-11/30/2025)(%),Net Ordered Units(11/23/2025-11/30/2025)
B015Y1GLK2,Tilda,21.28,20563.00,8.54,(5.63)%,-1147.48,23.21%,4770,0.00%,0.00%,0.00%,29842,0.00,0.00,0.00,63.68%,(107.56)%,79.03%,4704,0,0.00%,2540
B07P75SDV2,UNKNOWN,8.71,1093.62,3.99,(129.46)%,-1058.67,(5.44)%,322,0.00%,65.75%,101.14%,2153,0.00,1163.06,192.00,31.12%,(51.77)%,93.21%,317,0,0.00%,311
B07P6YJPPG,Afia,38.32,904.78,31.20,(5.34)%,-46.92,14.63%,111,0.00%,100.00%,97.30%,696,0.00,0.00,0.00,11.29%,4.47%,98.95%,110,0,0.00%,26
B07G9KXXSN,TILDA,44.03,834.83,18.15,(29.04)%,-244.51,(9.56)%,252,15.48%,100.00%,40.96%,57,0.00,0.00,0.00,42.01%,(87.89)%,100.00%,211,0,15.48%,38
B07NF7MFKX,Tetley,10.54,628.07,6.41,(60.39)%,-378.89,(34.43)%,70,0.00%,100.00%,100.00%,399,0.00,0.00,0.00,11.23%,(50.04)%,100.00%,69,0,0.00%,98
B07NF847QH,TILDA,10.63,505.48,4.77,41.39%,209.01,76.61%,697,0.00%,0.00%,0.00%,12741,0.00,17155.48,2066.00,86.94%,(74.13)%,61.16%,683,0,0.00%,104
B07MV32JLH,Afia,40.69,428.00,30.57,(13.64)%,-57.48,3.20%,171,32.16%,100.00%,122.78%,197,0.00,553.31,17.00,10.55%,(6.47)%,100.00%,116,0,32.16%,31
B0DT61H872,TATA GLOBAL BEVeRAGES,6.18,357.72,2.93,(31.85)%,-117.38,18.29%,434,3.46%,100.00%,100.00%,1416,0.00,1481.75,337.00,45.90%,(49.95)%,0.00%,412,0,3.46%,109
B0D2P6KRB1,Tata Soulfull,0.00,300.02,2.59,(38.81)%,-113.61,17.82%,389,6.17%,100.00%,93.35%,986,0.00,1161.03,278.00,51.25%,(61.47)%,79.29%,366,0,6.17%,106
B08GD1Z9PS,Tata,11.37,293.88,9.48,8.94%,26.80,27.89%,46,0.00%,100.00%,100.00%,693,0.00,534.26,65.00,16.24%,13.30%,0.00%,45,0,0.00%,31
B005LLZ3QY,Tetley,7.00,293.22,3.91,(80.80)%,-233.36,(33.21)%,109,0.00%,90.45%,85.93%,916,0.00,99.74,17.00,11.25%,(50.07)%,100.00%,108,0,0.00%,80
B07FD6XPLF,Wella Koleston,5.64,278.74,2.58,71.77%,201.01,113.55%,254,0.00%,100.00%,100.00%,1014,0.00,95.85,18.00,106.94%,(106.33)%,49.59%,252,0,0.00%,107
B015J4YNNG,TETLEY,0.00,247.26,6.51,(2.12)%,-5.36,23.56%,59,0.00%,100.00%,125.00%,1915,0.00,674.71,115.00,15.81%,9.83%,100.00%,59,0,0.00%,39
B00MWVY52O,TILDA,9.15,226.02,8.69,8.24%,18.36,25.16%,51,0.00%,100.00%,0.00%,655,0.00,119.37,15.00,22.26%,8.46%,69.39%,49,0,0.00%,26
B00NRML2UK,Dilmah,1.90,172.92,7.86,(17.63)%,-31.84,14.04%,60,15.00%,100.00%,100.00%,115,0.00,0.00,0.00,33.68%,(29.62)%,52.94%,51,0,15.00%,26
B01285C2BY,TILDA,4.85,164.57,2.57,(48.02)%,-82.85,12.79%,318,0.00%,0.00%,0.00%,6539,0.00,932.60,221.00,47.19%,(64.11)%,72.43%,312,0,0.00%,65
B083VKDQ3P,TATA,8.13,149.03,3.24,(19.13)%,-29.13,21.47%,148,0.00%,100.00%,98.61%,1691,0.00,1142.16,380.00,15.88%,7.23%,61.43%,144,0,0.00%,44
B07HNSPY84,Dilmah,6.77,138.08,4.45,(11.47)%,-16.07,28.95%,60,0.00%,100.00%,100.00%,324,0.00,0.00,0.00,53.04%,(53.42)%,0.00%,60,0,0.00%,33
B00LQO3FUQ,Tata,0.88,125.03,0.59,(208.65)%,-296.30,0.83%,296,0.34%,7.72%,2.84%,3477,0.00,445.91,694.00,11.24%,(8.43)%,73.26%,284,0,0.34%,237
