ASIN,Customer review count,Raw star ratings,GL Product Group,Product subcategory code,Product subcategory desc,Ads Clicks,GL Description,GMS ($)
B07WWFF34F, 133, 5,194,UNKNOWN,UNKNOWN,,Beauty, 286.92
B07YHX3T9F, 5, 4,194,19402050,Bath Brushes & Sponges,,Beauty, 73.89
B07WPBFBCT, 1, 5,194,UNKNOWN,UNKNOWN,,Beauty, (1.92)
B09XM23F1J, 8, 3,194,UNKNOWN,UNKNOWN,,Beauty, 22.69
B07WWFJ41F, 22, 4,194,19409599,Miscellaneous Hair & Beauty Appliances,,Beauty, 4.83
B018S1P174, 16, 5,325,32599015,Nuts,,Grocery, 210.57
B0DPXG7KBN,,,121,12107081,Feminine Hygiene - Sanitary Towels,,Health & Personal Care, 8.73
B08HLT86PF, 2, 4,194,19401430,Hair Styling,,Beauty, 710.36
B00D6BMXDM, 8, 4,325,UNKNOWN,UNKNOWN,,Grocery, 690.87
B0FGD628JN,,,325,UNKNOWN,UNKNOWN,,Grocery, 74.83
B0B82LPT2G, 2, 3,194,UNKNOWN,UNKNOWN,,Beauty, 7.65
B0977QN5W7, 23, 4,194,UNKNOWN,UNKNOWN,,Beauty, 13.99
B08WGZ69SV, 90, 4,325,UNKNOWN,UNKNOWN,,Grocery, 735.34
B00A20QDD6, 200, 4,325,32550015,Chocolate,,Grocery," 3,935.37"
B0D87B11SY,,,325,UNKNOWN,UNKNOWN,,Grocery,
B07NCYSD4M, 20, 4,325,32592035,Fruit Juice,,Grocery," 1,171.89"
B08XPF9WFR, 1, 4,121,12101230,Denture Care,,Health & Personal Care, 129.44
B07NF7KSJB, 92, 5,325,32503070,Fruit Juice & Smoothies,,Grocery," 3,039.02"
B081LFZG6S, 13, 4,325,UNKNOWN,UNKNOWN,,Grocery, 781.91
B0DG89LNGK, 4, 3,325,UNKNOWN,UNKNOWN,,Grocery, 462.48
B01MT3GQXC, 5, 4,194,19404002,Face,,Beauty, 34.34
B0B82VTXNL, 48, 4,325,UNKNOWN,UNKNOWN,,Grocery," 5,620.51"
B08ZS4788X,,,194,UNKNOWN,UNKNOWN,,Beauty, 8.19
B0CB84KJKW, 9, 4,325,UNKNOWN,UNKNOWN,,Grocery, 239.63
B083WMYRK4, 132, 5,194,19401420,Shampoo and Conditioner,,Beauty, 61.13
B0B82VB5VL, 11, 4,325,UNKNOWN,UNKNOWN,,Grocery," 1,760.83"
B07XG55KTZ, 22, 4,325,32505515,Drinks,,Grocery, 169.84
B01738NK80, 51, 4,325,32550045,Canned Goods,,Grocery, 83.95
B08Z6YYN6H, 25, 5,194,19401430,Hair Styling,,Beauty, 20.99
B076ZZ2YT3, 58, 4,325,32502040,Oils & Vinegars,,Grocery," 1,955.2"
B07NF7ZQ1W, 23, 4,325,32599040,Sweets,,Grocery, 231.6
B0847NP2NN,,,325,32599015,Nuts,,Grocery, 89.22
B00DG6ZNRA, 7, 5,325,32599015,Nuts,,Grocery, 107.57
B00PCCR1FI," 3,103", 4,325,32502579,Cereals,,Grocery," 3,797.89"
B08FV2FS62, 2, 3,325,32503070,Fruit Juice & Smoothies,,Grocery, 19.08
B07NF624B9, 24, 4,325,32505515,Drinks,,Grocery, 267.63
B00A20QR8M, 65, 4,325,32599040,Sweets,,Grocery, 507.4
B0FXLW3X9S,,,325,UNKNOWN,UNKNOWN,,Grocery, 3.98
B0DG8MBCQW, 1, 4,325,UNKNOWN,UNKNOWN,,Grocery, 42.78
B0DCK7H7PV, 1, 1,194,UNKNOWN,UNKNOWN,,Beauty, 40.93
B0DG2DYWLY,,,325,UNKNOWN,UNKNOWN,,Grocery, 48.85
B07WTB6P1S, 35, 4,364,UNKNOWN,UNKNOWN,,Personal_Care_Appliances, 14.78
B0FGD3BR94,,,325,UNKNOWN,UNKNOWN,,Grocery, 26.45
B0DPWXJQH9,,,121,12107081,Feminine Hygiene - Sanitary Towels,,Health & Personal Care, 27.87
B07WTB6Z6J, 34, 4,194,UNKNOWN,UNKNOWN,,Beauty, 12.88
B01EE2KBOY, 6, 4,325,32599015,Nuts,,Grocery, 44.84
