ASIN,Customer review count,Raw star ratings,GL Product Group,Product subcategory code,Product subcategory desc,Ads Clicks,GL Description,GMS ($)
B015Y1GLK2," 1,009", 4,325,32598005,Rice," 8,015",Grocery," 239,196.49"
B091VPBF8Q, 74, 4,325,32502070,Spreads," 2,079",Grocery," 4,617.88"
B091VQBBGW, 39, 5,325,32502070,Spreads," 1,828",Grocery," 2,587.54"
B01L1DRDKO, 140, 5,325,32550010,Snacks," 1,287",Grocery," 7,377.56"
B07G9L7NL2, 65, 4,325,32598005,Rice," 1,207",Grocery," 7,285.49"
B00L2ZL0YW, 36, 5,325,32502020,"Herbs, Spices, Sea"," 1,088",Grocery, 930.75
B01285C2BY, 169, 5,325,32598005,Rice, 978,Grocery," 6,966.31"
B00L28D0QU, 130, 5,325,32550010,Snacks, 899,Grocery," 6,703.42"
B083VKXLY4, 25, 4,325,32502070,Spreads, 743,Grocery," 1,881.4"
B07P9G9RTZ, 36, 5,325,32550075,"Oils, Vinegars & Dressing", 676,Grocery, 713.46
B00L28D96Q, 236, 4,325,32550010,Snacks, 654,Grocery," 2,187.26"
B091VPXTQJ, 15, 4,325,32550085,Seasonings & Sauces, 588,Grocery, 516.96
B07G9KXXSN," 1,009", 4,325,32598005,Rice, 583,Grocery," 7,048.09"
B07NF847QH, 169, 5,325,32598005,Rice, 567,Grocery," 6,404.4"
B00L28C5U2, 26, 4,325,32502020,"Herbs, Spices, Sea", 562,Grocery, 911.14
B07PBLJ3VP, 18, 5,325,32550085,Seasonings & Sauces, 388,Grocery, 259.94
B07PHYKW9T, 23, 5,325,32502020,"Herbs, Spices, Sea", 375,Grocery," 1,364.59"
B07P8BSM8D, 30, 5,325,32502020,"Herbs, Spices, Sea", 367,Grocery, 465.01
B07B3X1HZZ, 105, 4,325,32598005,Rice, 363,Grocery," 13,339.26"
B091VSDXFF, 9, 4,325,32502070,Spreads, 305,Grocery, 150.84
B091VQ8QSN, 8, 4,325,32502070,Spreads, 264,Grocery, 119.22
B0B8DMQRPR, 17, 4,325,32502070,Spreads, 259,Grocery, 156.61
B00L2ZKROQ, 792, 4,325,32550085,Seasonings & Sauces, 257,Grocery," 1,071.36"
B00L28DEWA, 96, 4,325,32550010,Snacks, 252,Grocery, 891.18
B091VP9RGN, 8, 4,325,32502070,Spreads, 234,Grocery, 142.57
B00L2ZKSWM, 156, 4,325,32502020,"Herbs, Spices, Sea", 226,Grocery," 1,135.5"
B091VRT6S1, 12, 4,325,32502070,Spreads, 190,Grocery," 1,167.58"
B0B8DLJMK1, 8, 4,325,UNKNOWN,UNKNOWN, 177,Grocery, 142.3
B091VQS1Q5, 23, 5,325,32502070,Spreads, 167,Grocery," 2,256.42"
B07P76HBPW, 20, 4,325,32550010,Snacks, 162,Grocery, 245.99
