column,dtype,total_values,null_count,null_percentage,unique_count,duplicate_count,min_length,max_length,empty_strings,valid_asin_format,invalid_asin_format,source_file,min,max,mean,median,std,outliers_iqr,outliers_zscore,negative_values,negative_percentage
ASIN,object,446,1,0.2242152466367713,445,0,10.0,10.0,0.0,445.0,0.0,4Y29Z-W49-W52.csv,,,,,,,,,
Brand Name,object,446,1,0.2242152466367713,52,393,3.0,74.0,0.0,,,4Y29Z-W49-W52.csv,,,,,,,,,
List Price($)(Week 49 ),float64,446,0,0.0,44,402,,,,,,4Y29Z-W49-W52.csv,0.0,35.18,0.8054484304932736,0.0,2.9537437148963464,55.0,8.0,,
List Price($)(Week 50 ),float64,446,0,0.0,39,407,,,,,,4Y29Z-W49-W52.csv,0.0,35.18,0.8332511210762332,0.0,3.2647113491051964,52.0,9.0,,
List Price($)(Week 51 ),float64,446,0,0.0,38,408,,,,,,4Y29Z-W49-W52.csv,0.0,35.18,0.7614798206278027,0.0,2.894306857821459,54.0,8.0,,
List Price($)(Week 52 ),float64,446,0,0.0,39,407,,,,,,4Y29Z-W49-W52.csv,0.0,35.18,0.7669058295964125,0.0,2.974758352963773,51.0,7.0,,
Product GMS($)(Week 49 ),float64,446,0,0.0,80,366,,,,,,4Y29Z-W49-W52.csv,0.0,4268.76,19.14237668161435,0.0,206.54828384709808,80.0,1.0,0.0,0.0
Product GMS($)(Week 50 ),float64,446,0,0.0,77,369,,,,,,4Y29Z-W49-W52.csv,0.0,3981.23,17.85316143497758,0.0,191.92675037214022,78.0,1.0,0.0,0.0
Product GMS($)(Week 51 ),float64,446,0,0.0,77,369,,,,,,4Y29Z-W49-W52.csv,0.0,4506.51,20.208542600896862,0.0,217.8754572900121,78.0,1.0,0.0,0.0
Product GMS($)(Week 52 ),float64,446,0,0.0,73,373,,,,,,4Y29Z-W49-W52.csv,0.0,4257.29,19.09103139013453,0.0,207.87374526961545,75.0,2.0,0.0,0.0
