Showing data for:
Marketplace,amazon.ae
Date,2025-12-06 - 2026-01-06
Selected ASINSet,722XP
Currency,AED
Exclude Outliers,Yes


Report creation time,Jan 06 2026 13:39 +04:00

,Retail Net OPS,Retail Net Units,Retail Net GMS,Retail Net Spot CP,3P Net OPS,3P Net Units,3P Net GMS,3P Net Spot CP,All Net OPS,All Net Units,All Net GMS,All Net Spot CP
Selected period so far,76879.59999999999,6622,75275.01999999999,-3803.276002,212345.54,15664,183779.7,0,289225.13999999996,22286,259054.72,-3803.276002
Previous year,72998.25,4687,71707.95999999999,-11165.942256999999,81918.25000000001,3950,82279.81,0,154916.50000000003,8637,153987.77,-11165.942256999999
Changes from previous year,8.35%,45.36%,7.99%,65.07%,161.80%,301.85%,125.62%,N/A,90.22%,163.69%,71.40%,65.07%


Period,Merchant Type,Metric Type,Sat Dec 06 2025,Sun Dec 07 2025,Mon Dec 08 2025,Tue Dec 09 2025,Wed Dec 10 2025,Thu Dec 11 2025,Fri Dec 12 2025,Sat Dec 13 2025,Sun Dec 14 2025,Mon Dec 15 2025,Tue Dec 16 2025,Wed Dec 17 2025,Thu Dec 18 2025,Fri Dec 19 2025,Sat Dec 20 2025,Sun Dec 21 2025,Mon Dec 22 2025,Tue Dec 23 2025,Wed Dec 24 2025,Thu Dec 25 2025,Fri Dec 26 2025,Sat Dec 27 2025,Sun Dec 28 2025,Mon Dec 29 2025,Tue Dec 30 2025,Wed Dec 31 2025,Thu Jan 01 2026,Fri Jan 02 2026,Sat Jan 03 2026,Sun Jan 04 2026,Mon Jan 05 2026,Tue Jan 06 2026
Selected period so far Retail,Retail,NET_OPS,1980.82,3307.15,2434.95,2771.2,1626.84,2071.43,1902.01,1447.08,2084.3,2069.84,2341.6,2147.29,1891.45,1953.97,1901.23,2338.3,1664.24,2386.1,2479.16,1998.97,1944.45,3281.34,2665.72,3508.51,2715.92,2688.27,2813.9,2950.68,2831.94,4094.16,3269.63,N/A
Selected period so far Retail,Retail,NET_UNITS,209,221,232,204,147,171,171,166,207,220,193,221,162,209,208,213,167,208,206,157,187,242,197,263,204,237,256,253,241,316,245,N/A
Selected period so far Retail,Retail,NET_GMS,1918.89,3214.64,2424.54,2744.23,1601.18,2095.79,1888.4,1492.74,2049.94,2069.9,2311.73,2122.34,1878.11,1943.38,1826.59,2324.88,1641.11,2362.04,2419.25,2022.19,1941.88,3281.03,2659.69,3418.33,2640.11,2551.62,2689.81,2785.74,2704.34,3890.12,3125.31,N/A
Selected period so far Retail,Retail,NET_SPOT_CP,-229.52495,-499.42590199999995,-49.79083499999997,-284.53837,-94.89193699999998,-112.90114400000002,-218.76761900000002,-62.867701000000004,-6.244733000000025,23.406171000000015,181.722853,6.676700999999994,11.495163000000005,-172.878081,-86.27139599999998,-33.597680999999994,-91.173916,-207.245887,-166.90307,19.46337399999999,-187.627144,-209.782934,-246.33318000000003,-19.272183000000005,62.265696000000005,-10.145839999999989,-201.91246999999998,-290.47489,-111.79862800000001,-107.674781,-250.73067600000002,N/A
Selected period so far 3P,3P,NET_OPS,6520.01,6588.94,5686.62,5473.35,5734.54,7045.64,6298.35,6578.33,6308.56,5430.91,6266.38,6768.32,5147.65,4532.21,8822.86,6519.16,4995.71,6239.18,5147.48,5660.1,6785.15,8965.51,7981.93,6821.08,7563.31,7782.41,7356.49,7247.47,8997.4,10423.07,7930.14,N/A
Selected period so far 3P,3P,NET_UNITS,567,548,492,432,444,508,503,510,502,417,402,437,349,329,549,505,329,458,421,465,457,621,525,473,542,636,506,507,698,782,557,N/A
Selected period so far 3P,3P,NET_GMS,5626.96,5850.05,5131.34,4900.87,5058.28,6196.57,5497.1,5755.63,5598.67,4780.84,5658.02,5932.13,4435.44,4062.81,7363.55,5572.44,4417.38,5611.42,4536.44,4888.74,5716.85,7590.97,6701.02,5839.16,6458.58,6270.94,6213.22,6168.51,7705.31,9092.53,6843.66,N/A
Selected period so far 3P,3P,NET_SPOT_CP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
Selected period so far,All,NET_OPS,8500.83,9896.09,8121.57,8244.55,7361.38,9117.07,8200.36,8025.41,8392.86,7500.75,8607.98,8915.61,7039.099999999999,6486.18,10724.09,8857.46,6659.95,8625.28,7626.639999999999,7659.070000000001,8729.6,12246.85,10647.65,10329.59,10279.23,10470.68,10170.39,10198.15,11829.34,14517.23,11199.77,N/A
Selected period so far,All,NET_UNITS,776,769,724,636,591,679,674,676,709,637,595,658,511,538,757,718,496,666,627,622,644,863,722,736,746,873,762,760,939,1098,802,N/A
