Showing data for:
Marketplace,amazon.ae
Date,2025-12-06 - 2026-01-06
Selected ASINSet,WJTP1
Currency,AED
Exclude Outliers,Yes


Report creation time,Jan 06 2026 13:39 +04:00

,Retail Net OPS,Retail Net Units,Retail Net GMS,Retail Net Spot CP,3P Net OPS,3P Net Units,3P Net GMS,3P Net Spot CP,All Net OPS,All Net Units,All Net GMS,All Net Spot CP
Selected period so far,193481.09000000003,9982,191494.41,-41121.931614,450238.81,33256,370257.57,0,643719.9,43238,561751.98,-41121.931614
Previous year,166220.93,8633,163557.71999999997,-49470.330969999995,106606.31000000003,8161,106401.72,0,272827.24000000005,16794,269959.44,-49470.330969999995
Changes from previous year,19.28%,18.60%,19.94%,15.34%,332.26%,313.47%,256.10%,N/A,141.65%,162.68%,113.07%,15.34%


Period,Merchant Type,Metric Type,Sat Dec 06 2025,Sun Dec 07 2025,Mon Dec 08 2025,Tue Dec 09 2025,Wed Dec 10 2025,Thu Dec 11 2025,Fri Dec 12 2025,Sat Dec 13 2025,Sun Dec 14 2025,Mon Dec 15 2025,Tue Dec 16 2025,Wed Dec 17 2025,Thu Dec 18 2025,Fri Dec 19 2025,Sat Dec 20 2025,Sun Dec 21 2025,Mon Dec 22 2025,Tue Dec 23 2025,Wed Dec 24 2025,Thu Dec 25 2025,Fri Dec 26 2025,Sat Dec 27 2025,Sun Dec 28 2025,Mon Dec 29 2025,Tue Dec 30 2025,Wed Dec 31 2025,Thu Jan 01 2026,Fri Jan 02 2026,Sat Jan 03 2026,Sun Jan 04 2026,Mon Jan 05 2026,Tue Jan 06 2026
Selected period so far Retail,Retail,NET_OPS,3168.35,3993.35,5317.38,6569.47,6533.16,6421.58,5931.73,6280.15,6624.56,5993.95,7223.99,6215.63,6618.38,7828.57,11244.68,10845.53,5214.09,4246.98,4007.92,4142.09,5755.56,4989.53,5851.17,6559.98,7082.51,4149.02,4814.64,6062.82,7199.72,7290.07,5343.71,N/A
Selected period so far Retail,Retail,NET_UNITS,192,251,267,273,281,297,330,326,329,293,329,324,310,375,489,494,261,232,247,210,319,326,337,374,393,222,280,325,414,411,260,N/A
Selected period so far Retail,Retail,NET_GMS,3083.09,3853.93,5330.27,6580.58,6521.58,6429.82,5882.39,6297.2,6569.39,5957.41,7249.06,6229.18,6595.83,7806.46,11169.89,10723.71,5233.46,4235.82,3994.41,4104.26,5722.6,4951.58,5803,6522.26,7011.83,4098.16,4587.52,5813.01,6935.74,7124.78,5253.77,N/A
Selected period so far Retail,Retail,NET_SPOT_CP,-724.576757,-642.610493,-474.87632900000006,-451.144726,-587.148552,-772.5824190000001,-1168.322961,-903.4128999999999,-832.065012,-1121.892771,-1156.734382,-1058.528393,-1354.8190920000002,-2317.7296060000003,-2708.7722179999996,-2958.414189,-1060.329142,-720.151283,-800.8851199999999,-471.918525,-911.0948450000001,-1027.785326,-1212.14707,-1311.78569,-1502.5798410000002,-612.593887,-1306.9791089999999,-1392.893445,-3648.334687,-2382.464033,-1611.965353,N/A
Selected period so far 3P,3P,NET_OPS,12374.23,12922.08,10756.12,10274.47,10723.43,10413.52,11059.64,11574.18,12927.8,13186,13308.56,13303.05,12671.44,10231.31,16553.77,15145.62,13482.58,14338.14,14730.76,13673.78,16939.45,16050.08,16822.48,17100.24,18304.55,19645.64,13532.42,13573.92,18601.64,23496.4,15762.52,N/A
Selected period so far 3P,3P,NET_UNITS,908,936,852,842,888,944,952,987,1062,1005,985,1025,942,737,1178,1115,994,1035,1129,977,1160,1163,1161,1155,1264,1363,959,1044,1326,1529,1159,N/A
Selected period so far 3P,3P,NET_GMS,10659.71,11361.09,9412.23,8708.84,9233.8,8762.25,9207.63,9715.74,10775.42,10999.74,11010.84,10907.59,10737.47,8261.41,13186.52,12328.91,11246.08,11684.68,12253.7,11058.35,13704.56,12845.57,13510.57,13823.81,14662.19,15510.36,11088.5,11190.09,15043.17,18866.7,13029.98,N/A
Selected period so far 3P,3P,NET_SPOT_CP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
Selected period so far,All,NET_OPS,15542.58,16915.43,16073.5,16843.94,17256.59,16835.1,16991.37,17854.33,19552.36,19179.95,20532.55,19518.68,19289.82,18059.879999999997,27798.45,25991.15,18696.67,18585.12,18738.68,17815.870000000003,22695.010000000002,21039.61,22673.65,23660.22,25387.059999999998,23794.66,18347.06,19636.739999999998,25801.36,30786.47,21106.23,N/A
Selected period so far,All,NET_UNITS,1100,1187,1119,1115,1169,1241,1282,1313,1391,1298,1314,1349,1252,1112,1667,1609,1255,1267,1376,1187,1479,1489,1498,1529,1657,1585,1239,1369,1740,1940,1419,N/A
