ASIN,Brand Name,List Price($)(T12M ),Product GMS($)(T12M ),Deal GMS($)(T12M ),Net PPM(T12M )(%),GV(T12M ),Amzn GV(T12M ),SoROOS(%)(T12M )(%),Daily SoRoos%(T12M )(%),Fill Rate - Sourceable(T12M )(%),Vendor Confirmation Rate - Sourceable(T12M )(%),ASP(T12M ),CM(T12M )(%),CP($)(T12M ),Net Receipts($)(T12M ),Net Receipts (Units)(T12M ),CCOGS As A % Of PCOGS(T12M )(%),PPM(T12M )(%),External Box Price Competitiveness (% Of GV)(T12M )(%),Net Ordered Units(T12M ),Customer Returns($)(T12M ),IDQ Score(T12M )
B01L1QNQEI,Gowardhan,15.93,31137.75,2047.20,14.63%,6360,4786,18.15%,18.15%,64.38%,73.15%,10.79,(10.70)%,-3141.41,74966.23,6119.00,28.23%,(13.51)%,72.26%,2912,245.03,98.30
B079974J1R,WONDERFUL,29.09,17421.28,2524.65,20.85%,2275,2215,4.88%,4.88%,79.01%,100.00%,25.66,7.14%,1217.72,20458.83,756.00,26.54%,(5.47)%,99.89%,679,0.00,80.00
B084MM33XK,Suntop,6.83,14014.87,0,8.08%,3662,3306,13.41%,13.41%,100.57%,100.00%,4.86,(40.16)%,-5331.66,13465.51,2564.00,17.23%,(8.00)%,53.63%,2879,89.28,0
B07MQDNJHS,Pocari Sweat,1.95,12179.10,0,10.93%,7464,7071,4.52%,4.52%,88.42%,102.33%,1.53,(49.19)%,-5999.16,38557.41,25391.00,9.93%,2.23%,31.71%,7996,52.41,82.00
B07PKDH8PT,WONDERFUL,17.19,9072.63,486.87,14.68%,1667,1619,8.84%,8.84%,66.35%,100.00%,11.78,(5.54)%,-499.80,10241.18,774.00,25.18%,(12.30)%,100.00%,769,0.00,79.20
B09J4QDX7W,ALITEA,9.37,7194.47,0,15.63%,3632,1652,2.54%,2.54%,100.00%,100.00%,7.90,(9.73)%,-689.66,6053.49,840.00,10.02%,8.75%,37.88%,906,79.27,0
B0B82VTXNL,Mr Makhana,0.00,6590.02,556.93,70.82%,1367,1313,8.27%,8.27%,97.27%,100.00%,2.32,19.33%,1268.84,8082.42,3317.00,76.60%,(5.16)%,58.82%,2844,4.87,78.20
B08CSRN82W,Mr Makhana,0.00,6087.40,411.34,69.68%,2790,2668,0.60%,0.60%,85.54%,100.00%,2.50,23.90%,1436.12,5804.13,2382.00,73.20%,2.61%,0.00%,2430,34.11,83.20
B0B82WSFTV,Mr Makhana,0.00,4912.62,364.39,65.65%,2522,2506,1.78%,1.78%,94.69%,98.45%,0.88,(39.21)%,-1939.59,7325.62,6812.00,75.63%,(21.84)%,72.90%,5556,32.26,78.20
B081LFRBNG,Mr Makhana,0.00,4778.21,310.78,65.05%,5200,5118,0.04%,0.04%,97.88%,97.64%,0.93,(31.97)%,-1555.35,5878.13,5466.00,73.73%,(15.77)%,66.92%,5150,26.88,78.20
B07NF8B82T,Alitea,6.93,4666.33,3102.94,29.71%,3603,3153,13.93%,13.93%,67.38%,90.87%,4.51,(2.52)%,-114.38,9329.36,1518.00,50.57%,(36.07)%,68.87%,1050,72.05,87.50
B00PCCR1FI,India Gate,4.59,4622.12,0,13.50%,6152,5023,23.31%,23.31%,90.46%,52.50%,3.73,(39.52)%,-1818.62,16707.79,5570.00,4.20%,11.77%,49.16%,1210,42.01,68.70
B084VPP1M5,Suntop,6.83,4309.40,0,9.18%,1495,1375,19.02%,19.02%,92.05%,100.00%,5.03,(30.65)%,-1296.26,4647.81,885.00,14.79%,(4.32)%,59.80%,853,68.27,90.80
B00A20QDD6,UNKNOWN,3.11,3927.26,398.13,77.66%,5402,5197,2.04%,2.04%,74.54%,62.90%,2.56,28.25%,1105.40,3985.78,1830.00,77.85%,14.93%,0.00%,1562,15.25,0
B004ZK343G,ROCA,6.88,3913.74,1157.88,82.50%,1456,1437,3.92%,3.92%,99.81%,100.00%,5.52,55.85%,2177.00,4682.75,860.00,83.75%,1.36%,0.00%,709,27.23,70.50
B07GJCL75D,Alicafe,8.40,3795.23,1413.13,8.65%,1581,1134,2.40%,2.40%,0.00%,0.00%,6.01,(17.98)%,-677.58,0.00,0.00,19.35%,(11.25)%,100.00%,627,32.96,0
B08H6P5677,Mr Makhana,2.51,3572.28,236.62,70.85%,941,920,5.63%,5.63%,97.03%,100.00%,2.58,25.10%,889.25,3618.45,1485.00,73.31%,5.67%,60.95%,1385,0.00,78.20
B07NF6J8HC,Suntop,2.28,3494.94,0,18.67%,1798,1626,8.49%,8.49%,85.60%,100.00%,1.77,(75.79)%,-2393.08,9544.20,5452.00,20.93%,1.37%,50.51%,1969,31.51,0
