ASIN,Brand Name,List Price($)(T12M ),Product GMS($)(T12M ),Deal GMS($)(T12M ),Net PPM(T12M )(%),GV(T12M ),Amzn GV(T12M ),SoROOS(%)(T12M )(%),Daily SoRoos%(T12M )(%),Fill Rate - Sourceable(T12M )(%),Vendor Confirmation Rate - Sourceable(T12M )(%),ASP(T12M ),CM(T12M )(%),CP($)(T12M ),Net Receipts($)(T12M ),Net Receipts (Units)(T12M ),CCOGS As A % Of PCOGS(T12M )(%),PPM(T12M )(%),External Box Price Competitiveness (% Of GV)(T12M )(%),Net Ordered Units(T12M ),Customer Returns($)(T12M ),IDQ Score(T12M )
B0881MBW3P,Erko,1.57,16466.40,5138.10,30.23%,13281,13038,1.35%,1.35%,74.65%,100.00%,1.34,(31.69)%,-5141.70,15122.85,11453.00,34.38%,1.68%,0.00%,12263,96.39,90.00
B07BYNX1P6,La Molisana,2.17,12181.10,4101.07,30.10%,4936,4919,0.00%,0.00%,97.43%,66.03%,2.03,(24.65)%,-2918.64,15690.01,7949.00,34.09%,2.87%,51.88%,6003,29.61,97.00
B087GJVRRM,Nom Noms,2.68,9566.07,1814.21,41.01%,7721,7586,6.85%,6.85%,55.62%,100.00%,2.91,(5.60)%,-536.56,6020.41,2468.00,34.15%,16.10%,55.94%,3366,43.91,87.50
B00GKX89Q8,Whittaker,6.49,9148.24,2722.55,35.59%,6407,6006,9.15%,9.15%,72.19%,96.37%,6.22,7.98%,696.01,20364.73,3455.00,37.80%,5.29%,74.76%,1479,35.37,81.00
B00GKX89QI,Whittaker,6.49,8496.88,3166.80,18.69%,4800,4516,12.78%,12.78%,44.12%,63.47%,5.16,(16.90)%,-1327.70,13792.61,2340.00,35.23%,(14.32)%,61.92%,1676,41.26,93.50
B087GM93C9,Americandy,4.36,8123.17,2675.70,27.05%,9675,9333,1.74%,1.74%,87.21%,100.00%,3.73,(18.29)%,-1454.94,10357.94,2613.00,34.96%,(6.14)%,0.00%,2177,99.10,93.20
B087GJGZPR,Freakin Healthy,7.46,7341.38,3138.33,27.80%,3525,3397,2.30%,2.30%,99.93%,38.32%,3.33,(2.35)%,-166.60,10742.93,2699.00,43.80%,(19.44)%,62.24%,2203,11.94,0
B08BFBXQGZ,La Molisana,2.67,6809.97,2115.68,35.58%,2224,2195,0.81%,0.81%,89.96%,99.26%,2.69,(8.51)%,-551.75,6862.08,2832.00,34.63%,9.98%,67.82%,2546,24.23,84.50
B00GKX89SQ,Whittaker,6.49,6373.61,2140.47,28.32%,3198,2971,10.44%,10.44%,73.49%,99.95%,5.60,0.35%,20.40,16397.88,2782.00,38.15%,(5.24)%,69.06%,1139,35.37,98.50
B07Z7GQJBF,Costa dÓro,11.23,6373.32,1679.76,27.42%,2622,2513,26.88%,26.88%,39.75%,64.48%,10.62,1.99%,122.82,5237.47,513.00,29.13%,3.89%,0.00%,600,0.00,84.20
