ASIN,Brand Name,List Price($)(T12M ),Product GMS($)(T12M ),Deal GMS($)(T12M ),Net PPM(T12M )(%),GV(T12M ),Amzn GV(T12M ),SoROOS(%)(T12M )(%),Daily SoRoos%(T12M )(%),Fill Rate - Sourceable(T12M )(%),Vendor Confirmation Rate - Sourceable(T12M )(%),ASP(T12M ),CM(T12M )(%),CP($)(T12M ),Net Receipts($)(T12M ),Net Receipts (Units)(T12M ),CCOGS As A % Of PCOGS(T12M )(%),PPM(T12M )(%),External Box Price Competitiveness (% Of GV)(T12M )(%),Net Ordered Units(T12M ),Customer Returns($)(T12M ),IDQ Score(T12M )
B086DV7D1W,Vitamin Well,28.13,132349.43,45580.21,32.94%,31495,30285,20.24%,20.24%,47.33%,99.90%,26.13,19.31%,25255.02,127608.66,5350.00,28.53%,8.77%,94.25%,5145,286.23,83.50
B07X5MH1BM,Vitamin Well,28.98,107101.05,41091.59,32.42%,19383,18268,7.32%,7.32%,88.34%,99.36%,25.60,19.51%,20790.04,109815.00,4604.00,28.97%,6.82%,95.12%,4184,71.56,63.00
B07TDTX4R2,Barebells,40.19,98310.31,38436.83,28.94%,15639,12842,9.44%,9.44%,62.63%,99.55%,32.89,19.59%,18490.93,115647.52,3416.00,34.81%,(2.90)%,97.76%,3016,169.27,93.00
B086DVXG5K,Vitamin Well,28.16,91091.52,33269.24,34.76%,18633,18308,4.43%,4.43%,84.16%,98.06%,26.30,21.68%,19648.42,92975.43,3898.00,29.51%,9.32%,94.80%,3510,166.96,88.50
B08MKX6G7G,Vitamin Well,28.13,82395.31,20343.18,33.79%,11893,11740,6.49%,6.49%,79.96%,100.00%,26.49,20.75%,17158.59,90494.81,3794.00,27.02%,9.97%,94.48%,3108,95.41,98.50
B07M85KKJ4,Barebells,0.00,77489.85,41437.79,27.32%,13497,11843,3.00%,3.00%,91.48%,100.00%,31.35,17.86%,13150.10,101572.15,3000.00,37.17%,(8.01)%,99.74%,2495,33.86,98.50
B08MBD4175,Vitamin Well,0.00,70024.11,26081.68,30.57%,12814,12397,4.98%,4.98%,74.08%,100.00%,25.06,17.61%,12141.40,76684.46,3215.00,29.21%,4.83%,94.53%,2795,310.08,82.00
B07DLFZW31,Barebells,0.00,69106.81,23705.41,35.06%,8443,7809,8.53%,8.53%,62.81%,97.84%,25.99,23.94%,16050.54,75158.27,3080.00,34.67%,6.11%,98.05%,2662,24.40,100.00
B0BVQBSBV8,Barebells,0.00,68660.55,34321.63,30.57%,9836,8792,8.94%,8.94%,57.30%,100.00%,32.90,19.83%,13151.17,77262.55,2282.00,36.15%,(2.91)%,98.76%,2159,101.57,82.00
B0BFBDDGGN,Barebells,40.19,66118.34,25356.35,29.76%,7967,7340,10.64%,10.64%,52.39%,99.88%,33.13,18.44%,11846.20,75705.11,2236.00,34.60%,(2.21)%,96.36%,2006,0.00,94.50
B072HWGV31,Barebells,0.00,52727.87,26350.10,29.05%,7530,7408,3.57%,3.57%,86.14%,100.00%,32.15,19.70%,9751.38,56711.12,1675.00,37.92%,(5.24)%,98.29%,1644,338.57,98.50
B07DLCVM1H,Barebells,0.07,42477.19,11289.44,23.65%,5870,5454,4.84%,4.84%,82.70%,100.00%,22.65,11.53%,4781.97,49365.32,2023.00,32.24%,(7.71)%,95.97%,1876,48.80,100.00
B07MHKBDJV,Barebells,0.03,41261.66,9750.63,25.49%,7056,6447,8.50%,8.50%,80.67%,100.00%,23.34,14.02%,5577.88,51854.33,2125.00,32.73%,(4.56)%,94.96%,1783,244.02,100.00
B07FSPH47X,Barebells,40.19,28768.78,9622.48,28.65%,4409,3940,15.34%,15.34%,55.86%,100.00%,33.26,19.37%,5336.85,34399.10,1016.00,34.42%,(1.80)%,98.06%,863,0.00,98.50
B07DLNH6L2,Barebells,40.19,28604.32,11462.90,28.67%,4921,3809,35.04%,35.04%,23.22%,99.35%,32.36,19.19%,5210.47,27221.34,804.00,37.15%,(4.63)%,93.81%,883,0.00,98.50
B09MWMV1DG,Barebells,0.00,27139.72,8582.72,28.59%,3758,3058,18.69%,18.69%,65.46%,98.73%,33.14,18.65%,4839.26,39071.42,1154.00,35.08%,(2.17)%,99.96%,822,0.00,94.50
B07DLJB7PC,Barebells,0.05,23147.39,6784.05,23.69%,3516,3201,9.41%,9.41%,85.45%,100.00%,22.58,9.69%,2155.90,25182.90,1032.00,33.89%,(8.06)%,95.90%,1034,0.00,95.70
B0CGK3WVSK,Barebells,0.00,16372.60,8281.76,18.57%,4657,3090,31.62%,31.62%,80.80%,100.00%,27.06,6.69%,1040.20,35448.68,1047.00,38.94%,(25.11)%,98.47%,600,0.00,0
B088N7FT19,Barebells,0.00,8099.94,1653.87,30.73%,1761,1585,22.35%,22.35%,46.51%,100.00%,34.76,21.25%,1668.11,11850.08,350.00,32.36%,2.61%,93.50%,235,33.86,84.50
B0F793ZNSD,Barebells,0.38,4761.56,0,28.27%,1922,1691,51.86%,51.86%,37.50%,100.00%,36.07,17.41%,818.35,4875.46,144.00,24.50%,6.14%,100.00%,132,0.00,73.00
B0DXBRHMXT,Vitamin Well,0.00,2895.12,0,25.69%,2124,1887,53.30%,53.30%,49.90%,96.26%,15.40,8.60%,252.61,6982.55,483.00,21.74%,6.12%,75.72%,202,0.00,51.00
B0DXBYBZN4,Vitamin Well,0.00,1931.70,0,32.29%,1246,1198,59.97%,59.97%,74.81%,98.53%,17.09,14.27%,276.93,4149.05,287.00,20.49%,15.43%,0.00%,113,0.00,47.00
B0DWXBKCLF,QMINC,0.00,1034.56,0,24.59%,1898,1410,68.99%,68.99%,41.72%,86.70%,10.89,(2.87)%,-29.12,936.50,91.00,20.89%,5.50%,0.00%,95,10.29,81.50
B088NNZW7B,Barebells,0.00,821.29,0,22.81%,1474,764,73.55%,73.55%,7.21%,96.43%,32.85,12.55%,94.76,1659.01,49.00,34.14%,(3.06)%,100.00%,25,0.00,84.50
B07CD4K7HM,Rip van Wafels,0.00,726.20,0,32.98%,511,400,48.44%,48.44%,65.79%,100.00%,30.26,20.84%,152.95,580.39,22.00,23.12%,12.81%,0.00%,24,0.00,98.30
B01MQJPAOU,Rip van Wafels,0.00,713.61,0,31.46%,388,234,64.84%,64.84%,61.11%,97.30%,29.73,12.22%,80.90,633.15,24.00,22.50%,11.27%,0.00%,24,0.00,0
B09FX1D4PF,QualityFood,2.38,655.83,0,52.34%,747,631,50.90%,50.90%,35.63%,98.41%,3.58,(21.05)%,-129.64,624.06,314.00,18.93%,44.54%,62.60%,184,0.00,59.00
B0CBKW4ZYB,Barebells,0.00,597.64,0,34.45%,228,182,29.41%,29.41%,60.00%,76.92%,35.16,21.97%,132.46,575.58,17.00,22.87%,15.02%,100.00%,17,0.00,63.00
B0F331Z81L,Barebells,0.64,401.23,0,40.47%,719,176,67.92%,67.92%,68.97%,100.00%,30.86,25.66%,95.78,1464.12,60.00,24.50%,20.94%,0.00%,13,0.00,76.90
B0DMTC4NQB,Castello since 1907,3.98,353.23,0,32.16%,1035,975,26.77%,26.77%,66.15%,65.66%,7.21,10.03%,34.63,306.28,50.00,20.66%,15.03%,0.00%,49,6.13,0
B0DQR5L658,Castello since 1907,4.42,304.34,0,20.19%,640,611,14.60%,14.60%,37.02%,79.74%,4.76,6.40%,19.72,311.92,67.00,21.99%,2.10%,37.89%,64,0.00,0
B0DTGL5G3D,Castello since 1907,5.88,261.93,0,21.82%,529,522,14.99%,14.99%,92.31%,94.55%,7.48,23.38%,63.56,352.84,48.00,21.43%,1.78%,39.34%,35,0.00,85.00
B01N531XR0,Rip van Wafels,0.00,217.81,0,25.08%,736,388,75.20%,75.20%,48.84%,100.00%,31.12,12.20%,26.90,2641.11,105.00,7.32%,19.16%,0.00%,7,0.00,98.30
B0DTGMM5L1,Castello since 1907,8.08,163.61,0,27.83%,343,319,10.42%,10.42%,40.82%,83.05%,8.18,42.41%,67.24,147.02,20.00,20.75%,10.14%,50.00%,20,0.00,0
B09FX639YN,QualityFood,0.00,155.95,0,(21.08)%,523,474,92.66%,92.66%,20.61%,100.00%,2.36,(95.78)%,-124.42,444.73,121.00,22.16%,(55.55)%,83.71%,84,14.70,0
B0BYZS6GLT,Barebells,0.14,89.99,0,27.44%,515,169,41.67%,41.67%,7.44%,91.15%,3.91,(7.54)%,-7.40,367.54,100.00,22.22%,7.01%,55.00%,23,0.00,0
B0D1HBJF5R,Barebells,4.14,73.12,0,30.08%,351,244,95.80%,95.80%,10.71%,100.00%,36.56,25.38%,18.57,67.71,2.00,24.50%,7.39%,0.00%,2,0.00,78.00
B0DQLLVRXB,Barebells,3.46,57.53,0,28.61%,328,234,54.37%,54.37%,0.00%,100.00%,4.11,(23.48)%,-13.73,0.00,0.00,0.00%,31.36%,62.96%,14,0,57.50
B0DTDTZGMQ,Barebells,0.00,43.26,0,(14.86)%,257,203,64.84%,64.84%,20.15%,79.76%,2.70,(62.01)%,-27.58,421.04,113.00,23.05%,(47.26)%,50.00%,16,0.00,0
B0D3QVP733,UNKNOWN,3.35,27.92,0,15.97%,1405,1161,55.39%,55.39%,39.39%,100.00%,3.49,(71.25)%,-16.87,617.47,168.00,0.00%,19.17%,73.13%,8,0.00,62.00
B0DN9HZPYH,Barebells,3.73,3.88,0,21.35%,241,170,45.88%,45.88%,0.00%,100.00%,3.88,(100.62)%,-4.51,88.21,24.00,0.00%,21.35%,48.92%,1,0.00,0
B07G4GNKHT,Barebells,3.35,3.78,0,25.36%,288,249,8.36%,8.36%,1.57%,100.00%,3.78,(53.89)%,-2.20,220.52,60.00,0.00%,25.36%,72.33%,1,0.00,61.50
B0CH8T3XXZ,Barebells,3.35,3.74,0,24.54%,75,69,23.29%,23.29%,0.00%,100.00%,3.74,(59.49)%,-2.42,0.00,0.00,0.00%,24.54%,0.00%,1,0,57.50
B07KDKSTS7,UNKNOWN,3.35,3.35,0,15.77%,470,167,35.25%,35.25%,22.14%,100.00%,3.35,(74.56)%,-2.75,481.48,131.00,0.00%,15.77%,17.00%,1,0.00,0
B0F13HJBN1,Lacnor,0.42,1.29,0,23.00%,67,62,48.48%,48.48%,0.00%,100.00%,0.43,(676.16)%,-11.11,0.00,0.00,0.00%,23.00%,100.00%,5,0,78.00
B0BD8QGVR6,UNKNOWN,0.00,0,0,0.00%,228,206,43.93%,43.93%,0.00%,100.00%,0.00,0.00%,0,220.52,60.00,0.00%,0.00%,0.00%,0,0.00,70.50
B09FX76VQN,UNKNOWN,0.00,0,0,0.00%,860,456,39.97%,39.97%,0.00%,95.00%,0.00,0.00%,0,224.82,62.00,0.00%,0.00%,77.87%,27,0.00,0
B0CH8RF9RZ,Barebells,0.00,0,0,0.00%,91,90,81.11%,81.11%,0.00%,100.00%,0.00,0.00%,0,0.00,0.00,0.00%,0.00%,100.00%,0,0,0
B07Q4Q591H,Barebells,0.00,0,0,0.00%,57,32,97.50%,97.50%,0.00%,100.00%,0.00,0.00%,0,0.00,0.00,0.00%,0.00%,100.00%,0,0,77.00
B07WRL9XZG,UNKNOWN,0.00,0,0,0.00%,151,18,62.41%,62.41%,10.53%,100.00%,0.00,0.00%,0,225.64,80.00,0.00%,0.00%,42.86%,0,0.00,0
B0FS7DHXXJ,Vitamin Well,0.00,0,0,0.00%,67,63,95.45%,95.45%,0.00%,100.00%,0.00,0.00%,0,0.00,0.00,0.00%,0.00%,98.25%,3,0,0
