ASIN,Brand Name,List Price($)(Week 49 ),List Price($)(Week 50 ),List Price($)(Week 51 ),List Price($)(Week 52 ),Product GMS($)(Week 49 ),Product GMS($)(Week 50 ),Product GMS($)(Week 51 ),Product GMS($)(Week 52 ),ASP(Week 49 ),ASP(Week 50 ),ASP(Week 51 ),ASP(Week 52 ),CM(Week 49 )(%),CM(Week 50 )(%),CM(Week 51 )(%),CM(Week 52 )(%),CP($)(Week 49 ),CP($)(Week 50 ),CP($)(Week 51 ),CP($)(Week 52 ),Net PPM(Week 49 )(%),Net PPM(Week 50 )(%),Net PPM(Week 51 )(%),Net PPM(Week 52 )(%),GV(Week 49 ),GV(Week 50 ),GV(Week 51 ),GV(Week 52 ),SoROOS(%)(Week 49 )(%),SoROOS(%)(Week 50 )(%),SoROOS(%)(Week 51 )(%),SoROOS(%)(Week 52 )(%),Vendor Confirmation Rate - Sourceable(Week 49 )(%),Vendor Confirmation Rate - Sourceable(Week 50 )(%),Vendor Confirmation Rate - Sourceable(Week 51 )(%),Vendor Confirmation Rate - Sourceable(Week 52 )(%),Fill Rate - Sourceable(Week 49 )(%),Fill Rate - Sourceable(Week 50 )(%),Fill Rate - Sourceable(Week 51 )(%),Fill Rate - Sourceable(Week 52 )(%),SELLABLE_ON_HAND_UNITS(Week 49 ),SELLABLE_ON_HAND_UNITS(Week 50 ),SELLABLE_ON_HAND_UNITS(Week 51 ),SELLABLE_ON_HAND_UNITS(Week 52 ),Total GMM($)(Week 49 ),Total GMM($)(Week 50 ),Total GMM($)(Week 51 ),Total GMM($)(Week 52 ),Net Receipts($)(Week 49 ),Net Receipts($)(Week 50 ),Net Receipts($)(Week 51 ),Net Receipts($)(Week 52 ),Net Receipts (Units)(Week 49 ),Net Receipts (Units)(Week 50 ),Net Receipts (Units)(Week 51 ),Net Receipts (Units)(Week 52 ),CCOGS As A % Of PCOGS(Week 49 )(%),CCOGS As A % Of PCOGS(Week 50 )(%),CCOGS As A % Of PCOGS(Week 51 )(%),CCOGS As A % Of PCOGS(Week 52 )(%),PPM(Week 49 )(%),PPM(Week 50 )(%),PPM(Week 51 )(%),PPM(Week 52 )(%),External Box Price Competitiveness (% Of GV)(Week 49 )(%),External Box Price Competitiveness (% Of GV)(Week 50 )(%),External Box Price Competitiveness (% Of GV)(Week 51 )(%),External Box Price Competitiveness (% Of GV)(Week 52 )(%),Amzn GV(Week 49 ),Amzn GV(Week 50 ),Amzn GV(Week 51 ),Amzn GV(Week 52 ),Customer Returns($)(Week 49 ),Customer Returns($)(Week 50 ),Customer Returns($)(Week 51 ),Customer Returns($)(Week 52 ),Daily SoRoos%(Week 49 )(%),Daily SoRoos%(Week 50 )(%),Daily SoRoos%(Week 51 )(%),Daily SoRoos%(Week 52 )(%),IDQ Score(Week 49 ),IDQ Score(Week 50 ),IDQ Score(Week 51 ),IDQ Score(Week 52 ),Net Ordered Units(Week 49 ),Net Ordered Units(Week 50 ),Net Ordered Units(Week 51 ),Net Ordered Units(Week 52 )
B087GJVRRM,Nom Noms,2.68,2.68,2.68,2.68,665.70,412.99,588.46,33.55,3.74,2.70,2.58,2.58,13.43%,(30.07)%,(35.19)%,(38.41)%,92.76,-131.60,-226.52,-12.08,51.23%,28.40%,25.75%,20.40%,298,296,490,452,3.69%,26.35%,0.41%,69.69%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,44,291,64,53,0.00,0.00,0.00,0.00,0.00,980.63,0.00,0.00,0.00,402.00,0.00,0.00,28.93%,23.43%,23.21%,21.09%,34.77%,9.63%,5.49%,5.49%,84.86%,68.64%,71.49%,100.00%,290,275,476,426,0,0,0,0,3.69%,26.35%,0.41%,69.69%,87.50,87.50,87.50,87.50,198,143,266,40
B0881MBW3P,Erko,1.57,1.57,1.57,1.57,396.85,230.52,150.55,174.07,1.56,1.57,1.57,1.57,(18.73)%,(22.03)%,(36.07)%,(32.68)%,-77.04,-53.74,-54.98,-60.36,35.93%,32.34%,32.45%,31.88%,206,198,136,151,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,46.67%,0.00%,0.00%,716,974,1055,936,0.00,0.00,0.00,0.00,0.00,537.41,249.56,0.00,0.00,407.00,189.00,0.00,31.15%,23.49%,24.61%,24.18%,15.15%,15.80%,15.80%,15.80%,0.00%,0.00%,0.00%,0.00%,206,196,136,151,0,0,0,0,0.00%,0.00%,0.00%,0.00%,90.00,90.00,90.00,90.00,243,161,90,117
B08BFBXQGZ,La Molisana,2.67,2.67,2.67,2.67,227.84,81.89,105.95,106.87,2.59,4.09,4.08,3.82,(11.25)%,24.37%,24.48%,18.24%,-25.63,19.89,24.85,18.50,31.56%,51.68%,51.52%,47.47%,42,15,15,23,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,103.23%,7.27%,40.00%,0.00%,122,393,530,507,0.00,0.00,0.00,0.00,21.81,726.92,378.00,0.00,9.00,300.00,156.00,0.00,31.27%,23.84%,29.40%,24.94%,6.41%,40.82%,40.54%,36.52%,48.78%,40.00%,53.33%,73.91%,41,15,15,23,0,0,0,0,0.00%,0.00%,0.00%,0.00%,84.50,84.50,84.50,84.50,83,22,39,32
B07BYNX1P6,La Molisana,2.17,2.17,2.17,2.17,188.22,231.41,183.16,168.40,4.00,4.06,3.90,3.74,34.24%,35.36%,29.08%,25.10%,62.16,80.45,52.69,39.81,57.69%,58.98%,59.04%,55.54%,45,67,53,42,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,1178,1478,2030,1981,0.00,0.00,0.00,0.00,17.76,726.37,1184.30,0.00,9.00,368.00,600.00,0.00,26.28%,24.36%,26.61%,27.06%,50.71%,51.38%,49.35%,47.26%,40.91%,34.33%,59.62%,59.52%,44,67,52,42,0,0,0,0,0.00%,0.00%,0.00%,0.00%,97.00,97.00,97.00,97.00,48,76,53,33
B087GM93C9,Americandy,4.36,4.36,4.36,4.36,177.20,107.74,113.40,78.51,3.85,4.31,4.36,4.36,(18.17)%,(29.18)%,(42.36)%,(31.90)%,-31.42,-30.83,-41.43,-22.60,29.74%,28.86%,29.44%,25.48%,181,163,121,128,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,0.00%,100.00%,32.26%,0.00%,0.00%,218,351,351,321,0.00,0.00,0.00,0.00,71.35,685.77,134.78,0.00,18.00,173.00,34.00,0.00,34.91%,24.95%,25.11%,23.61%,(2.90)%,8.02%,9.11%,9.11%,0.00%,0.00%,0.00%,0.00%,174,150,121,115,0,0,0,0,0.00%,0.00%,0.00%,0.00%,93.20,93.20,93.20,93.20,48,23,21,19
B00DIREC0Q,La Molisana,2.99,2.99,2.99,2.99,140.75,116.80,134.77,101.82,2.99,2.99,2.99,2.99,(1.01)%,(12.77)%,(13.67)%,(6.31)%,-1.39,-15.03,-17.60,-6.27,32.14%,26.54%,27.68%,27.06%,42,43,39,34,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,378,407,602,565,0.00,0.00,0.00,0.00,0.00,196.02,653.41,0.00,0.00,72.00,240.00,0.00,31.19%,22.41%,24.47%,26.88%,9.09%,9.09%,9.09%,9.09%,0.00%,0.00%,0.00%,0.00%,41,43,39,34,0,0,0,0,0.00%,0.00%,0.00%,0.00%,81.00,81.00,81.00,81.00,41,50,44,28
B098S3TW7Q,La Molisana,2.77,2.77,2.77,2.77,124.60,66.45,91.37,127.37,2.77,2.77,2.77,2.77,(22.85)%,(33.71)%,(28.44)%,(23.44)%,-27.93,-23.00,-25.53,-29.67,25.75%,28.31%,28.15%,27.69%,40,47,53,72,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,148,236,421,372,0.00,0.00,0.00,0.00,0.00,282.05,551.52,0.00,0.00,112.00,219.00,0.00,25.45%,23.92%,25.00%,26.35%,9.05%,9.05%,9.05%,9.05%,0.00%,0.00%,0.00%,0.00%,39,45,53,72,0,0,0,0,0.00%,0.00%,0.00%,0.00%,61.50,61.50,61.50,61.50,38,31,45,30
B094P139XJ,Red Band,1.38,1.38,1.38,1.38,108.79,97.91,100.60,148.94,1.81,1.81,1.86,1.86,(5.52)%,(13.01)%,(14.84)%,(5.32)%,-6.26,-13.33,-15.61,-8.01,50.99%,44.25%,47.32%,45.16%,59,65,65,58,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,64.27%,0.00%,0.00%,0.88%,0.00%,336,253,308,204,0.00,0.00,0.00,0.00,30.06,7.51,181.59,0.00,24.00,6.00,145.00,0.00,30.00%,23.00%,24.10%,23.81%,30.93%,30.93%,32.78%,32.73%,42.37%,53.85%,46.15%,48.28%,58,65,65,58,0,0,0,0,0.00%,0.00%,0.00%,0.00%,78.70,78.70,78.70,78.70,63,56,54,76
B087C7QD76,Little Freddie,2.79,2.79,2.79,0.00,107.32,14.91,8.94,0,2.98,2.98,2.98,0.00,1.77%,(6.92)%,2.59%,0.00%,1.89,-1.03,0.22,0,36.20%,34.39%,32.72%,0.00%,36,25,32,9,0.00%,76.00%,56.25%,33.33%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,87,64,45,23,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.82%,30.07%,30.86%,0.00%,14.79%,14.79%,14.79%,0.00%,100.00%,100.00%,100.00%,100.00%,36,25,32,5,0,0,0,0,0.00%,76.00%,56.25%,33.33%,76.70,76.70,76.70,76.70,38,4,14,2
B0CD87Z6VY,Rhythm 108,5.00,5.00,5.00,5.00,105.92,113.41,79.93,84.93,4.61,4.93,5.00,5.00,2.63%,(2.15)%,(1.96)%,2.59%,2.75,-2.42,-1.53,2.13,30.18%,24.78%,27.83%,24.17%,23,25,15,16,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,176,166,143,109,0.00,0.00,0.00,0.00,0.00,122.61,90.82,0.00,0.00,27.00,20.00,0.00,34.36%,23.64%,28.50%,23.00%,1.39%,7.90%,9.10%,9.10%,0.00%,0.00%,0.00%,0.00%,23,25,15,16,0,0,0,0,0.00%,0.00%,0.00%,0.00%,85.80,85.80,85.80,85.80,31,24,6,23
B088F995XR,Freakin' Healthy,23.33,23.33,23.33,23.33,92.84,83.17,182.74,114.21,30.95,27.72,22.84,22.84,30.97%,13.50%,(2.25)%,17.11%,29.11,11.42,-4.18,20.12,44.11%,26.58%,10.56%,29.80%,14,12,9,12,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,26,23,28,23,0.00,0.00,0.00,0.00,0.00,0.00,361.01,0.00,0.00,0.00,13.00,0.00,37.71%,26.70%,26.43%,42.26%,10.27%,(0.16)%,(21.57)%,(21.57)%,0.00%,0.00%,0.00%,0.00%,14,11,9,12,0,0,0,0,0.00%,0.00%,0.00%,0.00%,98.50,98.50,98.50,98.50,3,3,8,5
B07DXVR84H,La Molisana,0.00,0.00,0.00,0.00,85.56,40.95,45.04,28.66,3.72,4.09,4.09,4.09,9.57%,16.93%,8.80%,24.73%,7.80,7.10,4.14,7.11,39.60%,46.24%,46.24%,45.11%,14,14,10,8,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,18,90,119,104,0.00,0.00,0.00,0.00,85.76,308.73,154.37,0.00,30.00,108.00,54.00,0.00,30.28%,25.86%,24.30%,23.00%,23.16%,30.19%,30.19%,30.19%,64.29%,64.29%,50.00%,25.00%,14,14,10,8,0,0,0,0,0.00%,0.00%,0.00%,0.00%,78.50,78.50,78.50,78.50,23,10,11,7
B07NF9H25V,Palazi,6.04,6.04,6.04,6.04,84.18,58.09,58.09,50.83,6.01,7.26,7.26,7.26,8.86%,5.39%,7.29%,8.95%,7.56,3.25,4.33,4.84,41.94%,41.80%,41.80%,40.36%,177,160,179,130,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,72.73%,0.00%,0.00%,81,98,92,76,0.00,0.00,0.00,0.00,0.00,153.68,65.86,0.00,0.00,28.00,12.00,0.00,38.00%,23.00%,23.00%,23.00%,8.72%,24.41%,24.41%,24.41%,39.74%,20.42%,26.62%,21.05%,166,150,166,118,0,0,0,0,0.00%,0.00%,0.00%,0.00%,62.50,62.50,62.50,62.50,14,8,8,7
B088F92WLW,Freakin' Healthy,1.30,1.30,0.00,0.00,83.05,34.88,0,0,1.20,1.45,0.00,0.00,(13.76)%,(50.64)%,0.00%,0.00%,-10.64,-17.61,0,0,32.23%,32.49%,0.00%,0.00%,55,39,38,20,0.00%,38.46%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25,0,1,1,0.00,0.00,0,0,-2.50,0.00,0.00,0.00,-2.00,0.00,0.00,0.00,46.23%,30.45%,0.00%,0.00%,(4.05)%,13.84%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,55,38,38,17,0,0,0,0,0.00%,38.46%,100.00%,100.00%,98.20,98.20,98.20,98.20,74,28,14,-2
B087GL49FM,Erko,3.80,3.80,3.80,3.80,75.96,53.17,64.56,18.99,3.80,3.80,3.80,3.80,4.95%,(24.20)%,6.47%,(9.10)%,3.80,-13.05,4.16,-1.81,42.18%,37.69%,37.43%,39.26%,86,71,67,66,0.00%,21.13%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,106,132,110,100,0.00,0.00,0.00,0.00,0.00,130.35,0.00,0.00,0.00,45.00,0.00,0.00,28.16%,23.94%,23.00%,23.00%,23.73%,23.73%,23.73%,23.73%,100.00%,100.00%,100.00%,100.00%,86,70,67,65,0,0,0,0,0.00%,21.13%,0.00%,0.00%,72.50,72.50,72.50,72.50,22,18,25,-9
B0881M44V2,Cici,8.38,8.38,8.38,8.38,68.80,67.39,26.46,36.08,7.64,8.42,8.82,9.02,(5.38)%,9.87%,5.98%,13.24%,-3.86,6.81,1.66,4.88,27.08%,34.80%,37.73%,34.19%,38,37,25,20,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,13,111,124,120,0.00,0.00,0.00,0.00,0.00,756.10,114.13,0.00,0.00,106.00,16.00,0.00,20.44%,24.47%,23.00%,23.00%,6.70%,15.32%,19.14%,20.92%,73.68%,46.88%,48.00%,60.00%,38,32,25,20,0,0,0,0,0.00%,0.00%,0.00%,0.00%,98.20,98.20,98.20,98.20,8,8,4,4
B07Z7GQJBF,Costa dÓro,11.23,11.23,11.23,11.23,65.58,44.92,179.69,157.23,9.37,11.23,11.23,11.23,(22.72)%,6.48%,5.45%,11.48%,-13.81,3.02,9.86,17.50,10.62%,30.00%,30.00%,28.20%,15,19,34,29,26.67%,21.05%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,1,110,93,75,0.00,0.00,0.00,0.00,0.00,1163.88,0.00,0.00,0.00,114.00,0.00,0.00,26.93%,23.00%,25.75%,26.92%,(8.98)%,9.09%,9.09%,9.09%,0.00%,0.00%,0.00%,0.00%,13,18,34,28,0,0,0,0,26.67%,21.05%,0.00%,0.00%,84.20,84.20,84.20,84.20,5,8,19,8
B093YYK5DK,Nabati,5.34,5.34,5.34,5.34,65.11,38.47,145.57,94.70,2.96,2.96,4.70,2.96,(7.20)%,(60.41)%,15.67%,(46.87)%,-5.03,-24.36,23.40,-46.55,24.39%,0.70%,37.27%,(2.46)%,118,112,62,53,16.95%,1.79%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,56,341,348,314,0.00,0.00,0.00,0.00,0.00,1143.46,152.46,0.00,0.00,300.00,40.00,0.00,40.73%,23.00%,23.00%,21.56%,(28.79)%,(28.79)%,18.83%,(28.79)%,0.00%,100.00%,100.00%,100.00%,97,103,54,50,0,0,0,0,16.95%,1.79%,0.00%,0.00%,85.00,85.00,85.00,85.00,15,10,31,32
B00GKX89SQ,Whittaker,6.49,6.49,6.49,6.49,64.69,97.03,310.50,135.84,6.47,6.47,6.47,6.47,21.12%,8.03%,9.59%,4.16%,12.39,7.44,28.71,5.79,29.84%,28.52%,28.67%,29.09%,55,53,66,66,56.36%,16.98%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,757,903,856,788,0.00,0.00,0.00,0.00,0.00,1178.86,188.62,0.00,0.00,200.00,32.00,0.00,33.97%,29.58%,28.49%,23.52%,8.88%,8.88%,8.88%,8.88%,78.43%,65.38%,50.77%,56.25%,40,52,65,64,0,0,0,0,56.36%,16.98%,0.00%,0.00%,98.50,98.50,98.50,98.50,1,12,59,20
B0CB84DSJZ,Candyland,1.50,1.50,1.50,1.50,63.19,74.69,26.95,98.83,1.37,1.46,1.50,1.50,11.90%,10.16%,8.82%,18.37%,8.14,7.79,2.57,20.22,76.22%,74.32%,76.13%,74.45%,93,59,40,59,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,95.59%,100.00%,100.00%,100.00%,100.00%,100.00%,98,107,211,313,0.00,0.00,0.00,0.00,0.00,76.46,159.40,217.72,0.00,59.00,123.00,168.00,81.65%,78.59%,76.00%,77.05%,5.66%,11.51%,13.45%,13.45%,0.00%,0.00%,0.00%,0.00%,82,58,40,59,0,0,0,0,0.00%,0.00%,0.00%,0.00%,85.00,85.00,85.00,85.00,43,46,24,73
B0791L9TZJ,Namakin,0.00,0.00,0.00,0.00,60.55,11.63,3.88,23.26,3.56,3.88,3.88,3.88,(6.46)%,(36.32)%,(58.20)%,(28.27)%,-3.95,-4.43,-2.52,-6.59,36.45%,20.24%,20.24%,17.75%,52,65,42,15,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,30.00%,100.00%,11.11%,0.00%,45,71,83,55,0.00,0.00,0.00,0.00,120.47,112.44,156.61,8.03,30.00,28.00,39.00,2.00,44.20%,23.00%,23.00%,23.00%,(12.75)%,(3.58)%,(3.58)%,(3.58)%,23.08%,30.77%,20.00%,57.14%,52,65,40,15,0,0,0,0,0.00%,0.00%,0.00%,0.00%,76.20,76.20,76.20,76.20,7,3,1,7
B00LXSEFMW,La Molisana,3.14,3.14,3.14,3.14,57.62,19.19,75.47,9.43,2.40,2.74,3.14,3.14,(24.79)%,(32.26)%,(17.07)%,(27.99)%,-13.01,-6.42,-12.48,-2.75,31.18%,32.30%,26.25%,28.33%,26,13,16,16,0.00%,0.00%,0.00%,6.25%,100.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,1.28%,39,32,9,6,0.00,0.00,0.00,0.00,0.00,0.00,5.72,0.00,0.00,0.00,2.00,0.00,49.00%,39.16%,24.37%,23.00%,(19.06)%,(4.26)%,9.09%,9.09%,0.00%,0.00%,0.00%,0.00%,26,13,16,16,0,0,0,0,0.00%,0.00%,0.00%,6.25%,91.00,91.00,91.00,91.00,12,7,21,8
B07PBKVNXH,Tippys,1.52,1.52,1.52,1.52,53.93,75.84,55.61,15.17,1.69,1.69,1.69,1.69,(72.25)%,(84.45)%,(80.90)%,(78.36)%,-49.08,-78.48,-54.61,-15.61,62.97%,60.60%,56.02%,61.62%,39,49,50,29,0.00%,0.00%,0.00%,31.03%,0.00%,100.00%,0.00%,30.33%,0.00%,0.00%,0.00%,0.00%,88,42,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.63%,20.82%,20.81%,20.81%,51.53%,51.53%,51.53%,51.53%,100.00%,100.00%,100.00%,100.00%,39,44,50,24,0,0,0,0,0.00%,0.00%,0.00%,31.03%,60.00,60.00,60.00,60.00,32,44,33,12
B0881MS1FD,Americandy,3.07,3.07,3.07,3.07,52.25,36.88,27.66,49.18,3.07,3.07,3.07,3.07,(10.27)%,(8.32)%,(25.65)%,(8.70)%,-5.54,-3.09,-7.55,-4.93,23.73%,29.60%,29.46%,27.51%,35,52,38,41,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,316,485,478,462,0.00,0.00,0.00,0.00,0.00,505.59,5.59,0.00,0.00,181.00,2.00,0.00,18.94%,23.92%,24.22%,24.38%,9.12%,9.12%,9.12%,9.12%,0.00%,0.00%,0.00%,0.00%,35,52,37,40,0,0,0,0,0.00%,0.00%,0.00%,0.00%,87.50,87.50,87.50,87.50,18,13,8,20
B07MXFKJVH,La Molisana,3.06,3.06,3.06,3.06,48.01,53.78,30.63,45.94,2.53,2.69,3.06,3.06,(29.83)%,(13.05)%,(9.62)%,(11.30)%,-13.34,-6.96,-2.95,-5.05,28.76%,30.23%,30.55%,30.37%,32,29,27,37,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,25.00%,0.00%,12.50%,0.00%,273,299,288,261,0.00,0.00,0.00,0.00,37.28,138.46,0.00,0.00,14.00,52.00,0.00,0.00,36.22%,34.62%,25.29%,27.59%,(5.38)%,0.97%,13.07%,13.07%,0.00%,0.00%,0.00%,0.00%,32,29,26,37,0,0,0,0,0.00%,0.00%,0.00%,0.00%,92.00,92.00,92.00,92.00,17,19,12,12
