ASIN,Brand Name,List Price($)(11/23/2025-11/30/2025),List Price($)(11/16/2025-11/23/2025),List Price($)(11/09/2025-11/16/2025),List Price($)(11/02/2025-11/09/2025),Product GMS($)(11/23/2025-11/30/2025),Product GMS($)(11/16/2025-11/23/2025),Product GMS($)(11/09/2025-11/16/2025),Product GMS($)(11/02/2025-11/09/2025),ASP(11/23/2025-11/30/2025),ASP(11/16/2025-11/23/2025),ASP(11/09/2025-11/16/2025),ASP(11/02/2025-11/09/2025),CM(11/23/2025-11/30/2025)(%),CM(11/16/2025-11/23/2025)(%),CM(11/09/2025-11/16/2025)(%),CM(11/02/2025-11/09/2025)(%),CP($)(11/23/2025-11/30/2025),CP($)(11/16/2025-11/23/2025),CP($)(11/09/2025-11/16/2025),CP($)(11/02/2025-11/09/2025),Net PPM(11/23/2025-11/30/2025)(%),Net PPM(11/16/2025-11/23/2025)(%),Net PPM(11/09/2025-11/16/2025)(%),Net PPM(11/02/2025-11/09/2025)(%),GV(11/23/2025-11/30/2025),GV(11/16/2025-11/23/2025),GV(11/09/2025-11/16/2025),GV(11/02/2025-11/09/2025),SoROOS(%)(11/23/2025-11/30/2025)(%),SoROOS(%)(11/16/2025-11/23/2025)(%),SoROOS(%)(11/09/2025-11/16/2025)(%),SoROOS(%)(11/02/2025-11/09/2025)(%),Vendor Confirmation Rate - Sourceable(11/23/2025-11/30/2025)(%),Vendor Confirmation Rate - Sourceable(11/16/2025-11/23/2025)(%),Vendor Confirmation Rate - Sourceable(11/09/2025-11/16/2025)(%),Vendor Confirmation Rate - Sourceable(11/02/2025-11/09/2025)(%),Fill Rate - Sourceable(11/23/2025-11/30/2025)(%),Fill Rate - Sourceable(11/16/2025-11/23/2025)(%),Fill Rate - Sourceable(11/09/2025-11/16/2025)(%),Fill Rate - Sourceable(11/02/2025-11/09/2025)(%),SELLABLE_ON_HAND_UNITS(11/23/2025-11/30/2025),SELLABLE_ON_HAND_UNITS(11/16/2025-11/23/2025),SELLABLE_ON_HAND_UNITS(11/09/2025-11/16/2025),SELLABLE_ON_HAND_UNITS(11/02/2025-11/09/2025),Total GMM($)(11/23/2025-11/30/2025),Total GMM($)(11/16/2025-11/23/2025),Total GMM($)(11/09/2025-11/16/2025),Total GMM($)(11/02/2025-11/09/2025),Net Receipts($)(11/23/2025-11/30/2025),Net Receipts($)(11/16/2025-11/23/2025),Net Receipts($)(11/09/2025-11/16/2025),Net Receipts($)(11/02/2025-11/09/2025),Net Receipts (Units)(11/23/2025-11/30/2025),Net Receipts (Units)(11/16/2025-11/23/2025),Net Receipts (Units)(11/09/2025-11/16/2025),Net Receipts (Units)(11/02/2025-11/09/2025),CCOGS As A % Of PCOGS(11/23/2025-11/30/2025)(%),CCOGS As A % Of PCOGS(11/16/2025-11/23/2025)(%),CCOGS As A % Of PCOGS(11/09/2025-11/16/2025)(%),CCOGS As A % Of PCOGS(11/02/2025-11/09/2025)(%),PPM(11/23/2025-11/30/2025)(%),PPM(11/16/2025-11/23/2025)(%),PPM(11/09/2025-11/16/2025)(%),PPM(11/02/2025-11/09/2025)(%),External Box Price Competitiveness (% Of GV)(11/23/2025-11/30/2025)(%),External Box Price Competitiveness (% Of GV)(11/16/2025-11/23/2025)(%),External Box Price Competitiveness (% Of GV)(11/09/2025-11/16/2025)(%),External Box Price Competitiveness (% Of GV)(11/02/2025-11/09/2025)(%),Amzn GV(11/23/2025-11/30/2025),Amzn GV(11/16/2025-11/23/2025),Amzn GV(11/09/2025-11/16/2025),Amzn GV(11/02/2025-11/09/2025),Customer Returns($)(11/23/2025-11/30/2025),Customer Returns($)(11/16/2025-11/23/2025),Customer Returns($)(11/09/2025-11/16/2025),Customer Returns($)(11/02/2025-11/09/2025),Daily SoRoos%(11/23/2025-11/30/2025)(%),Daily SoRoos%(11/16/2025-11/23/2025)(%),Daily SoRoos%(11/09/2025-11/16/2025)(%),Daily SoRoos%(11/02/2025-11/09/2025)(%),Net Ordered Units(11/23/2025-11/30/2025),Net Ordered Units(11/16/2025-11/23/2025),Net Ordered Units(11/09/2025-11/16/2025),Net Ordered Units(11/02/2025-11/09/2025)
B0BVQBSBV8,Barebells,0.00,0.00,0.00,0.00,5302.57,4411.40,3638.73,4135.96,28.98,29.02,29.83,30.41,17.54%,19.38%,19.11%,21.47%,894.93,846.42,684.79,871.73,29.04%,31.11%,30.50%,31.43%,564,763,465,447,4.43%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,1445,2640,2590,3954,0.00,0.00,0.00,0.00,0.00,5891.18,304.72,0.00,0.00,174.00,9.00,0.00,42.20%,42.06%,41.08%,40.97%,(16.85)%,(16.66)%,(13.52)%,(11.33)%,100.00%,99.85%,100.00%,100.00%,522,756,463,442,0,0,0,0,4.43%,0.00%,0.00%,0.00%,184,151,125,136
B07X5MH1BM,Vitamin Well,29.56,29.56,29.56,29.56,4472.01,3503.97,3959.32,3234.29,23.54,24.85,24.29,24.14,23.70%,23.60%,24.26%,23.99%,1055.62,835.37,959.06,783.61,38.11%,36.84%,37.87%,37.59%,621,496,563,585,0.00%,0.00%,0.00%,3.76%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,6811,7117,8169,9577,0.00,0.00,0.00,0.00,5652.94,0.00,1097.20,0.00,237.00,0.00,46.00,0.00,39.50%,34.31%,36.78%,37.34%,(1.34)%,4.02%,1.80%,1.18%,98.21%,97.97%,98.39%,97.33%,615,493,560,546,0,0,0,0,0.00%,0.00%,0.00%,3.76%,188,143,161,136
B07M85KKJ4,Barebells,0.00,0.00,0.00,0.00,4260.20,3221.35,4257.55,4930.38,28.79,29.29,27.65,29.17,22.01%,22.24%,17.05%,19.16%,913.18,694.98,709.56,919.80,30.69%,30.42%,27.69%,29.04%,593,555,599,521,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,83.33%,0.00%,100.00%,3093,4229,4397,6147,0.00,0.00,0.00,0.00,0.00,3521.17,406.29,0.00,0.00,104.00,12.00,0.00,43.67%,43.04%,42.46%,41.28%,(17.62)%,(15.61)%,(22.47)%,(16.05)%,100.00%,100.00%,100.00%,100.00%,589,476,524,514,0,0,0,0,0.00%,0.00%,0.00%,0.00%,171,97,172,172
B072HWGV31,Barebells,0.00,0.00,0.00,0.00,3848.04,2002.08,2119.06,2237.38,28.93,29.44,30.27,31.07,19.72%,21.14%,19.25%,22.12%,738.39,417.69,391.46,473.13,30.33%,31.20%,30.15%,31.28%,380,285,344,302,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,0.00%,80.00%,63.16%,100.00%,0.00%,2149,3056,3523,4227,0.00,0.00,0.00,0.00,406.29,0.00,440.15,0.00,12.00,0.00,13.00,0.00,42.17%,42.00%,40.69%,40.53%,(17.02)%,(15.00)%,(11.84)%,(8.95)%,99.74%,98.95%,99.70%,99.34%,378,285,338,300,0,0,0,0,0.00%,0.00%,0.00%,0.00%,129,67,84,63
B086DVXG5K,Vitamin Well,28.13,28.13,28.13,28.13,3389.62,2358.65,3281.41,3810.65,23.54,24.57,24.67,25.07,23.29%,20.61%,23.15%,22.48%,802.20,489.88,767.34,861.99,38.59%,35.94%,37.25%,36.22%,541,429,508,528,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,22.22%,0.00%,0.00%,2579,3787,4458,4786,0.00,0.00,0.00,0.00,0.00,0.00,3673.22,0.00,0.00,0.00,154.00,0.00,39.22%,34.54%,35.41%,33.67%,(1.33)%,2.92%,3.32%,4.86%,97.14%,100.00%,92.53%,100.00%,537,426,503,525,0,0,0,0,0.00%,0.00%,0.00%,0.00%,143,102,135,143
B07DLFZW31,Barebells,0.00,0.00,0.00,0.00,3116.47,3085.99,3248.70,3240.46,22.58,23.38,23.71,24.74,22.17%,21.90%,21.39%,25.51%,677.78,663.81,681.87,820.99,34.79%,34.67%,34.46%,37.08%,287,270,333,300,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,19.18%,0.00%,0.00%,1540,2797,3606,4933,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.14%,39.95%,38.53%,38.10%,(8.05)%,(4.38)%,(2.91)%,1.35%,100.00%,90.42%,95.06%,98.65%,285,261,324,297,0,0,0,0,0.00%,0.00%,0.00%,0.00%,140,137,130,149
B086DV7D1W,Vitamin Well,28.13,28.13,28.13,28.13,2464.14,4940.97,6789.06,7400.85,24.16,24.95,24.87,24.67,21.61%,19.45%,19.54%,15.63%,504.69,974.25,1334.16,1153.30,39.99%,36.62%,37.61%,33.84%,716,849,1069,1497,6.84%,0.12%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,5.16%,85,1388,2799,5623,0.00,0.00,0.00,0.00,596.30,0.00,0.00,0.00,25.00,0.00,0.00,0.00,39.48%,34.12%,35.38%,33.25%,1.23%,4.41%,4.09%,3.31%,98.95%,100.00%,99.91%,100.00%,651,837,1058,1483,0,0,0,0,6.84%,0.12%,0.00%,0.00%,103,203,251,275
B08MKX6G7G,Vitamin Well,28.13,28.13,28.13,28.13,1924.75,1666.69,1991.03,2900.52,27.50,28.25,26.20,23.58,18.93%,21.12%,15.84%,7.68%,363.11,354.74,319.78,225.34,31.39%,34.36%,29.66%,21.37%,212,191,277,356,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,28.02%,0.00%,0.00%,822,1349,1887,2815,0.00,0.00,0.00,0.00,0.00,0.00,47.70,0.00,0.00,0.00,2.00,0.00,22.50%,22.50%,22.50%,22.32%,13.25%,15.56%,8.95%,(1.15)%,96.62%,100.00%,100.00%,93.79%,212,189,274,354,0,0,0,0,0.00%,0.00%,0.00%,0.00%,70,61,75,121
B07FSPH47X,Barebells,40.19,40.19,40.19,40.19,1383.79,1367.13,109.41,404.97,28.83,31.07,36.47,36.82,19.36%,21.43%,17.41%,16.17%,248.11,279.65,18.63,60.64,30.06%,30.25%,29.91%,27.53%,178,188,39,42,0.00%,0.00%,48.72%,19.51%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,610,1050,478,105,0.00,0.00,0.00,0.00,0.00,0.00,5315.61,0.00,0.00,0.00,157.00,0.00,43.81%,40.71%,28.07%,29.19%,(17.44)%,(8.97)%,7.17%,8.03%,100.00%,99.47%,100.00%,93.33%,176,188,17,29,0,0,0,0,0.00%,0.00%,48.72%,19.51%,57,36,12,7
B0BFBDDGGN,Barebells,40.19,40.19,40.19,40.19,1129.20,1016.65,152.04,2818.12,28.95,29.90,30.41,30.63,18.02%,18.43%,16.12%,17.80%,201.34,182.27,23.50,483.05,29.86%,29.57%,28.11%,29.40%,140,144,125,300,20.71%,16.67%,59.20%,4.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,53.68%,723,828,440,656,0.00,0.00,0.00,0.00,0.00,5214.04,1692.87,0.00,0.00,154.00,50.00,0.00,41.72%,41.03%,40.28%,38.47%,(16.94)%,(13.23)%,(11.34)%,(10.53)%,100.00%,93.28%,100.00%,99.63%,97,125,39,273,0,0,0,0,20.71%,16.67%,59.20%,4.00%,31,31,14,101
