ASIN,Brand Name,List Price($)(Week 49 ),List Price($)(Week 50 ),List Price($)(Week 51 ),List Price($)(Week 52 ),Product GMS($)(Week 49 ),Product GMS($)(Week 50 ),Product GMS($)(Week 51 ),Product GMS($)(Week 52 ),ASP(Week 49 ),ASP(Week 50 ),ASP(Week 51 ),ASP(Week 52 ),CM(Week 49 )(%),CM(Week 50 )(%),CM(Week 51 )(%),CM(Week 52 )(%),CP($)(Week 49 ),CP($)(Week 50 ),CP($)(Week 51 ),CP($)(Week 52 ),Net PPM(Week 49 )(%),Net PPM(Week 50 )(%),Net PPM(Week 51 )(%),Net PPM(Week 52 )(%),GV(Week 49 ),GV(Week 50 ),GV(Week 51 ),GV(Week 52 ),SoROOS(%)(Week 49 )(%),SoROOS(%)(Week 50 )(%),SoROOS(%)(Week 51 )(%),SoROOS(%)(Week 52 )(%),Vendor Confirmation Rate - Sourceable(Week 49 )(%),Vendor Confirmation Rate - Sourceable(Week 50 )(%),Vendor Confirmation Rate - Sourceable(Week 51 )(%),Vendor Confirmation Rate - Sourceable(Week 52 )(%),Fill Rate - Sourceable(Week 49 )(%),Fill Rate - Sourceable(Week 50 )(%),Fill Rate - Sourceable(Week 51 )(%),Fill Rate - Sourceable(Week 52 )(%),SELLABLE_ON_HAND_UNITS(Week 49 ),SELLABLE_ON_HAND_UNITS(Week 50 ),SELLABLE_ON_HAND_UNITS(Week 51 ),SELLABLE_ON_HAND_UNITS(Week 52 ),Total GMM($)(Week 49 ),Total GMM($)(Week 50 ),Total GMM($)(Week 51 ),Total GMM($)(Week 52 ),Net Receipts($)(Week 49 ),Net Receipts($)(Week 50 ),Net Receipts($)(Week 51 ),Net Receipts($)(Week 52 ),Net Receipts (Units)(Week 49 ),Net Receipts (Units)(Week 50 ),Net Receipts (Units)(Week 51 ),Net Receipts (Units)(Week 52 ),CCOGS As A % Of PCOGS(Week 49 )(%),CCOGS As A % Of PCOGS(Week 50 )(%),CCOGS As A % Of PCOGS(Week 51 )(%),CCOGS As A % Of PCOGS(Week 52 )(%),PPM(Week 49 )(%),PPM(Week 50 )(%),PPM(Week 51 )(%),PPM(Week 52 )(%),External Box Price Competitiveness (% Of GV)(Week 49 )(%),External Box Price Competitiveness (% Of GV)(Week 50 )(%),External Box Price Competitiveness (% Of GV)(Week 51 )(%),External Box Price Competitiveness (% Of GV)(Week 52 )(%),Amzn GV(Week 49 ),Amzn GV(Week 50 ),Amzn GV(Week 51 ),Amzn GV(Week 52 ),Customer Returns($)(Week 49 ),Customer Returns($)(Week 50 ),Customer Returns($)(Week 51 ),Customer Returns($)(Week 52 ),Daily SoRoos%(Week 49 )(%),Daily SoRoos%(Week 50 )(%),Daily SoRoos%(Week 51 )(%),Daily SoRoos%(Week 52 )(%),IDQ Score(Week 49 ),IDQ Score(Week 50 ),IDQ Score(Week 51 ),IDQ Score(Week 52 ),Net Ordered Units(Week 49 ),Net Ordered Units(Week 50 ),Net Ordered Units(Week 51 ),Net Ordered Units(Week 52 )
B07X5MH1BM,Vitamin Well,29.56,29.56,29.56,29.56,2477.49,2060.51,2401.16,1977.43,26.36,28.23,28.25,28.25,21.23%,21.40%,21.54%,20.88%,532.59,444.10,525.25,406.71,34.24%,33.83%,34.53%,34.17%,274,212,227,235,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,734,640,534,436,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.38%,22.50%,22.50%,22.50%,9.50%,15.50%,15.56%,15.56%,98.91%,100.00%,100.00%,100.00%,274,198,222,224,0,0,0,0,0.00%,0.00%,0.00%,0.00%,63.00,63.00,63.00,63.00,89,76,82,70
B086DVXG5K,Vitamin Well,28.13,28.13,0.00,28.13,1622.03,985.10,0,1045.21,26.59,28.15,0.00,28.25,21.49%,18.74%,0.00%,19.92%,347.07,188.15,0,208.05,33.74%,34.30%,0.00%,33.16%,195,173,104,138,1.03%,17.34%,60.58%,16.67%,100.00%,100.00%,0.00%,100.00%,100.00%,88.89%,0.00%,100.00%,195,146,130,390,0.00,0.00,0,0.00,0.00,0.00,0.00,7441.85,0.00,0.00,0.00,312.00,27.79%,22.50%,0.00%,22.50%,10.30%,15.26%,0.00%,15.56%,98.40%,99.21%,100.00%,100.00%,189,170,102,131,0,0,0,0,1.03%,17.34%,60.58%,16.67%,88.50,88.50,88.50,88.50,66,38,-11,35
B07DLFZW31,Barebells,0.00,0.00,0.00,0.00,1596.56,1036.50,377.34,1595.24,25.34,25.28,26.95,27.04,19.12%,18.97%,21.86%,21.22%,292.98,185.78,75.49,331.17,30.20%,33.49%,31.65%,31.85%,127,101,97,109,2.36%,15.84%,73.20%,26.61%,100.00%,100.00%,100.00%,100.00%,100.00%,99.07%,100.00%,0.00%,72,27,43,299,0.00,0.00,0.00,0.00,0.00,0.00,756.46,8809.14,0.00,0.00,31.00,361.00,33.34%,36.36%,35.55%,28.25%,3.71%,3.47%,9.46%,9.75%,87.70%,80.22%,68.35%,84.51%,122,89,86,96,0,0,0,0,2.36%,15.84%,73.20%,26.61%,100.00,100.00,100.00,100.00,74,34,26,40
B072HWGV31,Barebells,0.00,0.00,0.00,0.00,1294.53,849.00,545.65,473.36,30.82,33.96,36.38,36.41,20.96%,19.95%,20.64%,14.41%,259.61,163.45,108.57,59.70,29.69%,29.66%,29.73%,27.80%,159,74,73,58,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,115.00%,0.00%,162,119,128,221,0.00,0.00,0.00,0.00,0.00,0.00,1218.87,4062.89,0.00,0.00,36.00,120.00,38.74%,33.95%,29.52%,30.29%,(9.85)%,0.30%,6.93%,7.02%,98.09%,97.18%,98.61%,94.83%,157,71,72,58,0,0,0,0,0.00%,0.00%,0.00%,0.00%,98.50,98.50,98.50,98.50,34,26,19,17
B08MKX6G7G,Vitamin Well,28.13,28.13,0.00,28.13,1203.32,534.51,0,1694.94,27.98,28.13,0.00,28.25,21.29%,22.52%,0.00%,21.54%,258.12,121.98,0,365.26,33.40%,34.29%,0.00%,33.40%,127,95,75,95,0.00%,38.95%,86.67%,20.00%,100.00%,100.00%,100.00%,100.00%,98.97%,66.67%,0.00%,33.33%,22,0,0,103,0.00,0.00,0,0.00,0.00,0.00,0.00,4579.60,0.00,0.00,0.00,192.00,22.50%,22.50%,0.00%,22.50%,14.77%,15.21%,0.00%,15.56%,95.24%,91.01%,86.76%,92.39%,127,94,72,95,0,0,0,0,0.00%,38.95%,86.67%,20.00%,98.50,98.50,98.50,98.50,43,21,12,46
B07M85KKJ4,Barebells,0.00,0.00,0.00,0.00,945.31,1798.75,872.30,1778.81,30.49,33.31,34.89,34.88,19.92%,19.92%,18.24%,13.84%,181.67,351.32,157.47,223.81,30.10%,28.33%,26.70%,24.08%,264,154,130,110,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,287,224,180,476,0.00,0.00,0.00,0.00,0.00,0.00,33.86,12188.66,0.00,0.00,1.00,360.00,39.65%,32.25%,26.56%,26.92%,(11.03)%,(1.64)%,2.97%,2.93%,100.00%,100.00%,100.00%,100.00%,126,127,119,98,0,0,0,0,0.00%,0.00%,0.00%,0.00%,98.50,98.50,98.50,98.50,24,54,22,46
B07DLCVM1H,Barebells,0.00,0.00,0.00,1.76,806.03,397.67,684.92,853.27,26.87,26.51,26.34,25.86,20.59%,17.83%,17.43%,16.59%,162.00,70.42,117.11,138.27,31.43%,30.51%,30.03%,28.75%,46,49,48,45,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,217,196,159,149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,878.47,0.00,0.00,0.00,36.00,28.46%,26.66%,28.24%,28.43%,9.18%,7.96%,7.37%,5.63%,100.00%,100.00%,97.87%,100.00%,44,47,47,41,0,0,0,0,0.00%,0.00%,0.00%,0.00%,95.00,100.00,100.00,100.00,30,23,22,25
B07MHKBDJV,Barebells,0.00,0.00,0.00,2.23,507.64,536.91,898.43,344.89,28.20,28.26,27.23,26.53,22.58%,25.06%,20.97%,18.47%,106.40,129.06,183.65,60.95,32.40%,34.72%,32.28%,30.56%,46,48,76,55,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,379,353,310,296,0.00,0.00,0.00,0.00,0.00,0.00,0.00,292.82,0.00,0.00,0.00,12.00,31.47%,30.65%,29.29%,30.32%,13.47%,13.65%,10.37%,8.02%,88.89%,95.83%,98.61%,94.44%,46,48,72,54,0,0,0,0,0.00%,0.00%,0.00%,0.00%,100.00,100.00,100.00,100.00,22,25,33,15
B07FSPH47X,Barebells,40.19,40.19,40.19,40.19,485.24,294.51,146.74,404.43,32.35,36.81,36.69,36.77,22.78%,22.73%,21.83%,24.46%,106.45,65.70,29.19,92.56,30.47%,30.56%,30.32%,30.42%,68,32,31,30,0.00%,0.00%,32.26%,23.33%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,38,23,10,51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2031.44,0.00,0.00,0.00,60.00,37.57%,27.22%,35.33%,32.39%,(4.66)%,8.03%,7.71%,7.91%,100.00%,96.67%,70.00%,94.74%,65,30,28,29,0,0,0,0,0.00%,0.00%,32.26%,23.33%,98.50,98.50,98.50,98.50,21,11,6,3
B07DLJB7PC,Barebells,0.00,0.00,0.00,2.26,372.31,88.57,51.47,289.10,21.90,22.14,25.73,26.28,18.41%,10.99%,20.85%,18.48%,66.60,8.98,9.66,51.76,30.13%,26.16%,28.41%,29.90%,57,37,25,28,42.11%,78.38%,80.00%,46.43%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,66.67%,12,8,5,39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1171.30,0.00,0.00,0.00,48.00,41.15%,42.08%,35.05%,29.30%,(11.42)%,(10.21)%,5.17%,7.15%,100.00%,100.00%,100.00%,89.29%,52,28,23,28,0,0,0,0,42.11%,78.38%,80.00%,46.43%,95.70,95.70,95.70,95.70,14,9,1,7
B086DV7D1W,Vitamin Well,28.13,0.00,0.00,0.00,338.44,0,0,0,28.20,0.00,0.00,0.00,9.68%,0.00%,0.00%,0.00%,17.04,0,0,0,47.43%,0.00%,0.00%,0.00%,179,154,131,190,82.68%,90.91%,97.71%,97.37%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,83.33%,1,1,2,2,0.00,0,0,0,23.85,0.00,0.00,0.00,1.00,0.00,0.00,0.00,37.99%,0.00%,0.00%,0.00%,15.23%,0.00%,0.00%,0.00%,97.01%,100.00%,100.00%,99.45%,163,147,123,182,0,0,0,0,82.68%,90.91%,97.71%,97.37%,83.50,83.50,83.50,83.50,33,11,12,21
B0BVQBSBV8,Barebells,0.00,0.00,0.00,0.00,218.30,317.12,0,0,31.19,28.83,0.00,0.00,11.32%,27.06%,0.00%,0.00%,23.42,77.64,0,0,23.31%,31.29%,0.00%,0.00%,175,135,102,86,80.00%,57.78%,65.69%,69.77%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,97,67,45,33,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.44%,50.01%,0.00%,0.00%,(8.57)%,(17.44)%,0.00%,0.00%,100.00%,85.71%,91.67%,61.11%,123,130,96,81,0,0,0,0,80.00%,57.78%,65.69%,69.77%,82.00,82.00,82.00,82.00,2,17,12,0
B0F331Z81L,Barebells,0.00,0.00,0.00,0.00,217.72,0,0,0,31.10,0.00,0.00,0.00,33.01%,0.00%,0.00%,0.00%,72.31,0,0,0,40.76%,0.00%,0.00%,0.00%,24,18,26,18,37.50%,100.00%,100.00%,61.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,49,0.00,0,0,0,0.00,0.00,0.00,1195.70,0.00,0.00,0.00,49.00,24.50%,0.00%,0.00%,0.00%,21.54%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,24,9,0,7,0,0,0,0,37.50%,100.00%,100.00%,61.11%,72.50,72.50,0,76.90,7,0,0,0
B01MQJPAOU,Rip van Wafels,0.00,0.00,0.00,0.00,114.13,0,0,0,28.53,0.00,0.00,0.00,18.58%,0.00%,0.00%,0.00%,21.35,0,0,0,28.34%,0.00%,0.00%,0.00%,7,3,9,4,28.57%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.50%,0.00%,0.00%,0.00%,7.54%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5,0,0,0,0,0,0,0,28.57%,100.00%,100.00%,100.00%,88.30,0,0,0,4,0,0,0
B08MBD4175,Vitamin Well,0.00,0.00,0.00,0.00,55.94,0,0,761.61,27.97,0.00,0.00,28.21,(18.95)%,0.00%,0.00%,20.46%,-7.06,0,0,152.94,(0.85)%,0.00%,0.00%,31.54%,78,76,71,111,51.28%,63.16%,66.20%,16.22%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,325,309,301,360,0.00,0,0,0.00,71.56,0.00,0.00,2576.03,3.00,0.00,0.00,108.00,22.50%,0.00%,0.00%,22.50%,14.73%,0.00%,0.00%,15.44%,71.01%,95.95%,93.75%,92.08%,66,75,46,105,0,0,0,0,51.28%,63.16%,66.20%,16.22%,82.00,82.00,82.00,82.00,4,4,5,16
B09MWMV1DG,Barebells,0.00,0.00,0.00,0.00,37.15,37.15,0,492.42,37.15,37.15,0.00,37.88,21.44%,22.04%,0.00%,22.16%,7.28,7.48,0,102.39,31.19%,31.19%,0.00%,32.52%,54,51,35,45,50.00%,47.06%,71.43%,24.44%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,20.00%,5,2,1,120,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5281.75,0.00,0.00,0.00,156.00,35.48%,35.48%,0.00%,32.38%,8.86%,8.86%,0.00%,10.62%,100.00%,100.00%,100.00%,100.00%,46,46,34,40,0,0,0,0,50.00%,47.06%,71.43%,24.44%,94.50,94.50,94.50,94.50,5,4,7,5
B0F793ZNSD,Barebells,0.00,0.00,0.00,4.14,35.00,0,0,323.28,35.00,0.00,0.00,35.92,15.79%,0.00%,0.00%,18.76%,5.58,0,0,61.35,26.97%,0.00%,0.00%,28.65%,97,68,68,55,100.00%,100.00%,100.00%,20.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,1,1,1,4,0.00,0,0,0.00,0.00,0.00,0.00,406.29,0.00,0.00,0.00,12.00,24.50%,0.00%,0.00%,24.50%,3.27%,0.00%,0.00%,5.74%,100.00%,100.00%,0.00%,100.00%,97,67,68,36,0,0,0,0,100.00%,100.00%,100.00%,20.00%,73.00,73.00,73.00,73.00,0,1,-1,9
B0DQLLVRXB,Barebells,3.35,0.00,0.00,3.55,11.51,0,0,15.34,3.84,0.00,0.00,3.84,(29.66)%,0.00%,0.00%,(30.11)%,-3.61,0,0,-4.38,26.47%,0.00%,0.00%,18.63%,7,1,3,5,0.00%,0.00%,33.33%,40.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3,3,3,23,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,26.47%,0.00%,0.00%,26.47%,85.71%,100.00%,0.00%,80.00%,7,1,2,5,0,0,0,0,0.00%,0.00%,33.33%,40.00%,57.50,57.50,57.50,57.50,3,0,0,4
B0D1HBJF5R,Barebells,0.00,0.00,0.00,4.14,0,0,0,36.56,0.00,0.00,0.00,36.56,0.00%,0.00%,0.00%,25.70%,0,0,0,9.39,0.00%,0.00%,0.00%,30.08%,42,24,31,24,100.00%,100.00%,100.00%,58.33%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,20.00%,0,0,0,1,0,0,0,0.00,0.00,0.00,0.00,67.71,0.00,0.00,0.00,2.00,0.00%,0.00%,0.00%,24.50%,0.00%,0.00%,0.00%,7.39%,0.00%,0.00%,0.00%,0.00%,42,24,31,21,0,0,0,0,100.00%,100.00%,100.00%,58.33%,78.00,78.00,78.00,78.00,0,0,0,1
B07Q3S7RLD,UNKNOWN,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0.00%,0.00%,2,2,1,5,50.00%,100.00%,100.00%,60.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,50.00%,100.00%,100.00%,60.00%,0,0,0,0,0,0,0,0
B07Q6Z4LPB,UNKNOWN,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0.00%,0.00%,1,1,0,2,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,1,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,75.50,75.50,75.50,75.50,0,0,0,0
