ASIN,Brand Name,List Price($)(Week 49 ),List Price($)(Week 50 ),List Price($)(Week 51 ),List Price($)(Week 52 ),Product GMS($)(Week 49 ),Product GMS($)(Week 50 ),Product GMS($)(Week 51 ),Product GMS($)(Week 52 ),ASP(Week 49 ),ASP(Week 50 ),ASP(Week 51 ),ASP(Week 52 ),CM(Week 49 )(%),CM(Week 50 )(%),CM(Week 51 )(%),CM(Week 52 )(%),CP($)(Week 49 ),CP($)(Week 50 ),CP($)(Week 51 ),CP($)(Week 52 ),Net PPM(Week 49 )(%),Net PPM(Week 50 )(%),Net PPM(Week 51 )(%),Net PPM(Week 52 )(%),GV(Week 49 ),GV(Week 50 ),GV(Week 51 ),GV(Week 52 ),SoROOS(%)(Week 49 )(%),SoROOS(%)(Week 50 )(%),SoROOS(%)(Week 51 )(%),SoROOS(%)(Week 52 )(%),Vendor Confirmation Rate - Sourceable(Week 49 )(%),Vendor Confirmation Rate - Sourceable(Week 50 )(%),Vendor Confirmation Rate - Sourceable(Week 51 )(%),Vendor Confirmation Rate - Sourceable(Week 52 )(%),Fill Rate - Sourceable(Week 49 )(%),Fill Rate - Sourceable(Week 50 )(%),Fill Rate - Sourceable(Week 51 )(%),Fill Rate - Sourceable(Week 52 )(%),SELLABLE_ON_HAND_UNITS(Week 49 ),SELLABLE_ON_HAND_UNITS(Week 50 ),SELLABLE_ON_HAND_UNITS(Week 51 ),SELLABLE_ON_HAND_UNITS(Week 52 ),Total GMM($)(Week 49 ),Total GMM($)(Week 50 ),Total GMM($)(Week 51 ),Total GMM($)(Week 52 ),Net Receipts($)(Week 49 ),Net Receipts($)(Week 50 ),Net Receipts($)(Week 51 ),Net Receipts($)(Week 52 ),Net Receipts (Units)(Week 49 ),Net Receipts (Units)(Week 50 ),Net Receipts (Units)(Week 51 ),Net Receipts (Units)(Week 52 ),CCOGS As A % Of PCOGS(Week 49 )(%),CCOGS As A % Of PCOGS(Week 50 )(%),CCOGS As A % Of PCOGS(Week 51 )(%),CCOGS As A % Of PCOGS(Week 52 )(%),PPM(Week 49 )(%),PPM(Week 50 )(%),PPM(Week 51 )(%),PPM(Week 52 )(%),External Box Price Competitiveness (% Of GV)(Week 49 )(%),External Box Price Competitiveness (% Of GV)(Week 50 )(%),External Box Price Competitiveness (% Of GV)(Week 51 )(%),External Box Price Competitiveness (% Of GV)(Week 52 )(%),Amzn GV(Week 49 ),Amzn GV(Week 50 ),Amzn GV(Week 51 ),Amzn GV(Week 52 ),Customer Returns($)(Week 49 ),Customer Returns($)(Week 50 ),Customer Returns($)(Week 51 ),Customer Returns($)(Week 52 ),Daily SoRoos%(Week 49 )(%),Daily SoRoos%(Week 50 )(%),Daily SoRoos%(Week 51 )(%),Daily SoRoos%(Week 52 )(%),IDQ Score(Week 49 ),IDQ Score(Week 50 ),IDQ Score(Week 51 ),IDQ Score(Week 52 ),Net Ordered Units(Week 49 ),Net Ordered Units(Week 50 ),Net Ordered Units(Week 51 ),Net Ordered Units(Week 52 )
B015Y1GLK2,Tilda,21.28,21.28,21.28,21.28,6860.51,4088.00,7093.47,3788.59,9.27,10.30,8.75,8.11,1.05%,(3.01)%,(18.89)%,(30.36)%,71.85,-123.82,-1370.25,-1173.87,26.09%,25.32%,12.41%,5.48%,1469,731,1068,1087,9.05%,25.70%,0.00%,26.40%,0.00%,35.73%,0.00%,100.00%,0.00%,74.29%,0.00%,99.83%,2252,2685,1435,4092,0.00,0.00,0.00,0.00,0.00,19575.95,691.54,63444.52,0.00,1104.00,39.00,3578.00,62.02%,56.73%,57.00%,57.11%,(91.26)%,(72.20)%,(102.73)%,(118.57)%,90.44%,100.00%,100.00%,99.29%,1263,556,984,567,0,0,0,0,9.05%,25.70%,0.00%,26.40%,91.20,91.20,91.20,91.20,620,403,855,426
B07MV32JLH,Afia,40.69,40.69,40.69,40.69,815.22,917.09,747.26,679.33,31.35,33.97,33.97,33.97,(7.83)%,0.23%,(4.23)%,0.26%,-64.69,2.15,-30.58,1.75,7.97%,14.07%,14.68%,14.65%,57,126,167,170,49.12%,2.38%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,92.31%,100.00%,0.00%,14,62,91,106,0.00,0.00,0.00,0.00,878.79,1920.32,2701.47,0.00,27.00,59.00,83.00,0.00,11.17%,11.03%,10.96%,10.93%,(3.81)%,4.18%,4.18%,4.18%,100.00%,99.18%,100.00%,100.00%,35,122,165,158,0,0,0,0,49.12%,2.38%,0.00%,0.00%,82.50,82.50,82.50,82.50,4,25,23,19
B07P6YJPPG,Afia,33.71,33.71,33.71,33.71,736.52,640.45,480.34,416.29,32.02,32.02,32.02,32.02,(0.66)%,(2.00)%,0.68%,0.91%,-4.76,-12.62,3.29,3.84,14.69%,14.28%,15.53%,15.53%,55,74,32,53,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,100.00%,94.87%,0.00%,0.00%,50,123,129,168,0.00,0.00,0.00,0.00,0.00,2503.73,1043.22,1102.83,0.00,84.00,35.00,37.00,11.19%,11.04%,10.22%,9.25%,6.92%,6.92%,6.92%,6.92%,100.00%,100.00%,100.00%,100.00%,50,73,32,51,0,0,0,0,0.00%,0.00%,0.00%,0.00%,92.50,92.50,92.50,92.50,23,20,15,13
B07P75SDV2,UNKNOWN,8.71,8.71,8.71,8.71,607.13,274.99,534.31,313.83,3.89,3.77,3.96,4.42,(172.56)%,(161.41)%,(102.51)%,(69.81)%,-721.18,-399.54,-538.47,-231.31,(16.64)%,(45.53)%,(36.97)%,(22.08)%,202,128,156,107,23.27%,18.75%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,99.02%,100.00%,84.62%,37.80%,6,576,877,1199,0.00,0.00,0.00,0.00,0.00,5518.50,4464.47,2053.54,0.00,911.00,737.00,339.00,26.01%,10.99%,10.96%,10.93%,(55.65)%,(60.81)%,(53.05)%,(37.05)%,100.00%,78.45%,55.48%,46.23%,196,121,153,106,0,0,0,0,23.27%,18.75%,0.00%,0.00%,82.90,82.90,82.90,82.90,134,57,134,75
B07NF847QH,TILDA,10.63,10.63,10.63,10.63,379.93,122.58,62.13,147.89,4.75,5.11,7.77,7.39,(20.51)%,(53.06)%,(11.97)%,(6.44)%,-78.71,-67.63,-7.74,-9.76,16.99%,(17.72)%,16.66%,19.85%,383,98,75,39,0.00%,1.15%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,5.68%,621,1428,1403,1397,0.00,0.00,0.00,0.00,0.00,7348.79,0.00,224.20,0.00,885.00,0.00,27.00,53.05%,27.59%,22.05%,29.51%,(74.85)%,(62.58)%,(6.91)%,(12.30)%,41.14%,21.25%,24.24%,51.43%,366,78,68,37,0,0,0,0,0.00%,1.15%,0.00%,0.00%,91.20,91.20,91.20,91.20,74,22,9,19
B07HNSPY84,Dilmah,6.77,6.77,6.77,6.77,223.97,77.21,82.36,63.49,5.33,7.02,7.49,5.77,(12.33)%,1.90%,3.55%,(4.63)%,-27.77,1.52,2.79,-2.99,19.57%,27.34%,34.15%,15.94%,48,29,19,28,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,27,40,53,55,0.00,0.00,0.00,0.00,246.01,164.01,164.01,82.00,36.00,24.00,24.00,12.00,37.01%,25.36%,29.00%,29.00%,(28.15)%,2.64%,8.73%,(18.40)%,0.00%,0.00%,0.00%,0.00%,48,29,19,28,0,0,0,0,0.00%,0.00%,0.00%,0.00%,81.00,81.00,81.00,81.00,41,10,11,11
B08GD1Z9PS,Tata,11.37,11.37,11.37,11.37,216.57,253.02,206.16,215.99,9.42,9.37,9.37,9.39,(7.84)%,5.50%,7.43%,20.81%,-15.84,13.92,15.23,45.63,25.48%,23.57%,26.29%,26.42%,20,35,30,34,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,54,55,36,13,0.00,0.00,0.00,0.00,0.00,230.14,65.75,0.00,0.00,28.00,8.00,0.00,16.18%,16.03%,15.96%,15.93%,12.71%,12.29%,12.29%,12.48%,0.00%,0.00%,0.00%,0.00%,19,35,30,33,0,0,0,0,0.00%,0.00%,0.00%,0.00%,87.50,87.50,87.50,87.50,21,28,21,23
B005LLZ3QY,Tetley,7.00,7.00,7.00,7.00,161.50,130.14,110.62,91.10,4.75,6.51,6.51,6.51,(55.98)%,(16.45)%,(9.34)%,(7.38)%,-86.26,-21.00,-10.65,-6.87,(10.53)%,18.01%,19.15%,18.42%,47,26,34,25,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,100.00%,56,266,398,444,0.00,0.00,0.00,0.00,0.00,1390.49,897.66,381.36,0.00,237.00,153.00,65.00,11.20%,9.90%,10.97%,10.15%,(23.52)%,9.83%,9.83%,9.83%,100.00%,100.00%,100.00%,100.00%,47,26,33,23,0,0,0,0,0.00%,0.00%,0.00%,0.00%,100.00,100.00,100.00,100.00,30,21,16,14
B00NRML2UK,Dilmah,0.00,0.00,0.00,0.00,149.89,197.56,164.92,125.41,8.33,9.88,10.31,8.96,(14.39)%,5.76%,8.55%,(9.75)%,-21.78,11.71,14.59,-12.66,13.49%,24.20%,29.83%,19.25%,46,43,28,45,17.39%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,150.00%,0.00%,100.00%,0.00%,49,77,73,59,0.00,0.00,0.00,0.00,611.26,489.01,122.25,0.00,60.00,48.00,12.00,0.00,30.17%,26.50%,29.00%,29.00%,(22.34)%,(3.14)%,1.16%,(13.73)%,42.11%,59.52%,67.86%,60.00%,38,42,28,45,0,0,0,0,17.39%,0.00%,0.00%,0.00%,100.00,100.00,100.00,100.00,14,20,14,16
B07NF7MR14,Tetley,6.81,6.81,6.81,6.81,126.04,240.45,251.77,281.98,5.25,4.54,3.36,3.36,(13.55)%,(32.08)%,(75.07)%,(74.40)%,-17.19,-78.01,-197.83,-209.06,17.56%,7.44%,(28.44)%,(24.66)%,24,53,101,79,0.00%,0.00%,5.94%,5.06%,0.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,106,74,72,53,0.00,0.00,0.00,0.00,0.00,109.01,391.45,297.30,0.00,22.00,79.00,60.00,14.85%,15.73%,14.02%,15.55%,5.65%,(9.22)%,(47.80)%,(47.61)%,73.91%,68.00%,67.71%,64.94%,23,51,99,78,0,0,0,0,0.00%,0.00%,5.94%,5.06%,100.00,98.50,98.50,98.50,25,58,72,85
