ASIN,Customer review count,Raw star ratings,GL Product Group,Product subcategory code,Product subcategory desc,Ads Clicks,GL Description,GMS ($)
B001BON63M, 87, 3,325,UNKNOWN,UNKNOWN, 564,Grocery, 310.47
B0DJXK1XYX, 2, 5,325,UNKNOWN,UNKNOWN, 340,Grocery, 357.53
B00J8U9EIM, 18, 3,325,32599040,Sweets, 255,Grocery, 626.44
B00OCXS8AK, 182, 4,325,UNKNOWN,UNKNOWN, 120,Grocery, 49.73
B0041HVNZ4, 335, 4,325,UNKNOWN,UNKNOWN, 96,Grocery," 2,841.2"
B00D97LPKK, 9, 3,325,32599040,Sweets, 87,Grocery, 32.77
B01N3JHT9L, 13, 3,325,32599040,Sweets, 82,Grocery, 203.47
B00PA74O5U, 3, 4,325,32599010,Snacks, 47,Grocery, 9.8
B00M9ERHBK, 62, 4,325,UNKNOWN,UNKNOWN, 38,Grocery, 34.42
B0CJMFTG3X,,,325,32599040,Sweets, 24,Grocery, 62.89
B07PKQH3R5, 37, 4,75,7504050,Playards, 3,Baby," 3,362.57"
B08N4XBNS1, 404, 5,325,32599040,Sweets,,Grocery,
B000WHS8M8," 2,735", 5,325,32505505,Foods,,Grocery," 6,215.59"
B0040MKSVK," 2,988", 4,325,32599040,Sweets,,Grocery, 33.37
B019Z95UCO," 3,944", 5,325,32502579,Cereals,,Grocery," 6,209.53"
B017XKSTIO, 16, 4,325,UNKNOWN,UNKNOWN,,Grocery, 137.87
B0DNRHC449, 147, 4,325,32502579,Cereals,,Grocery, 137.29
B007TQG23C," 2,209", 5,325,32599040,Sweets,,Grocery," 3,894.37"
B07CZCM4VZ," 25,766", 5,325,32502560,Childrens,,Grocery," 10,628.35"
B003ZZABKG," 1,158", 5,325,32599020,Seeds & Dried Fruit,,Grocery," 5,674.46"
B00JGZRPYE, 6, 4,325,32502020,"Herbs, Spices, Sea",,Grocery, 71.12
B007F1MO42, 306, 5,325,32502579,Cereals,,Grocery," 1,833.91"
B07CXJZVRR," 1,254", 5,325,32550055,Bakery,,Grocery," 8,006.8"
B079HNF1WH, 961, 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery, 963.21
B00D2PL248, 274, 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery, 151.53
B07MGR3GXB,,,325,32505507,"Baby Food, Milk, & Drinks",,Grocery, 131.33
B00BLK5AKI, 54, 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery," 6,803.57"
B07MR46JL2, 19, 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery, 88.89
B00XMZUY8I, 223, 5,325,UNKNOWN,UNKNOWN,,Grocery, 54.61
B07L4RJD3L, 2, 5,325,UNKNOWN,UNKNOWN,,Grocery, 540.08
B00BBVDSD8, 614, 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery, 67.98
B079HN2V2D," 1,053", 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery," 6,818.73"
B003XXD1O8, 129, 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery," 4,321.24"
B001AS8QPC," 4,480", 5,325,32502579,Cereals,,Grocery, 860.45
B0BVTS84B7, 71, 4,325,32502579,Cereals,,Grocery, 24.34
B00CJ8LEO2," 4,207", 5,325,32503070,Fruit Juice & Smoothies,,Grocery, 25.1
B0C2VMBP1G,,,325,32503070,Fruit Juice & Smoothies,,Grocery, 44.57
B07CX3FHMB," 7,244", 5,325,32502579,Cereals,,Grocery," 1,668.23"
B09FXBSCP4, 4, 3,325,UNKNOWN,UNKNOWN,,Grocery, 7.99
B00JSCMGJ4, 38, 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery," 4,563.48"
B07CZ83NQ4," 11,566", 5,325,32502560,Childrens,,Grocery," 3,845.77"
B00CAUABOS, 188, 4,325,32505507,"Baby Food, Milk, & Drinks",,Grocery," 5,101.43"
B0BVT86NRY, 123, 4,325,32505507,"Baby Food, Milk, & Drinks",,Grocery, 20.99
B004PELWAY, 984, 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery," 2,767.05"
B003N2ZUJS," 2,542", 5,325,32504020,Cooking Sauces,,Grocery, 38.91
B000WGBLIC, 432, 4,325,32505507,"Baby Food, Milk, & Drinks",,Grocery," 1,681.19"
B0BKN99SBV, 70, 4,325,32502579,Cereals,,Grocery, 231.87
B000WHXI0U," 1,193", 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery, 812.56
B000PDHHDA, 44, 4,325,32505507,"Baby Food, Milk, & Drinks",,Grocery," 2,572.53"
B07NF7TNTC, 2, 4,325,32501090,Sugar,,Grocery, 56.05
B079HP47FS, 586, 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery, 325.19
B07QCD9XR3," 1,841", 5,325,UNKNOWN,UNKNOWN,,Grocery, 758.72
B0054K0R5Y, 139, 4,325,32502550,Oatmeal / Porridge,,Grocery," 8,709.69"
B00D2PKZ4Q, 896, 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery, 363.2
B002GK0570," 1,570", 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery," 4,186.45"
B007RYU6VA, 44, 4,325,32592010,Coffee,,Grocery, 583.
B07CX3GRXV," 11,238", 5,325,32502560,Childrens,,Grocery," 6,256.45"
B09FWYMM5R,,,325,UNKNOWN,UNKNOWN,,Grocery, 12.95
B08GL93MQP, 5, 3,325,32599010,Snacks,,Grocery, 146.39
B00CJ8L8RA," 1,297", 5,325,32550045,Canned Goods,,Grocery, 319.13
B0924DBWMB, 1, 4,325,32592035,Fruit Juice,,Grocery, 5.26
B015J4UYEI, 343, 4,325,32550065,"Honey, Preserves & Spread",,Grocery," 4,782.07"
B00BLK5E7W," 1,489", 5,75,7503510,Bottles & Bottle Feeding,,Baby," 11,282.15"
B0083TG0CC," 1,020", 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery, 537.2
B07CTGSPRT, 288, 4,325,UNKNOWN,UNKNOWN,,Grocery, 235.54
B002U5G3LS," 1,987", 5,325,32592030,Soft Drinks & Mixers,,Grocery, 466.86
B0C7CPNQ2G, 4, 4,325,UNKNOWN,UNKNOWN,,Grocery, 173.09
B07MFL7W8F, 353, 5,75,7503510,Bottles & Bottle Feeding,,Baby, 252.07
B07QCFG13J," 1,275", 5,325,32502510,Cornflakes,,Grocery, 151.29
B084WPYLML," 3,163", 5,325,32592030,Soft Drinks & Mixers,,Grocery, 348.15
B08V929N3B, 5, 5,325,32592035,Fruit Juice,,Grocery," 1,461.4"
B0CN3GYSBV, 1, 5,325,32502050,Cooking Ingredient,,Grocery, 14.39
B00CAUAAWG, 735, 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery," 3,772.36"
B000WLXMCU, 6, 4,325,32592035,Fruit Juice,,Grocery, 626.19
B09JWY9QSF, 70, 4,325,32502040,Oils & Vinegars,,Grocery," 1,197.53"
B07RN6RQRL, 178, 4,325,32599020,Seeds & Dried Fruit,,Grocery, 659.06
B08F745YDV, 254, 4,325,UNKNOWN,UNKNOWN,,Grocery, 422.
B00ECGW40C, 12, 4,325,32592035,Fruit Juice,,Grocery," 2,139.28"
B009HXFOEI, 49, 4,325,UNKNOWN,UNKNOWN,,Grocery, 87.08
B079HN9RT2, 303, 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery, 204.39
B001OY2T1O," 1,497", 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery," 5,722.72"
B079HS4Z3S, 511, 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery, 607.99
B0C2VKC6KW,,,325,32503070,Fruit Juice & Smoothies,,Grocery, 49.68
B07QFH3BGS," 1,502", 5,325,32502579,Cereals,,Grocery, 591.62
B0F2PYGWFW, 109, 4,325,32502579,Cereals,,Grocery, 21.07
B079HNP18P, 512, 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery, 521.52
B00XMYTY0S, 157, 4,325,32599020,Seeds & Dried Fruit,,Grocery," 5,035.36"
B00005C97M, 655, 5,325,32592035,Fruit Juice,,Grocery, 577.74
B0011CZ7JK," 4,399", 5,325,32502010,Gravy & Stock,,Grocery, 67.31
B09P8GQ4TK, 65, 5,325,32550075,"Oils, Vinegars & Dressing",,Grocery," 110,459.59"
B09FXBPTHB,,,325,UNKNOWN,UNKNOWN,,Grocery, 5.13
B07QDCR7PP, 558, 4,325,32505507,"Baby Food, Milk, & Drinks",,Grocery, 743.15
B0028UQ5VI," 1,813", 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery, 910.7
B0055QCGWE," 4,295", 5,325,UNKNOWN,UNKNOWN,,Grocery," 1,779.66"
B003U26SRY, 1, 5,325,32592030,Soft Drinks & Mixers,,Grocery, 18.55
B00D2PKYWE, 912, 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery, 165.61
B0CN7KCYHK, 101, 4,325,32502579,Cereals,,Grocery, 7.52
B010R48S3Y, 33, 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery, 48.38
B079HJZTX7, 114, 4,325,32505507,"Baby Food, Milk, & Drinks",,Grocery," 6,733.18"
B003TL5Z6Q, 12, 5,325,UNKNOWN,UNKNOWN,,Grocery, 6.02
B0014CXH1C, 560, 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery," 2,967.41"
B01HI4D3UO, 97, 5,325,32503070,Fruit Juice & Smoothies,,Grocery, 180.56
B08H323F75, 12, 5,325,32502040,Oils & Vinegars,,Grocery," 1,348.86"
B00XA794UW, 324, 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery, 29.06
B000R73XZ0," 20,676", 5,325,UNKNOWN,UNKNOWN,,Grocery," 5,039.82"
B004DIVZKY, 1, 1,325,32503070,Fruit Juice & Smoothies,,Grocery, 6.72
B010R4DUVY, 431, 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery, 53.9
B08DZKXDT8, 30, 4,325,32599020,Seeds & Dried Fruit,,Grocery, 398.22
B07T24MF6J, 12, 5,325,UNKNOWN,UNKNOWN,,Grocery, 7.83
B08G8WV5T8, 8, 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery," 2,298.05"
B094CZ68GK, 32, 5,325,UNKNOWN,UNKNOWN,,Grocery, 6.91
B010R4AQ7K, 1, 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery, 16.05
B01BHW7EVC, 96, 5,325,32592005,Tea,,Grocery, 6.35
B08H321LHY, 102, 5,325,32502040,Oils & Vinegars,,Grocery," 24,239.38"
B0BQYS999G, 87, 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery, 876.24
B00KRB0T3U, 62, 4,325,32599050,Seasonal Snacking,,Grocery, 19.77
B002J4PCGW,,,325,UNKNOWN,UNKNOWN,,Grocery, 13.76
B000WGBLOQ, 96, 4,325,32505507,"Baby Food, Milk, & Drinks",,Grocery," 2,510.28"
B010R49PY0, 83, 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery, 21.7
