ASIN,Customer review count,Raw star ratings,GL Product Group,Product subcategory code,Product subcategory desc,Ads Clicks,GL Description,GMS ($)
B08RYXXH9T, 14, 4,75,7503511,Pacifier & Teether, 362,Baby," 1,061.99"
B08RYY2YJM, 7, 4,75,7503511,Pacifier & Teether, 210,Baby, 404.07
B087GJGZPR, 63, 4,325,32599030,Chocolate, 128,Grocery," 7,084.73"
B088TX2BMQ, 2, 5,325,32599015,Nuts, 17,Grocery, 99.62
B0881MBW3P, 200, 4,325,32599040,Sweets,,Grocery," 15,083.27"
B087GKVTG6, 28, 5,325,32599027,Gum,,Grocery," 1,479.53"
B088F92WLW, 83, 4,325,32599040,Sweets,,Grocery," 3,313.36"
B075VQKV56, 894, 4,325,32599030,Chocolate,,Grocery, 382.09
B087GJJZST, 38, 4,325,32599010,Snacks,,Grocery," 1,101.28"
B087GKD2PV, 83, 4,325,32599040,Sweets,,Grocery," 4,812.69"
B087GKXXG3, 27, 4,325,32599010,Snacks,,Grocery," 1,543.08"
B087GL7DC9, 48, 4,325,32599010,Snacks,,Grocery," 1,739.47"
B087GH4M7T, 55, 4,325,32599030,Chocolate,,Grocery," 5,242.89"
B087GK969D, 20, 3,325,32599030,Chocolate,,Grocery," 2,496.14"
B0948B4LTZ, 1, 3,121,12107020,Bags/Trash/Wraps,,Health & Personal Care, 14.89
B087GKLJMZ, 2, 5,325,32599040,Sweets,,Grocery, 216.45
B087GM9S1R, 5, 4,325,32599027,Gum,,Grocery, 159.09
B087GKDZWL, 2, 5,325,32599040,Sweets,,Grocery, 12.22
B087GKX9GM, 2, 5,325,32599027,Gum,,Grocery, 54.05
B07NHNK7KJ, 215, 4,325,32598010,Pasta,,Grocery, 282.3
B087GM9393, 9, 4,325,32599040,Sweets,,Grocery, 95.82
B087GJT9V6, 101, 4,325,32599027,Gum,,Grocery," 2,632.64"
B0941H3RLR, 3, 5,325,32599030,Chocolate,,Grocery, 650.57
B09BN4FYX1, 1, 5,325,32550085,Seasonings & Sauces,,Grocery, 29.88
B0CB8441PD, 2, 3,325,32599040,Sweets,,Grocery, 3.26
B00853036U, 1, 5,325,32501010,Baking Mixes,,Grocery, 28.26
B084ZXTS4F, 3, 4,325,32502070,Spreads,,Grocery, 21.48
B005MM9ZMU, 41, 4,325,32502070,Spreads,,Grocery, 218.43
B087GJFD7B, 194, 3,325,32599030,Chocolate,,Grocery, 353.16
B0BDGHGZCV, 6, 4,325,32502030,Pickled Vegetables,,Grocery, 302.67
B087GMZG2V, 18, 4,325,32599027,Gum,,Grocery, 52.88
B087GMBZC9, 2, 2,325,32599027,Gum,,Grocery, 4.21
B0912ZZ5M9, 4, 5,325,32599030,Chocolate,,Grocery, 502.54
B07Z7GQJBF, 26, 4,325,32501095,Assorted Baking Supplies,,Grocery," 6,644.14"
B087GJVRX3, 18, 3,325,32599025,Crackers & Crispbreads,,Grocery," 2,350.54"
B09FHV2D23, 100, 4,325,32599030,Chocolate,,Grocery, 136.13
B087GMJY3M, 2, 4,325,32599030,Chocolate,,Grocery, 35.96
B087GKJ2LQ, 5, 4,325,32599045,Biscuits,,Grocery, 37.57
B087BLC9Y6, 8, 4,325,32550045,Canned Goods,,Grocery, 460.51
B0BX8Y7TR2, 9, 4,325,UNKNOWN,UNKNOWN,,Grocery, 14.33
B087GKF4J8, 9, 4,325,32599030,Chocolate,,Grocery, 25.59
B0881M4QM3, 1, 1,325,32599030,Chocolate,,Grocery, 49.96
B087GJ9625, 2, 5,325,32599030,Chocolate,,Grocery, 278.66
B07NF8TFJW, 11, 5,325,32503070,Fruit Juice & Smoothies,,Grocery," 2,465.2"
B087GKYZDQ, 6, 4,325,32599027,Gum,,Grocery, 375.97
B07WG3FCP1, 177, 4,325,32501010,Baking Mixes,,Grocery, 173.06
B07W6QGCKY, 4, 3,325,UNKNOWN,UNKNOWN,,Grocery, 22.08
B088F8QLLF, 194, 3,325,32599030,Chocolate,,Grocery, 89.35
B00I2F441G, 1, 2,325,32599010,Snacks,,Grocery, 20.99
B0F8VXQG72,,,325,UNKNOWN,UNKNOWN,,Grocery, 11.41
B087GMDHZY, 6, 4,325,32599040,Sweets,,Grocery, 228.27
B087GL3GHQ, 1, 5,325,32599027,Gum,,Grocery, 224.3
B01LCWZEAU, 2, 5,325,UNKNOWN,UNKNOWN,,Grocery, 285.43
B087GKD2TZ, 1, 1,325,32599030,Chocolate,,Grocery, 8.55
B0B59LGN9W, 9, 4,325,32502050,Cooking Ingredient,,Grocery, 167.2
B08PFV8MRC, 7, 4,325,32599030,Chocolate,,Grocery, 183.1
B087GM93B1, 7, 5,325,32599040,Sweets,,Grocery, 562.75
B087GK5KQY, 1, 5,325,32599035,Boxed Chocolate,,Grocery, 481.45
B087GKB9ZK, 2, 4,325,32599045,Biscuits,,Grocery, 180.65
B087GMG88P, 1, 5,325,32599040,Sweets,,Grocery, 17.07
B087GJMBTX, 3, 4,325,32599040,Sweets,,Grocery, 98.43
B087GLYW59, 96, 4,325,32550010,Snacks,,Grocery, 263.59
B087GJVRRM, 100, 5,325,32599040,Sweets,,Grocery," 10,365.15"
B003TKXH5S, 233, 5,325,32504015,Noodles,,Grocery," 1,438.9"
B09BN5R4MX, 38, 4,325,32550085,Seasonings & Sauces,,Grocery," 2,559.61"
B076KP39PC, 1, 5,325,32599027,Gum,,Grocery, 313.56
B00I2F43VW, 5, 5,325,32599010,Snacks,,Grocery, 181.65
B07NHMKXYK, 232, 4,325,32598010,Pasta,,Grocery," 1,253.86"
B00PCL699S, 16, 4,325,32550010,Snacks,,Grocery, 9.42
B00DIRED50, 14, 5,325,UNKNOWN,UNKNOWN,,Grocery, 581.01
B07Q87PN5G, 14, 4,325,32599027,Gum,,Grocery, 227.14
B016IB9LKO, 25, 4,325,32599030,Chocolate,,Grocery, 607.48
B0B57T66JL, 13, 5,325,32501095,Assorted Baking Supplies,,Grocery, 594.71
B00E8OU46O, 464, 4,325,32599045,Biscuits,,Grocery, 16.73
B0DN1DSXSZ, 1, 1,325,32599030,Chocolate,,Grocery, 764.74
B09N7F8S7G, 118, 4,325,32599040,Sweets,,Grocery, 184.43
B0881MB9PB, 39, 4,325,32599030,Chocolate,,Grocery, 654.43
B087GMQPNS,,,325,32599040,Sweets,,Grocery, 15.74
B00W3LXB4G, 17, 5,325,32599045,Biscuits,,Grocery, 357.59
B00GKX89SQ, 316, 4,325,32599030,Chocolate,,Grocery," 5,390.35"
B09SLK81YX, 7, 4,325,UNKNOWN,UNKNOWN,,Grocery, 37.78
B01MRLBVUF, 2, 3,194,19401504,Lips,,Beauty, 23.08
B07ZLRCDFT, 6, 4,121,UNKNOWN,UNKNOWN,,Health & Personal Care, 309.59
B0DGFLKKMF, 21, 4,325,32501010,Baking Mixes,,Grocery, 42.37
B0CV7GFH3Y, 3, 5,325,32502579,Cereals,,Grocery, 38.91
B087GKVNXN, 11, 4,325,32599027,Gum,,Grocery," 1,024.48"
B087GN5BKJ, 9, 5,325,32599030,Chocolate,,Grocery, 214.04
B097D1448R, 13, 5,325,32599030,Chocolate,,Grocery, 432.25
B0F8VYNYKS, 1, 5,325,UNKNOWN,UNKNOWN,,Grocery, 20.46
B0966S2ZDM, 1, 4,325,UNKNOWN,UNKNOWN,,Grocery, 5.79
B087GKXXFG, 18, 4,325,32599040,Sweets,,Grocery, 302.39
B0CB89F24R, 27, 3,325,32599040,Sweets,,Grocery, 216.26
B00I2F442K, 4, 5,325,32599010,Snacks,,Grocery, 253.11
B0C9D76G2R, 1, 5,325,32505507,"Baby Food, Milk, & Drinks",,Grocery, 27.9
B009GHAGV6, 137, 4,325,32599030,Chocolate,,Grocery," 1,442.44"
B006J3HS98, 18, 5,325,32599045,Biscuits,,Grocery, 192.62
B087GJ963P, 53, 4,325,32599027,Gum,,Grocery," 3,493.81"
B09WRKKXWG, 53, 4,325,32501010,Baking Mixes,,Grocery, 139.01
B018W7AJUS, 39, 4,325,UNKNOWN,UNKNOWN,,Grocery," 1,588.66"
B0881MNVBH,,,325,32599045,Biscuits,,Grocery, 2.78
B087GLRBJB, 51, 4,325,32550010,Snacks,,Grocery," 2,463.58"
B087GKJ2LC, 1, 5,325,32599027,Gum,,Grocery, 105.84
B07G865S7Y, 90, 4,325,UNKNOWN,UNKNOWN,,Grocery, 55.07
B0791L9TZJ, 12, 5,325,32502030,Pickled Vegetables,,Grocery," 1,013.87"
B0CV7L34ZX, 2, 5,325,32502579,Cereals,,Grocery," 1,056.08"
B0CV7FQR8K, 2, 4,325,32502579,Cereals,,Grocery, 440.91
B087GL6V2M, 163, 4,325,32599030,Chocolate,,Grocery, 367.27
