sku,contributor_id,contributor_name,matched_asin#1.value,marketplace_id,brand.value,brand.value_id,browse_node_id.value,browse_nodes#1.value,browse_nodes#1.value_id,bullet_point#1.value,bullet_point#1.value_id,bullet_point#2.value,bullet_point#3.value,bullet_point#4.value,bullet_point#5.value,bullet_point#6.value,bullet_point#7.value,bullet_point#8.value,bullet_point#9.value,ean#1.value,expiration_date_type.value,expiration_interval.unit,expiration_interval.value,fc_shelf_life.unit,fc_shelf_life.value,fc_shelf_life_pad_time#1.unit,fc_shelf_life_pad_time#1.value,fulfillment_center_barcode_id#1.value,gl_product_group_type.value,inner_pack_product_identification.type,inner_pack_product_identification.value,is_expiration_dated_product.value,item_dimensions.height.normalized_value.unit,item_dimensions.height.normalized_value.value,item_dimensions.height.unit,item_dimensions.height.value,item_dimensions.length.normalized_value.unit,item_dimensions.length.normalized_value.value,item_dimensions.length.unit,item_dimensions.length.value,item_dimensions.width.normalized_value.unit,item_dimensions.width.normalized_value.value,item_dimensions.width.unit,item_dimensions.width.value,item_form#1.value,item_form#1.value_id,item_name.alternate_representations#1.type,item_name.alternate_representations#1.value,item_name.value,item_name.value_id,item_name#2.value,item_volume.unit,item_volume.value,item_weight.normalized_value.unit,item_weight.normalized_value.value,item_weight.unit,item_weight.value,list_price.currency,list_price.is_originating_currency,list_price.value,list_price.value_with_tax,manufacturer.value,manufacturer.value_id,minimum_order_quantity.increment#1.value,minimum_order_quantity.minimum#1.value,product_category.value,product_classes.value#1,product_expiration_type.value,product_expiration_type.value_id,product_shelf_life#1.unit,product_shelf_life#1.value,product_type_category.value,product_type_embedding.model.metadata.model_id,product_type_embedding.model.metadata.norm_function,product_type_embedding.model.vector#1.score,product_type_embedding.model.vector#1.value,product_type_embedding.override#1.source,product_type_embedding.override#1.type,product_type_embedding.override#1.value,product_type_subcategory.value,rtip_barcode.value,rtip_inner_packs_per_master_pack.value,rtip_items_per_inner_pack.value,rtip_items_per_master_pack.value,rtip_units_per_inner_pack#1.value,unit_count.type.value,unit_count.type.value_id,unit_count.value,upc#1.value,vendor_barcode#1.value
B085V4TCBY,1.54554E+11,AmazonAe/KY2O0,B085V4TCBY,global,Carne Diem,,,,,Sliced Cooked Beef,,Halal Beef Stick,US Inspected and passed by Department of Agriculture,,,,,,,,,,,,,days,81.9,,gl_grocery,,,TRUE,,,centimeters,1.1,,,centimeters,3.8,,,centimeters,24,,,,,"Carne Diem BBQ Smoked Halal Beef Stick, 25 gm",,,,,,,kilograms,0.25,AED,,12.26,12.87,River Ridge Meats,,,1,32599000,,Expiration Date Required,,,,,,,,,,,,,,20,1,20,,grams,,25,,
39000045049,1.54554E+11,AmazonAe/KY2O0,B074RK7VG3,global,Libby's,,,,,"With LIBBY'S® 100% Pure Pumpkin, that's what you're getting: Pure pumpkin with nothing added. It's all-natural, gluten-free, no GMO Ingredients.SGS verified the Nestlé process for manufacturing this product with No GMO ingredients sgs.com/no-gmo.",,"While it is used in our famous LIBBY'S® Pumpkin Pie, it also makes delicious pancakes, smoothies, soups, pastas, pumpkin spice lattes, and more sweet and savory recipes.",We're not America's #1 Canned Pumpkin* by chance - our farmers have been doing this for generations.,,,,,,,,,,,days,720,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,,,,,Libby's Pumpkin Tin Back Mix 425 g,,,,,,,,,AED,,,20,Libby's,,,1,32501000,,Expiration On Package,,,,,,,,,,,,,,1,1,,,count,,24,39000045049,
6.44226E+11,1.54554E+11,AmazonAe/KY2O0,B07JVWJHHK,global,Bionutritional Research Group,,,,,"DELICIOUS TASTING WHEY PROTEIN BARS: Power Crunch Bars are the perfect protein snacks. With 13 grams of protein and only 6 grams of sugar, these Lemon Meringue bars are the ideal snacks. Great for Back to School",,EASY-TO-DIGEST SNACKS UNLIKE ANY OTHER: Power Crunch High Protein Bars are made with high-DH hydrolyzed Proto Whey Protein. This is the pinnacle of smart protein nutrition,PERFECT SNACK FOR HOME OR ON THE GO: Enjoy Power Crunch Protein Bars on the go or at home. Satisfy your craving while working from home with this high protein snack.,,,,,,,,,,,days,365,,,,gl_grocery,,,TRUE,,,centimeters,5,,,centimeters,15,,,centimeters,1.5,,,,,Powercrunch Original Lemon Meringue 1.4 Oz 40 Gms,,,,,,,grams,40,,,,,Bionutrional Research Group,,,1,32599000,,Expiration On Package,,,,,,,,,,,,,,1,1,,,gram,,40,6.44226E+11,
B085V581Y4,1.54554E+11,AmazonAe/KY2O0,B085V581Y4,global,Lady Liberty,,,,,Standard Potato Chips contain 10g of fat per serving,,Naturally Flavored Cheese Curls,"No Artificial Colors, Flavors or Preservatives",,,,,,,,,,,,,days,54.75,,gl_grocery,,,TRUE,,,centimeters,33.02,,,centimeters,19.05,,,centimeters,6.98,,,,,"Lady Liberty Cheddar Cheese Curls, 170 gm",,,,,,,kilograms,0.17,AED,,16.45,17.27,McLane Global USA,,,1,32599000,,Expiration Date Required,,,,,,,,,,,,,,12,1,12,,grams,,170,,
B08LD9X12Y,1.54554E+11,AmazonAe/KY2O0,B08LD9X12Y,global,Classic Cookie,,,,,Made with hershey's,,Crisp and delicious,100 % natural,,,,,,,,,,,,,,,,gl_grocery,,,TRUE,,,centimeters,15.3,,,centimeters,21,,,centimeters,10.5,,,,,"Classic Cookie Double Choc Chip Hershey Minis, 2 x 7 oz",,,,,,,kilograms,0.39,AED,,40.48,42.5,"Mannon Specialty Foods, Inc",,,1,32599000,,Expiration Date Required,,,,,,,,,,,,,,1,1,1,,grams,,396,,
B0054IEPNG,1.54554E+11,AmazonAe/KY2O0,B0054IEPNG,global,Of the Earth,,,,,Deliciously Sweet With Aromas Of Maple Syrup And Vanilla,,"With Its Naturally Sweet Taste, Lucuma Makes The Perfect Addition To Healthy Sweet Treats, Such As Raw Cheesecakes – Yum!",100% Organically Grown Ingredients,,,,,,,,,,,days,365,days,54.75,,gl_grocery,,,TRUE,,,centimeters,12.9,,,centimeters,14.8,,,centimeters,22,,,,,"Of the Earth Superfoods Jar Lucuma Organic, 200 gm",,,,,,,kilograms,0.3,AED,,63.25,66.41,Alara Wholefoods Ltd,,,1,32599200,,Expiration Date Required,,,,,,,,,,,,,,1,6,6,,grams,,200,,
6.0035E+11,1.54554E+11,AmazonAe/KY2O0,B08L4P6DPV,global,Lady Liberty,,,,,Made with plant-based ingredients and packed with 4g of protein,,"Tomato Basil flavour is made with a blend of White Beans, Peas and Pinto Beans","A better way to snack for those with active lifestyles, at the office or those on the go","Free of preservatives, 0g trans fats, and no artificial colours or flavours",Non-GMO Verified,,,,,,,,,days,365,,,,gl_grocery,,,TRUE,,,centimeters,5,,,centimeters,22.5,,,centimeters,15.2,Whole,,,,"Lady Liberty Bean Bites, Tomato Basil, 35 gm",,,,,,,kilograms,0.035,AED,,,6.9,Dishaka,,,1,32599000,,Expiration Date Required,,,,,,,,,,,,,,1,1,24,,gram,,35,6.0035E+11,
B00D99VUS0,1.54554E+11,AmazonAe/KY2O0,B00D99VUS0,global,Nature Valley,,,,,No high fructose corn syrup,,No artificial flavors,No artificial colors,,,,,,,,,,,days,365,,,,gl_grocery,,,TRUE,,,centimeters,8.1,,,centimeters,25.2,,,centimeters,9.6,,,,,"Nature Valley Protein Gran Oats N Dark Choc, 11 oz.",,,,,,,kilograms,0.311,AED,,36.8,38.64,Nature Valley,,,1,32502500,,Expiration Date Required,,,,,,,,,,,,,,1,4,4,,grams,,311,16000437784,
B01JOWDQPK,1.54554E+11,AmazonAe/KY2O0,B01JOWDQPK,global,I LOVE ITALIA,,,,,Natural Colored Pasta,,5 flavors pasta,"PACKAGE: Transparent bag, polypropylene high barrier",,,,,,,,,,,,,,,,gl_grocery,,,TRUE,,,centimeters,26,,,centimeters,13,,,centimeters,8,,,,,"I LOVE ITALIA Big Shells 5 Flavours Pasta, 500 gm",,,milliliters,500,,,kilograms,0.5,AED,,31.81,33.4,I Love Italia Ltd,,,1,32598000,,Expiration Date Required,,,,,,,,,,,,,,1,12,10,,grams,,500,,
99900447275,1.54554E+11,AmazonAe/KY2O0,B08LSW1ZY9,global,Chocolate,,,,,"Pack of eighteen, 3.1-ounce boxes(total of 55.8-ounces)",,Covered with crunchy white candy sprinkles,"Delicious bite-size morsels of creamy, smooth Nestle chocolate",,,,,,,,,,,days,365,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,,,,,Snow Caps Semi Sweet Chocolate Nonpareils (1) 3.1Oz Box,,,,,,,,,AED,,,,Chocolate,,,1,32599000,,Expiration On Package,,,,,,,,,,,,,,1,1,,,gram,,87,99900447275,
B08GLN2FXJ,1.54554E+11,AmazonAe/KY2O0,B08GLN2FXJ,global,The Daily Crave,,,,,4G Protein,,Grain free; Gluten Free,"A unique, decadent churros-style cookie made with revolutionary grain-free, gluten-free and vegan ingredients, packed with 4g of plant-based protein, 2g of fiber, and only 5g of sugar per serving.","Beyond Churros combines the amazing taste of this time-honored favorite with revolutionary ingredients like cassava, lentils, and beans","We bake them to crunchy perfection and fill them with a creamy, non-dairy, chocolate-flavored filling for an exceptional snacking experience.","Plant-based made with red lentils, black beans and cassava, Grain-free, Gluten-free, Non-GMO, Dairy-free, Soy-free, Peanut-free, Baked, not fried",,,,,,,,,,,,,gl_grocery,,,TRUE,,,centimeters,7,,,centimeters,16.5,,,centimeters,21.5,,,,,"The Daily Crave Beyond Churros Double Chocolate Flavored, 4 oz",,,,,,,kilograms,0.113,AED,,15.88,16.67,The Daily Crave Co.,,1,1,32599000,,Expiration Date Required,,,,,,,,,,,,,,1,6,1,,grams,,113,,
39000045124,1.54554E+11,AmazonAe/KY2O0,B00XI11B4M,global,Libby's,,,,,100% Pure Pumpkin,,All Natural,Non-GMO Ingredients,,,,,,,,,,,days,720,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,,,,,Libby's Pumpkin Solid 29 oz,,,,,,,,,AED,,,31.75,Libby's,,,1,32501000,,Expiration On Package,,,,,,,,,,,,,,1,3,,,count,,12,39000045124,
